Corriente;Flujo;Integral;
0.004;0;0.335;
0.02;0;;
0.066;0;;
0.115;0.01;;
0.157;0.02;;
0.19;0.04;;
0.215;0.05;;
0.238;0.08;;
0.263;0.1;;
0.288;0.13;;
0.316;0.16;;
0.344;0.19;;
0.37;0.22;;
0.397;0.25;;
0.42;0.28;;
0.443;0.3;;
0.463;0.33;;
0.479;0.36;;
0.491;0.38;;
0.499;0.4;;
0.502;0.41;;
0.501;0.43;;
0.494;0.44;;
0.481;0.44;;
0.463;0.45;;
0.438;0.45;;
0.407;0.45;;
0.371;0.45;;
0.332;0.44;;
0.288;0.44;;
0.241;0.43;;
0.195;0.42;;
0.146;0.41;;
0.1;0.39;;
0.053;0.37;;
0.009;0.35;;
-0.034;0.33;;
-0.073;0.31;;
-0.108;0.28;;
-0.137;0.25;;
-0.166;0.22;;
-0.195;0.18;;
-0.224;0.14;;
-0.253;0.1;;
-0.282;0.06;;
-0.31;0.02;;
-0.338;-0.02;;
-0.362;-0.05;;
-0.386;-0.09;;
-0.407;-0.12;;
-0.424;-0.15;;
-0.439;-0.18;;
-0.448;-0.21;;
-0.454;-0.23;;
-0.455;-0.25;;
-0.45;-0.26;;
-0.441;-0.27;;
-0.424;-0.28;;
-0.403;-0.29;;
-0.375;-0.29;;
-0.343;-0.29;;
-0.305;-0.28;;
-0.263;-0.28;;
-0.219;-0.27;;
-0.173;-0.26;;
-0.126;-0.25;;
-0.08;-0.23;;
-0.034;-0.22;;
0.009;-0.2;;
0.051;-0.18;;
0.089;-0.15;;
0.121;-0.12;;
0.15;-0.09;;
0.179;-0.06;;
0.207;-0.02;;
0.236;0.02;;
0.265;0.06;;
0.294;0.09;;
0.323;0.13;;
0.349;0.17;;
0.375;0.21;;
0.398;0.24;;
0.419;0.27;;
0.436;0.3;;
0.45;0.33;;
0.459;0.35;;
0.463;0.37;;
0.462;0.39;;
0.456;0.4;;
0.443;0.41;;
0.425;0.41;;
0.4;0.42;;
0.368;0.42;;
0.332;0.41;;
0.291;0.41;;
0.246;0.4;;
0.201;0.39;;
0.152;0.38;;
0.106;0.37;;
0.059;0.35;;
0.015;0.33;;
-0.028;0.31;;
-0.067;0.29;;
-0.102;0.26;;
-0.133;0.23;;
-0.162;0.2;;
-0.19;0.17;;
-0.219;0.13;;
-0.248;0.09;;
-0.278;0.05;;
-0.307;0.01;;
-0.335;-0.03;;
-0.361;-0.06;;
-0.387;-0.1;;
-0.409;-0.13;;
-0.427;-0.16;;
-0.443;-0.19;;
-0.454;-0.22;;
-0.461;-0.24;;
