Corriente;Flujo;Integral;
0.002;0;0.192;
0.006;0;;
0.004;0;;
0.008;0.01;;
0.013;0.01;;
0.018;0.02;;
0.024;0.03;;
0.028;0.04;;
0.033;0.05;;
0.037;0.06;;
0.042;0.08;;
0.047;0.09;;
0.051;0.1;;
0.056;0.12;;
0.06;0.14;;
0.066;0.16;;
0.071;0.18;;
0.077;0.2;;
0.085;0.22;;
0.093;0.25;;
0.103;0.27;;
0.114;0.3;;
0.127;0.32;;
0.141;0.35;;
0.155;0.38;;
0.172;0.4;;
0.19;0.43;;
0.209;0.45;;
0.231;0.48;;
0.253;0.5;;
0.277;0.53;;
0.301;0.55;;
0.326;0.57;;
0.351;0.59;;
0.376;0.61;;
0.4;0.63;;
0.424;0.65;;
0.443;0.66;;
0.457;0.67;;
0.466;0.67;;
0.471;0.67;;
0.471;0.67;;
0.466;0.67;;
0.456;0.67;;
0.443;0.67;;
0.43;0.67;;
0.416;0.67;;
0.402;0.67;;
0.388;0.66;;
0.374;0.66;;
0.36;0.66;;
0.346;0.65;;
0.332;0.65;;
0.319;0.65;;
0.305;0.64;;
0.291;0.64;;
0.278;0.63;;
0.266;0.63;;
0.253;0.62;;
0.24;0.62;;
0.228;0.61;;
0.215;0.61;;
0.203;0.6;;
0.191;0.59;;
0.179;0.58;;
0.167;0.57;;
0.156;0.57;;
0.145;0.56;;
0.134;0.55;;
0.122;0.53;;
0.112;0.52;;
0.102;0.51;;
0.091;0.5;;
0.082;0.48;;
0.071;0.47;;
0.063;0.45;;
0.053;0.44;;
0.045;0.42;;
0.036;0.4;;
0.028;0.38;;
0.02;0.36;;
0.013;0.34;;
0.005;0.32;;
-0.001;0.3;;
-0.007;0.27;;
-0.013;0.25;;
-0.019;0.22;;
-0.024;0.2;;
-0.03;0.17;;
-0.035;0.14;;
-0.042;0.11;;
-0.048;0.07;;
-0.054;0.04;;
-0.06;0.01;;
-0.067;-0.03;;
-0.074;-0.07;;
-0.081;-0.1;;
-0.088;-0.14;;
-0.097;-0.18;;
-0.106;-0.22;;
-0.116;-0.26;;
-0.127;-0.3;;
-0.139;-0.34;;
-0.152;-0.39;;
-0.167;-0.43;;
-0.184;-0.47;;
-0.203;-0.51;;
-0.227;-0.55;;
-0.252;-0.59;;
-0.279;-0.63;;
-0.304;-0.65;;
-0.328;-0.68;;
-0.349;-0.69;;
-0.367;-0.71;;
-0.381;-0.72;;
-0.392;-0.73;;
-0.398;-0.73;;
-0.403;-0.73;;
-0.402;-0.73;;
-0.394;-0.73;;
-0.383;-0.73;;
-0.369;-0.73;;
-0.355;-0.73;;
-0.343;-0.72;;
-0.33;-0.72;;
-0.316;-0.72;;
-0.302;-0.72;;
-0.289;-0.71;;
-0.277;-0.71;;
-0.264;-0.7;;
-0.251;-0.7;;
-0.238;-0.69;;
-0.226;-0.69;;
-0.214;-0.68;;
-0.202;-0.68;;
-0.191;-0.67;;
-0.178;-0.66;;
-0.168;-0.66;;
-0.157;-0.65;;
-0.145;-0.64;;
-0.135;-0.63;;
-0.124;-0.62;;
-0.114;-0.61;;
-0.103;-0.6;;
-0.093;-0.59;;
-0.084;-0.57;;
-0.074;-0.56;;
