Corriente;Flujo;Integral;
0.002;0;0.116;
0.011;0;;
0.006;0.01;;
0.015;0.02;;
0.025;0.03;;
0.035;0.06;;
0.044;0.08;;
0.052;0.11;;
0.062;0.14;;
0.071;0.18;;
0.084;0.22;;
0.099;0.27;;
0.119;0.32;;
0.145;0.37;;
0.178;0.42;;
0.216;0.47;;
0.263;0.52;;
0.312;0.56;;
0.356;0.6;;
0.392;0.62;;
0.416;0.64;;
0.43;0.65;;
0.436;0.65;;
0.424;0.65;;
0.4;0.64;;
0.37;0.64;;
0.339;0.63;;
0.308;0.63;;
0.278;0.62;;
0.249;0.61;;
0.222;0.59;;
0.196;0.58;;
0.17;0.56;;
0.146;0.54;;
0.122;0.52;;
0.101;0.5;;
0.081;0.47;;
0.062;0.44;;
0.043;0.41;;
0.026;0.37;;
0.012;0.33;;
-0.002;0.29;;
-0.013;0.24;;
-0.024;0.19;;
-0.035;0.14;;
-0.046;0.09;;
-0.059;0.04;;
-0.07;-0.01;;
-0.085;-0.06;;
-0.1;-0.11;;
-0.117;-0.16;;
-0.135;-0.22;;
-0.152;-0.27;;
-0.169;-0.32;;
-0.185;-0.36;;
-0.202;-0.39;;
-0.215;-0.42;;
-0.227;-0.44;;
-0.235;-0.45;;
-0.239;-0.46;;
-0.24;-0.46;;
-0.229;-0.46;;
-0.209;-0.45;;
-0.185;-0.44;;
-0.163;-0.43;;
-0.139;-0.42;;
-0.117;-0.41;;
-0.096;-0.39;;
-0.076;-0.37;;
-0.059;-0.35;;
-0.042;-0.32;;
-0.026;-0.29;;
-0.012;-0.26;;
0.001;-0.22;;
0.013;-0.18;;
0.022;-0.14;;
0.032;-0.09;;
0.042;-0.04;;
0.052;0.02;;
0.063;0.07;;
0.075;0.12;;
0.089;0.17;;
0.105;0.22;;
0.123;0.27;;
0.142;0.32;;
0.163;0.37;;
0.184;0.42;;
0.204;0.45;;
0.224;0.48;;
0.24;0.5;;
0.252;0.52;;
0.259;0.53;;
0.261;0.53;;
0.252;0.53;;
0.232;0.52;;
0.207;0.52;;
0.182;0.51;;
0.158;0.5;;
0.134;0.49;;
0.113;0.47;;
0.092;0.45;;
0.073;0.43;;
0.055;0.41;;
0.038;0.38;;
0.024;0.35;;
0.009;0.31;;
-0.003;0.28;;
-0.013;0.23;;
-0.024;0.19;;
-0.034;0.14;;
-0.044;0.08;;
-0.054;0.03;;
-0.066;-0.02;;
-0.079;-0.07;;
-0.095;-0.12;;
-0.112;-0.17;;
-0.131;-0.22;;
-0.151;-0.27;;
-0.172;-0.32;;
-0.194;-0.37;;
-0.214;-0.4;;
-0.232;-0.43;;
-0.246;-0.45;;
-0.258;-0.47;;
-0.265;-0.48;;
-0.266;-0.48;;
-0.258;-0.48;;
-0.237;-0.47;;
-0.214;-0.47;;
-0.19;-0.46;;
-0.165;-0.45;;
-0.141;-0.44;;
-0.119;-0.42;;
-0.098;-0.4;;
-0.079;-0.38;;
-0.06;-0.36;;
-0.043;-0.33;;
-0.028;-0.3;;
-0.013;-0.26;;
-0.001;-0.23;;
0.012;-0.18;;
0.021;-0.14;;
0.031;-0.09;;
0.042;-0.04;;
0.052;0.01;;
0.064;0.07;;
0.075;0.12;;
0.089;0.17;;
0.105;0.22;;
0.123;0.27;;
0.142;0.32;;
