Distance_(pixels),Gray_Value
0,1056
1,1050
2,1039
3,1033
4,1054
5,1051
6,1014
7,1040
8,1032
9,1103
10,1128
11,1055
12,1051
13,1051
14,1049
15,1031
16,1037
17,1057
18,1033
19,1032
20,1057
21,1036
22,1049
23,1041
24,1043
25,1064
26,1022
27,1041
28,1028
29,1069
30,1055
31,1019
32,1004
33,1066
34,1049
35,1029
36,1040
37,1067
38,1027
39,1040
40,1025
41,1031
42,1016
43,1053
44,1026
45,1040
46,1080
47,1066
48,1056
49,1090
50,1183
51,1363
52,1906
53,2614
54,2759
55,1980
56,1328
57,1278
58,1207
59,1108
60,1174
61,1142
62,1098
63,1096
64,1095
65,1058
66,1098
67,1054
68,1062
69,1057
70,1091
71,1059
72,1058
73,1042
74,1024
75,1064
76,1068
77,1055
78,1031
79,1062
80,1046
81,1038
82,1085
83,1060
84,1035
85,1014
86,1043
87,1060
88,1043
89,1041
90,1043
91,1012
92,1054
93,1064
94,1036
95,1040
96,1038
97,1035
98,1043
99,1027
100,1054
101,1018
102,1041
103,1036
104,1041
105,1046
106,1039
107,1049
108,1023
109,1029
110,1046
111,1053
112,1056
113,1044
114,1053
115,1038
116,1033
117,1054
118,1031
119,1040
120,1051
121,1040
122,1062
123,1037
124,1042
125,1033
126,1042
127,1038
128,1056
129,1038
130,1073
131,1046
132,1038
133,1023
134,1018
135,1025
136,1035
137,1043
138,1036
139,1055
140,1056
141,1032
142,1048
143,1038
144,1025
145,1030
146,1027
147,1046
148,1046
149,1052
150,1066
151,1037
152,1027
153,1027
154,1010
155,1031
156,1016
157,1037
158,1037
159,1039
160,1053
161,1035
162,1065
163,1024
164,1037
165,1052
166,1033
167,1060
168,1055
169,1021
170,1019
171,1033
172,1022
173,1032
174,1036
175,1037
176,1032
177,1066
178,1035
179,1071
180,1048
181,1038
182,1027
183,1056
184,1048
185,1051
186,1030
187,1044
188,1046
189,1042
190,1021
191,1042
192,1035
193,1019
194,1014
195,1037
196,1047
197,1021
198,1024
199,1050
200,1045
201,1025
202,1013
203,1059
204,1039
205,1040
206,1036
207,1049
208,1021
209,1017
210,1015
211,1042
212,1056
213,1016
214,1065
215,1016
216,1039
217,1043
218,1046
219,1036
220,1035
221,1032
222,1052
223,1018
224,1031
225,1044
226,1034
227,1051
228,1038
229,1040
230,1046
231,1035
232,1040
233,1050
234,1035
235,1034
236,1033
237,1026
238,1027
239,1037
240,1071
241,1037
242,1023
243,1048
244,1024
245,1033
246,1049
247,1049
248,1022
249,1035
250,1056
251,1017
252,1017
253,1027
254,1032
255,1038
256,1061
257,1037
258,1045
259,1027
260,1050
261,1041
262,1040
263,1052
264,1045
265,1046
266,1048
267,1023
268,1023
269,1053
270,1047
271,1035
272,1009
273,1036
274,1033
275,1040
276,1032
277,1017
278,1034
279,1045
280,1042
281,1034
282,1033
283,1022
284,1040
285,1030
286,1030
287,1045
288,1035
289,1042
290,1038
291,1038
292,1052
293,1052
294,1022
295,1058
296,1034
297,1042
298,1039
299,1026
300,1031
301,1050
302,1046
303,1044
304,1030
305,1053
306,1031
307,1042
308,1042
309,1054
310,1013
311,1033
312,1030
313,1059
314,1046
315,1065
316,1028
317,1031
318,1044
319,1039
320,1028
321,1051
322,1052
323,1038
324,1040
325,1038
326,1017
327,1035
328,1039
329,1046
330,1027
331,1053
332,1057
333,1068
334,1058
335,1049
336,1036
337,1049
338,1043
339,1027
340,1037
341,1062
342,1049
343,1072
344,1008
345,1036
346,1046
347,1041
348,1039
349,1015
350,1026
351,1071
352,1041
353,1052
354,1036
355,1023
356,1036
357,1016
358,1030
359,1023
360,1040
361,1015
362,1027
363,1046
364,1037
365,1015
366,1049
367,1029
368,1066
369,1052
370,1044
371,1041
372,1060
373,1050
374,1031
375,1067
376,1060
377,1067
378,1054
379,1037
380,1057
381,1043
382,1064
383,1038
384,1053
385,1061
386,1048
387,1039
388,1050
389,1048
390,1005
391,1030
392,1024
393,1046
394,1051
395,1045
396,1030
397,1070
398,1034
399,1008
400,1024
401,1059
402,1062
403,1039
404,1047
405,1042
406,1025
407,1038
408,1045
409,1049
410,1034
411,1044
412,1043
413,1061
414,1037
415,1047
416,1042
417,1032
418,1028
419,1040
420,1064
421,1051
422,1031
423,1039
424,1026
425,1022
426,1045
427,1033
428,1040
429,1039
430,1034
431,1020
432,1032
433,1050
434,1036
435,1039
436,1039
437,1054
438,1031
439,1027
440,1056
441,1048
442,1018
443,1065
444,1037
445,1055
446,1051
447,1047
448,1029
449,1052
450,1024
451,1041
452,1048
453,1009
454,1051
455,1039
456,1044
457,1042
458,1036
459,1025
460,1020
461,1038
462,1078
463,1038
464,1044
465,1023
466,1003
467,1047
468,1027
469,1043
470,1029
471,1045
472,1049
473,1065
474,1036
475,1056
476,1041
477,1029
478,1020
479,1035
480,1031
481,1037
482,1016
483,1078
484,1049
485,1033
486,1049
487,1042
488,1046
489,1028
490,1020
491,1060
492,1034
493,1046
494,1050
495,1042
496,1050
497,1022
498,1046
499,1055
500,1055
501,1038
502,1039
503,1054
504,1032
505,1025
506,1038
507,1029
508,1046
509,1046
510,1041
511,1038
512,1041
513,1046
514,1027
515,1024
516,1047
517,1044
518,1039
519,1040
520,1051
521,1068
522,1059
523,1020
524,1058
525,1021
526,1047
527,1040
528,1046
529,1042
530,1024
531,1017
532,1018
533,1039
534,1050
535,1034
536,1024
537,1022
538,1049
539,1022
540,1027
541,1043
542,1019
543,1037
544,1070
545,1029
546,1048
547,1036
548,1052
549,1043
550,1044
551,1050
552,1034
553,1047
554,1057
555,1043
556,1055
557,1054
558,1025
559,1056
560,1045
561,1056
562,1043
563,1037
564,1059
565,1021
566,1035
567,1029
568,1013
569,1036
570,1045
571,1052
572,1037
573,1032
574,1054
575,1064
576,1051
577,1033
578,1042
579,1055
580,1043
581,1024
582,1056
583,1039
584,1041
585,1016
586,1042
587,1031
588,1036
589,1036
590,1039
591,1026
592,1060
593,1035
594,1015
595,1032
596,1042
597,1047
598,1053
599,1053
600,1046
601,1035
602,1049
603,1029
604,1049
605,1043
606,1032
607,1032
608,1041
609,1020
610,1049
611,1046
612,1038
613,1036
614,1027
615,1052
616,1039
617,1030
618,1034
619,1041
620,1051
621,1037
622,1031
623,1051
624,1057
625,1048
626,1021
627,1033
628,1036
629,1037
630,1055
631,1033
632,1048
633,1067
634,1024
635,1032
636,1064
637,1051
638,1049
639,1026
640,1042
641,1055
642,1037
643,1053
644,1063
645,1035
646,1061
647,1049
648,1033
649,1025
650,1064
651,1029
652,1045
653,1033
654,1049
655,1039
656,1041
657,1056
658,1037
659,1044
660,1045
661,1052
662,1054
663,1041
664,1047
665,1037
666,1035
667,1047
668,1045
669,1029
670,1029
671,1061
672,1009
673,1065
674,1017
675,1032
676,1029
677,1053
678,1032
679,1049
680,1055
681,1040
682,1068
683,1023
684,1033
685,1048
686,1054
687,1042
688,1052
689,1036
690,1038
691,1030
692,1038
693,1030
694,1054
695,1058
696,1046
697,1050
698,1014
699,1034
700,1055
701,1038
702,1026
703,1054
704,1042
705,1044
706,1027
707,1051
708,1034
709,1047
710,1034
711,1073
712,1056
713,1011
714,1056
715,1043
716,1020
717,1043
718,1044
719,1043
720,1044
721,1051
722,1028
723,1055
724,1032
725,1050
726,1032
727,1039
728,1033
729,1031
730,1054
731,1035
732,1049
733,1017
734,1045
735,1014
736,1041
737,1052
738,1032
739,1068
740,1014
741,1049
742,1058
743,1011
744,1051
745,1035
746,1017
747,1018
748,1049
749,1080
750,1045
751,1056
752,1058
753,1069
754,1034
755,1065
756,1035
757,1038
758,1033
759,1055
760,1041
761,1045
762,1022
763,1020
764,1044
765,1053
766,1032
767,1035
768,1055
769,1066
770,1081
771,1051
772,1025
773,1021
774,1050
775,1021
776,1016
777,1061
778,1021
779,1039
780,1045
781,1023
782,1032
783,1033
784,1053
785,1032
786,1041
787,1034
788,1033
789,1040
790,1046
791,1056
792,1054
793,1004
794,1059
795,1050
796,1022
797,1007
798,1026
799,1061
800,1039
801,1059
802,1053
803,1043
804,1049
805,1025
806,1053
807,1040
808,1037
809,1049
810,1049
811,1045
812,1046
813,1041
814,1036
815,1061
816,1048
817,1067
818,1072
819,1070
820,1052
821,1059
822,1040
823,1059
824,1055
825,1038
826,1053
827,1039
828,1056
829,1045
830,1047
831,1028
832,1048
833,1035
834,1020
835,1040
836,1047
837,1059
838,1020
839,1054
840,1039
841,1029
842,1012
843,1026
844,1038
845,1049
846,1040
847,1039
848,1031
849,1046
850,1044
851,1039
852,1048
853,1025
854,1039
855,1030
856,1044
857,1046
858,1068
859,1049
860,1067
861,1038
862,1035
863,1042
864,1037
865,1041
866,1062
867,1052
868,1062
869,1049
870,1044
871,1035
872,1035
873,1054
874,1044
875,1050
876,1048
877,1029
878,1050
879,1034
880,1038
881,1047
882,1049
883,1035
884,1019
885,1043
886,1056
887,1013
888,1040
889,1040
890,1045
891,1059
892,1025
893,1050
894,1043
895,1048
896,1052
897,1033
898,1067
899,1041
900,1042
901,1050
902,1065
903,1049
904,1033
905,1018
906,1051
907,1049
908,1048
909,1021
910,1027
911,1025
912,1045
913,1066
914,1032
915,1037
916,1052
917,1044
918,1014
919,1058
920,1057
921,1039
922,1046
923,1071
924,1067
925,1053
926,1040
927,1055
928,1061
929,1040
930,1036
931,1027
932,1020
933,1033
934,1035
935,1058
936,1033
937,1035
938,1041
939,1056
940,1035
941,1052
942,1033
943,1048
944,1011
945,1037
946,1038
947,1028
948,1015
949,1020
950,1044
951,1054
952,1054
953,1032
954,1051
955,1031
956,1046
957,1030
958,1043
959,1052
960,1057
961,1047
962,1058
963,1037
964,1046
965,1032
966,1044
967,1050
968,1049
969,1042
970,1070
971,1050
972,1051
973,1048
974,1051
975,1042
976,1043
977,1044
978,1031
979,1045
980,1054
981,1048
982,1050
983,1040
984,1057
985,1078
986,1046
987,1042
988,1042
989,1037
990,1023
991,1039
992,1046
993,1047
994,1048
995,1049
996,1036
997,1030
998,1044
999,1042
1000,1053
1001,1038
1002,1035
1003,1027
1004,1054
1005,1012
1006,1042
1007,1017
1008,1021
1009,1038
1010,1046
1011,1038
1012,1037
1013,1041
1014,1022
1015,1063
1016,1047
1017,1025
1018,1037
1019,1046
1020,1053
1021,1056
1022,1049
1023,1036
1024,1051
1025,1049
1026,1039
1027,1045
1028,1023
1029,1036
1030,1044
1031,1040
1032,1052
1033,1048
1034,1035
1035,1027
1036,1071
1037,1011
1038,1047
1039,1040
1040,1057
1041,1045
1042,1064
1043,1033
1044,1046
1045,1052
1046,1052
1047,1042
1048,1017
1049,1034
1050,1042
1051,1039
1052,1034
1053,1052
1054,1054
1055,1023
1056,1029
1057,1031
1058,1058
1059,1051
1060,1049
1061,1020
1062,1041
1063,1015
1064,1057
1065,1065
1066,1051
1067,1024
1068,1045
1069,1076
1070,1049
1071,1036
1072,1055
1073,1065
1074,1031
1075,1056
1076,1043
1077,1028
1078,1025
1079,1064
1080,1038
1081,1049
1082,1038
1083,1053
1084,1063
1085,1030
1086,1060
1087,1043
1088,1032
1089,1032
1090,1063
1091,1038
1092,1053
1093,1023
1094,1035
1095,1065
1096,1054
1097,1045
1098,1045
1099,1048
1100,1032
1101,1047
1102,1073
1103,1036
1104,1030
1105,1062
1106,1040
1107,1045
1108,1054
1109,1038
1110,1030
1111,1055
1112,1032
1113,1023
1114,1038
1115,1046
1116,1032
1117,1026
1118,1068
1119,1058
1120,1030
1121,1055
1122,1046
1123,1014
1124,1050
1125,1043
1126,1068
1127,1042
1128,1022
1129,1039
1130,1013
1131,1019
1132,1043
1133,1046
1134,1044
1135,1052
1136,1036
1137,1057
1138,1054
1139,1027
1140,1050
1141,1067
1142,1052
1143,1031
1144,1040
1145,1067
1146,1057
1147,1059
1148,1056
1149,1038
1150,1037
1151,1069
1152,1013
1153,1038
1154,1079
1155,1025
1156,1044
1157,1053
1158,1050
1159,1049
1160,1036
1161,1055
1162,1033
1163,1043
1164,1057
1165,1046
1166,1045
1167,1060
1168,1072
1169,1048
1170,1026
1171,1048
1172,1026
1173,1047
1174,1031
1175,1050
1176,1055
1177,1055
1178,1057
1179,1037
1180,1055
1181,1048
1182,1041
1183,1056
1184,1052
1185,1036
1186,1046
1187,1036
1188,1054
1189,1050
1190,1059
1191,1066
1192,1051
1193,1050
1194,1043
1195,1068
1196,1071
1197,1056
1198,1058
1199,1097
1200,1159
1201,1340
1202,1655
1203,1979
1204,1968
1205,1593
1206,1278
1207,1200
1208,1164
1209,1151
1210,1101
1211,1083
1212,1102
1213,1098
1214,1076
1215,1060
1216,1073
1217,1050
1218,1055
1219,1043
1220,1079
1221,1037
1222,1038
1223,1056
1224,1061
1225,1044
1226,1037
1227,1023
1228,1070
1229,1024
1230,1027
1231,1033
1232,1013
1233,1054
1234,1043
1235,1037
1236,1036
1237,1032
1238,1058
1239,1029
1240,1009
1241,1046
1242,1058
1243,1043
1244,1044
1245,1044
1246,1047
1247,1011
1248,1045
1249,1043
1250,1050
1251,1025
1252,1045
1253,1033
1254,1040
1255,1055
1256,1041
1257,1040
1258,1020
1259,1035
1260,1040
1261,1069
1262,1066
1263,1039
1264,1045
1265,1050
1266,1048
1267,1038
1268,1012
1269,1053
1270,1039
1271,1042
1272,1031
