Distance_(pixels),Gray_Value
0,1085
1,1097
2,1082
3,1118
4,1154
5,1305
6,1433
7,1618
8,1956
9,2326
10,2129
11,1659
12,1352
13,1131
14,1076
15,1037
16,1050
17,1035
18,1046
19,1071
20,1035
21,1062
22,1046
23,1058
24,1044
25,1066
26,1062
27,1034
28,1034
29,1041
30,1024
31,1046
32,1030
33,1042
34,1039
35,1039
36,1030
37,1044
38,1040
39,1030
40,1054
41,1024
42,1061
43,1033
44,1028
45,1036
46,1063
47,1065
48,1069
49,1055
50,1053
51,1050
52,1035
53,1041
54,1038
55,1047
56,1048
57,1044
58,1057
59,1066
60,1054
61,1029
62,1035
63,1025
64,1058
65,1030
66,1029
67,1032
68,1059
69,1052
70,1056
71,1045
72,1041
73,1034
74,1061
75,1053
76,1037
77,1057
78,1048
79,1031
80,1055
81,1051
82,1015
83,1041
84,1044
85,1058
86,1034
87,1048
88,1057
89,1067
90,1044
91,1040
92,1037
93,1047
94,1056
95,1047
96,1049
97,1053
98,1022
99,1053
100,1040
101,1039
102,1035
103,1042
104,1049
105,1051
106,1074
107,1024
108,1046
109,1045
110,1014
111,1040
112,1033
113,1060
114,1043
115,1030
116,1045
117,1039
118,1031
119,1032
120,1052
121,1037
122,1048
123,1032
124,1051
125,1055
126,1047
127,1037
128,1061
129,1044
130,1036
131,1066
132,1019
133,1059
134,1037
135,1043
136,1034
137,1026
138,1036
139,1057
140,1048
141,1064
142,1034
143,1039
144,1057
145,1021
146,1031
147,1042
148,1050
149,1043
150,1027
151,1034
152,1044
153,1050
154,1042
155,1066
156,1042
157,1049
158,1056
159,1038
160,1038
161,1058
162,1063
163,1029
164,1050
165,1034
166,1016
167,1034
168,1041
169,1054
170,1022
171,1037
172,1036
173,1033
174,1010
175,1040
176,1049
177,1027
178,1021
179,1030
180,1047
181,1041
182,1026
183,1035
184,1052
185,1026
186,1029
187,1068
188,1040
189,1029
190,1042
191,1055
192,1049
193,1037
194,1027
195,1050
196,1058
197,1085
198,1029
199,1040
200,1040
201,1026
202,1009
203,1033
204,1033
205,1065
206,1040
207,1029
208,1075
209,1053
210,1027
211,1033
212,1043
213,1006
214,1041
215,1062
216,1049
217,1046
218,1038
219,1059
220,1034
221,1035
222,1036
223,1038
224,1036
225,1052
226,1046
227,1045
228,1032
229,1029
230,1031
231,1024
232,1015
233,1047
234,1039
235,1028
236,1037
237,1032
238,1042
239,1034
