Distance_(pixels),Gray_Value
0,1055
1,1038
2,1067
3,1016
4,1046
5,1016
6,1052
7,1050
8,1035
9,1054
10,1045
11,1039
12,1054
13,1044
14,1020
15,1031
16,1052
17,1042
18,1041
19,1067
20,1038
21,1033
22,1062
23,1045
24,1036
25,1050
26,1033
27,1026
28,1065
29,1033
30,1038
31,1055
32,1038
33,1041
34,1069
35,1048
36,1074
37,1036
38,1037
39,1055
40,1035
41,1014
42,1041
43,1049
44,1048
45,1042
46,1064
47,1053
48,1049
49,1063
50,1034
51,1041
52,1061
53,1047
54,1038
55,1034
56,1051
57,1043
58,1034
59,1068
60,1036
61,1076
62,1054
63,1050
64,1075
65,1039
66,1063
67,1054
68,1020
69,1048
70,1050
71,1038
72,1042
73,1041
74,1043
75,1024
76,1070
77,1042
78,1025
79,1040
80,1061
81,1046
82,1054
83,1027
84,1027
85,1023
86,1066
87,1044
88,1028
89,1020
90,1058
91,1034
92,1033
93,1039
94,1043
95,1046
96,1040
97,1023
98,1022
99,1048
100,1024
101,1047
102,1046
103,1030
104,1027
105,1023
106,1044
107,1040
108,1044
109,1030
110,1038
111,1015
112,1051
113,1055
114,1032
115,1048
116,1052
117,1054
118,1034
119,1037
120,1013
121,1061
122,1042
123,1008
124,1071
125,1039
126,1021
127,1032
128,1039
129,1062
130,1050
131,1055
132,1067
133,1022
134,1036
135,1060
136,1066
137,1050
138,1038
139,1051
140,1059
141,1052
142,1042
143,1050
144,1038
145,1064
146,1043
147,1040
148,1044
149,1054
150,1041
151,1054
152,1043
153,1013
154,1032
155,1045
156,1038
157,1030
158,1021
159,1043
160,1043
161,1048
162,1060
163,1063
164,1036
165,1048
166,1071
167,1047
168,1028
169,1047
170,1037
171,1028
172,1040
173,1031
174,1068
175,1053
176,1039
177,1027
178,1050
179,1031
180,1041
181,1040
182,1012
183,1044
184,1038
185,1037
186,1081
187,1053
188,1057
189,1066
190,1045
191,1033
192,1027
193,1029
194,1030
195,1019
196,1053
197,1060
198,1057
199,1026
200,1034
201,1029
202,1051
203,1031
204,1030
205,1044
206,1079
207,1056
208,1016
209,1038
210,1045
211,1034
212,1029
213,1033
214,1048
215,1033
216,1042
217,1049
218,1037
219,1055
220,1035
221,1042
222,1023
223,1013
224,1024
225,1036
226,1034
227,1018
228,1033
229,1027
230,1025
231,1040
232,1040
233,1019
234,1062
235,1057
236,1043
237,1037
238,1018
239,1036
240,1041
241,1044
242,1039
243,1050
244,1033
245,1063
246,1027
247,1046
248,1050
249,1007
