Distance_(pixels),Gray_Value
0,1049
1,1040
2,1051
3,1011
4,1042
5,1042
6,1046
7,1029
8,1049
9,1043
10,1055
11,1047
12,1052
13,1044
14,1065
15,1037
16,1049
17,1060
18,1040
19,1064
20,1034
21,1054
22,1056
23,1060
24,1028
25,1033
26,1061
27,1042
28,1054
29,1044
30,1052
31,1042
32,1037
33,1045
34,1008
35,1056
36,1061
37,1034
38,1038
39,1038
40,1042
41,1022
42,1077
43,1037
44,1059
45,1041
46,1025
47,1042
48,1038
49,1037
50,1072
51,1046
52,1029
53,1039
54,1038
55,1050
56,1049
57,1042
58,1031
59,1037
60,1045
61,1060
62,995
63,1059
64,1048
65,1048
66,1070
67,1059
68,1059
69,1058
70,1064
71,1063
72,1057
73,1027
74,1027
75,1048
76,1047
77,1032
78,1041
79,1035
80,1042
81,1051
82,1048
83,1040
84,1037
85,1025
86,1055
87,1052
88,1058
89,1024
90,1036
91,1047
92,1032
93,1035
94,1048
95,1028
96,1055
97,1058
98,1043
99,1056
100,1066
101,1051
102,1045
103,1025
104,1072
105,1057
106,1057
107,1094
108,1056
109,1058
110,1076
111,1056
112,1067
113,1074
114,1051
115,1088
116,1072
117,1115
118,1075
119,1097
120,1092
121,1188
122,1203
123,1287
124,1390
125,1872
126,2280
127,2131
128,1715
129,1785
130,2158
131,2184
132,1725
133,1315
134,1150
135,1121
136,1124
137,1192
138,1329
139,1267
140,1228
141,1146
142,1092
143,1100
144,1125
145,1140
146,1261
147,1316
148,1340
149,1238
150,1184
151,1234
152,1246
153,1392
154,1835
155,2162
156,1997
157,1715
158,1664
159,1921
160,1963
161,1568
162,1271
163,1164
164,1044
165,1079
166,1040
167,1071
168,1026
169,1050
170,1023
171,1032
172,1031
173,1057
174,1063
175,1087
176,1050
177,1039
178,1058
179,1039
180,1049
181,1047
182,1055
183,1043
184,1057
185,1044
186,1019
187,1055
188,1071
189,1044
190,1042
191,1041
192,1023
193,1021
194,1058
195,1045
196,1032
197,1023
198,1064
199,1035
200,1038
201,1038
202,1033
203,1046
204,1063
205,1069
206,1049
207,1056
208,1075
209,1057
210,1040
211,1036
212,1054
213,1045
214,1016
215,1040
216,1044
217,1049
218,1050
219,1062
220,1030
221,1060
222,1034
223,1073
224,1021
225,1059
226,1070
227,1039
228,1036
229,1032
230,1033
231,1043
232,1051
233,1048
234,1024
235,1038
236,1015
237,1029
238,1042
239,1030
240,1037
241,1053
242,1076
243,1045
244,1027
245,1040
246,1034
247,1058
248,1056
249,1045
250,1056
251,1041
252,1053
253,1052
254,1040
255,1030
256,1020
257,1034
258,1036
259,1026
260,1035
261,1062
262,1015
263,1040
264,1065
265,1031
266,1033
267,1055
268,1040
269,1018
270,1019
271,1048
272,1025
273,1046
274,1051
275,1031
276,1074
277,1048
278,1063
279,1045
280,1045
281,1053
282,1034
283,1057
284,1046
285,1064
286,1048
287,1035
288,1054
289,1057
290,1040
291,1020
292,1047
293,1043
294,1040
295,1030
296,1028
297,1041
298,1031
299,1036
300,1039
301,1036
302,1070
303,1029
304,1044
305,1055
306,1024
307,1069
308,1030
309,1054
310,1049
311,1046
312,1056
313,1041
314,1061
315,1036
316,1011
317,1038
318,1056
319,1042
320,1030
321,1039
322,1037
323,1048
324,1041
325,1029
326,1047
327,1030
328,1042
329,1050
330,1062
331,1049
332,1055
333,1031
334,1061
335,1035
336,1028
337,1039
338,1057
339,1028
340,1031
341,1042
342,1031
343,1072
344,1068
345,1041
346,1025
347,1051
348,1032
349,1048
350,1056
351,1038
352,1031
353,1068
354,1046
355,1054
356,1039
357,1031
358,1020
359,1041
360,1017
361,1051
362,1047
363,1028
364,1036
365,1040
366,1021
367,1037
368,1018
369,1056
370,1046
371,1038
372,1064
373,1045
374,1028
375,1031
376,1043
377,1022
378,1024
379,1038
380,1033
381,1025
382,1069
383,1040
384,1045
385,1050
386,1080
387,1052
388,1062
389,1058
390,1037
391,1026
392,1068
393,1019
394,1055
395,1048
396,1029
397,1028
398,1037
399,1045
400,1040
401,1038
402,1036
403,1034
404,1020
405,1034
406,1027
407,1040
408,1035
409,1034
410,1035
411,1049
412,1050
413,1047
414,1061
415,1033
416,1054
417,1051
418,1065
419,1040
420,1054
421,1047
422,1035
423,1048
424,1034
425,1041
426,1061
427,1065
428,1066
429,1043
430,1046
431,1046
432,1040
433,1045
434,1047
435,1043
436,1055
437,1032
438,1030
439,1053
440,1019
441,1041
442,1034
443,1029
444,1048
445,1061
446,1038
447,1053
448,1034
449,1048
450,1040
451,1045
452,1028
453,1047
454,1032
455,1060
456,1042
457,1052
458,1049
459,1028
460,1050
461,1053
462,1040
463,1032
464,1048
465,1037
466,1046
467,1028
468,1052
469,1054
470,1052
471,1037
472,1038
473,1020
474,1055
475,1060
476,1046
477,1015
478,1026
479,1039
480,1042
481,1053
482,1041
483,1047
484,1047
485,1057
486,1046
487,1042
488,1049
489,1043
490,1062
491,1007
492,1035
493,1022
494,1055
495,1027
496,1037
497,1037
498,1037
499,1047
500,1033
501,1054
502,1010
503,1068
504,1033
505,1042
506,1057
507,1047
508,1026
509,1050
510,1043
511,1054
512,1059
513,1045
514,1015
515,1059
516,1031
517,1027
518,1056
519,1045
520,1013
521,1025
522,1019
523,1044
524,1034
525,1038
526,1044
527,1039
528,1038
529,1021
530,1023
531,1052
532,1043
533,1039
534,1042
535,1029
536,1034
537,1035
538,1029
539,1027
540,1052
541,1053
542,1049
543,1066
544,1049
545,1030
546,1032
547,1058
548,1071
549,1042
550,1031
551,1042
552,1051
553,1037
554,1029
555,1043
556,1029
557,1057
558,1026
559,1018
560,1055
561,1050
562,1028
563,1019
564,1021
565,1037
566,1055
567,1052
568,1025
569,1056
570,1030
571,1029
572,1042
573,1058
574,1050
575,1013
576,1056
577,1015
578,1027
579,1031
580,1034
581,1044
582,1045
583,1039
584,1037
585,1035
586,1048
587,1030
588,1051
589,1054
590,1031
591,1036
592,1057
593,1019
594,1037
595,1023
596,1036
597,1032
598,1053
599,1026
600,1025
601,1044
602,1026
603,1032
604,1049
605,1042
606,1034
607,1037
608,1052
609,1020
610,1059
611,1061
612,1026
613,1032
614,1044
615,1051
616,1034
617,1041
618,1040
619,1026
620,1041
621,1065
622,1030
623,1054
624,1039
625,1042
626,1066
627,1039
628,1033
629,1039
630,1029
631,1049
632,1033
633,1054
634,1037
635,1056
636,1058
637,1042
638,1041
639,1034
640,1040
641,1023
642,1027
643,1034
644,1039
645,1020
646,1049
647,1055
648,1063
649,1043
650,1048
651,1062
652,1029
653,1007
654,1037
655,1056
656,1043
657,1034
658,1047
659,1040
660,1030
661,1055
662,1033
663,1049
664,1046
665,1057
666,1039
667,1044
668,1020
669,1019
670,1052
671,1065
672,1060
673,1026
674,1053
675,1040
676,1040
677,1046
678,1055
679,1036
680,1036
681,1040
682,1051
683,1059
684,1034
685,1040
686,1018
687,1043
688,1025
689,1057
690,1062
691,1039
692,1039
693,1062
694,1024
695,1033
696,1035
697,1039
698,1041
699,1076
700,1040
701,1051
702,1037
703,1036
704,1076
705,1044
706,1041
707,1056
708,1038
709,1026
710,1054
711,1016
712,1042
713,1041
714,1053
715,1043
716,1044
717,1037
718,1030
719,1028
720,1035
721,1048
722,1032
723,1045
724,1018
725,1059
726,1028
727,1010
728,1054
729,1067
730,1029
731,1028
732,1057
733,1045
734,1039
735,1036
736,1046
737,1050
738,1014
739,1031
740,1054
741,1055
742,1021
743,1037
744,1035
745,1033
746,1037
747,1024
748,1042
749,1043
750,1038
751,1044
752,1048
753,1029
754,1013
755,1039
756,1044
757,1026
758,1032
759,1050
760,1033
761,1038
762,1031
763,1034
764,1049
765,1028
766,1015
767,1043
768,1039
769,1052
770,1028
771,1045
772,1033
773,1053
774,1040
775,1036
776,1034
777,1068
778,1042
779,1040
780,1044
781,1041
782,1024
783,1045
784,1030
785,1036
786,1032
787,1044
788,1026
789,1021
790,1048
791,1052
792,1020
793,1045
794,1042
795,1046
796,1050
797,1042
798,1048
799,1047
800,1049
801,1045
802,1051
803,1052
804,1047
805,1070
806,1036
807,1051
808,1042
809,1037
810,1037
811,1054
812,1047
813,1033
814,1054
815,1030
816,1033
817,1029
818,1088
819,1035
820,1037
821,1046
822,1012
823,1030
824,1039
825,1034
826,1033
827,1022
828,1019
829,1043
830,1039
831,1042
832,1057
833,1047
834,1049
835,1003
836,1023
837,1054
838,1023
839,1036
840,1033
841,1033
842,1039
843,1061
844,1060
845,1048
846,1046
847,1037
848,1012
849,1030
850,1054
851,1037
852,1046
853,1042
854,1037
855,1059
856,1036
857,1085
858,1047
859,1044
860,1039
861,1052
862,1076
863,1033
864,1048
865,1035
866,1050
867,1040
868,1044
869,1046
870,1035
871,1027
872,1040
873,1022
874,1055
875,1051
876,1055
877,1038
878,1021
879,1043
880,1035
881,1043
882,1009
883,1048
884,1063
885,1021
886,1047
887,1020
888,1060
889,1007
890,1036
891,1035
892,1044
893,1040
894,1041
895,1058
896,1047
897,1016
898,1054
899,1042
900,1041
901,1055
902,1018
903,1061
904,1017
905,1024
906,1063
907,1043
908,1032
909,1060
910,1034
911,1019
912,1023
913,1036
914,1028
915,1031
916,1061
917,1017
918,1048
919,1054
920,1035
921,1046
922,1030
923,1054
924,1035
925,1015
926,1077
927,1017
928,1053
929,1033
930,1039
931,1064
932,1042
933,1020
934,1044
935,1033
936,1044
937,1063
938,1018
939,1038
940,1052
941,1068
942,1053
943,1045
944,1027
945,1058
946,1038
947,1022
948,1056
949,1041
950,1041
951,1027
952,1037
953,1046
954,1028
955,1016
956,1051
957,1036
958,1051
959,1052
960,1040
961,1033
962,1052
963,1041
964,1032
965,1038
966,1020
967,1040
968,1040
969,1050
970,1037
971,1048
972,1032
973,1048
974,1051
975,1028
976,1052
977,1038
978,1026
979,1051
980,1028
981,1068
982,1035
983,1049
984,1051
985,1042
986,1038
987,1037
988,1030
989,1043
990,1049
991,1033
992,1042
993,1043
994,1021
995,1042
996,1040
997,1075
998,1055
999,1058
1000,1041
1001,1040
1002,1057
1003,1029
1004,1035
1005,1038
1006,1028
1007,1038
1008,1040
1009,1041
1010,1011
1011,1058
1012,1027
1013,1020
1014,1042
1015,1041
1016,1043
1017,1015
1018,1028
1019,1065
1020,1030
1021,1029
1022,993
1023,1044
1024,1024
1025,1011
1026,1060
1027,1036
1028,1038
1029,1062
1030,1057
1031,1042
1032,1034
1033,1053
1034,1045
1035,1044
1036,1047
1037,1033
1038,1036
1039,1042
1040,1050
1041,1049
1042,1050
1043,1046
1044,1051
1045,1061
1046,1038
1047,1033
1048,1051
1049,1039
1050,1034
1051,1029
1052,1058
1053,1071
1054,1043
1055,1039
1056,1056
1057,1057
1058,1037
1059,1059
1060,1039
1061,1054
1062,1016
1063,1058
1064,1031
1065,1051
1066,1057
1067,1028
1068,1047
1069,1037
1070,1025
1071,1062
1072,1052
1073,1033
1074,1010
1075,1042
1076,1025
1077,1038
1078,1020
1079,1017
1080,1041
1081,1040
1082,1025
1083,1040
1084,1040
1085,1042
1086,1058
1087,1036
1088,1008
1089,1032
1090,1035
1091,1023
1092,1046
1093,1010
1094,1042
1095,1031
1096,1027
1097,1049
1098,1043
1099,1039
1100,1029
1101,1035
1102,1012
1103,1039
1104,1027
1105,1042
1106,1055
1107,1028
1108,1041
1109,1031
1110,1033
1111,1045
1112,1024
1113,1048
1114,1061
1115,1030
1116,1038
1117,1034
1118,1058
1119,1036
1120,1019
1121,1039
1122,1039
1123,1047
1124,1044
1125,1065
1126,1011
1127,1029
1128,1039
1129,1060
1130,1032
1131,1011
1132,1026
1133,1019
1134,1028
1135,1042
1136,1031
1137,1041
1138,1021
1139,1056
1140,1059
1141,1029
1142,1010
1143,1050
1144,1044
1145,1031
1146,1032
1147,1041
1148,1035
1149,1070
1150,1037
1151,1048
1152,1038
1153,1039
1154,1005
1155,1060
1156,1032
1157,1055
1158,1039
1159,1018
1160,1064
1161,1024
1162,1037
1163,1075
1164,1041
1165,1070
1166,1058
1167,1042
1168,1037
1169,1026
1170,1031
1171,1045
1172,1035
1173,1036
1174,1015
1175,1041
1176,1034
1177,1041
1178,1024
1179,1041
1180,1064
1181,1049
1182,1028
1183,1032
1184,1044
1185,1020
1186,1030
1187,1020
1188,1046
1189,1056
1190,1024
1191,1039
1192,1042
1193,1043
1194,1046
1195,1040
1196,1041
1197,1057
1198,1049
1199,1029
1200,1034
1201,1040
1202,1022
1203,1066
1204,1054
1205,1039
1206,1034
1207,1055
1208,1033
1209,1051
1210,1049
1211,1021
1212,1039
1213,1034
1214,1057
1215,1032
1216,1058
1217,1053
1218,1045
1219,1060
1220,1042
1221,1031
1222,1020
1223,1058
1224,1040
1225,1047
1226,1033
1227,1046
1228,1027
1229,998
1230,1049
1231,1054
1232,1049
1233,1031
1234,1051
1235,1060
1236,1003
1237,1028
1238,1039
1239,1051
1240,1046
1241,1025
1242,1040
1243,1041
1244,1023
1245,1031
1246,1040
1247,1056
1248,1052
1249,1045
1250,1039
1251,1036
1252,1036
1253,1042
1254,1048
1255,1037
1256,1042
1257,1074
1258,1051
1259,1032
1260,1048
1261,1059
1262,1029
1263,1013
1264,1040
1265,1052
1266,1053
1267,1032
1268,1054
1269,1016
1270,1028
1271,1050
1272,1040
1273,1027
1274,1042
1275,1026
1276,1031
1277,1038
1278,1039
1279,1053
1280,1061
1281,1045
1282,1013
1283,1055
1284,1022
1285,1046
1286,1064
1287,1062
1288,1035
1289,1039
1290,1049
1291,1066
1292,1051
1293,1031
1294,1047
1295,1044
1296,1055
1297,1045
1298,1047
1299,1047
1300,1030
1301,1033
1302,1044
1303,1037
1304,1051
1305,1033
1306,1064
1307,1048
1308,1028
1309,1027
1310,1034
1311,1036
1312,1036
1313,1026
1314,1039
1315,1033
1316,1030
1317,1016
1318,1031
1319,1037
1320,1048
1321,1023
1322,1020
1323,1013
1324,1044
1325,1076
1326,1017
1327,1042
1328,1050
1329,1040
1330,1058
1331,1024
1332,1049
1333,1055
1334,1048
1335,1019
1336,1048
1337,1038
1338,1035
1339,1044
1340,1017
1341,1060
1342,1047
1343,1039
1344,1026
1345,1018
1346,1048
1347,1039
1348,1039
1349,1033
1350,1029
1351,1050
1352,1027
1353,1033
1354,1026
1355,1046
1356,1067
1357,1053
1358,1028
1359,1045
1360,1059
1361,1035
1362,1012
1363,1072
1364,1020
1365,1041
1366,1025
1367,1050
1368,1044
1369,1038
1370,1042
1371,1034
1372,1033
1373,1030
1374,1029
1375,1019
1376,1031
1377,1030
1378,1037
1379,1056
1380,1025
1381,1061
1382,1033
1383,1036
1384,1042
1385,1036
1386,1040
1387,1046
1388,1034
