Distance_(pixels),Gray_Value
0,1045
1,1038
2,1045
3,1034
4,1042
5,1057
6,1062
7,1057
8,1042
9,1066
10,1037
11,1044
12,1049
13,1040
14,1036
15,1037
16,1041
17,1043
18,1039
19,1055
20,1075
21,1049
22,1020
23,1052
24,1038
25,1050
26,1037
27,1053
28,1045
29,1066
30,1034
31,1029
32,1033
33,1035
34,1038
35,1052
36,1045
37,1017
38,1032
39,1046
40,1007
41,1063
42,1069
43,1043
44,1038
45,1042
46,1038
47,1043
48,1044
49,1042
50,1022
51,1038
52,1030
53,1057
54,1042
55,1052
56,1046
57,1048
58,1047
59,1042
60,1025
61,1038
62,1043
63,1038
64,1042
65,1025
66,1028
67,1042
68,1052
69,1032
70,1035
71,1049
72,1036
73,1043
74,1049
75,1054
76,1049
77,1027
78,1042
79,1051
80,1010
81,1045
82,1024
83,1032
84,1048
85,1050
86,1069
87,1051
88,1043
89,1041
90,1064
91,1041
92,1036
93,1048
94,1033
95,1065
96,1049
97,1055
98,1039
99,1055
100,1017
101,1051
102,1028
103,1070
104,1070
105,1059
106,1048
107,1059
108,1032
109,1062
110,1044
111,1025
112,1034
113,1059
114,1044
115,1041
116,1045
117,1060
118,1028
119,1047
120,1039
121,1035
122,1043
123,1041
124,1038
125,1026
126,1056
127,1050
128,1027
129,1040
130,1042
131,1055
132,1030
133,1036
134,1033
135,1058
136,1028
137,1062
138,1051
139,1065
140,1060
141,1055
142,1046
143,1054
144,1037
145,1067
146,1028
147,1064
148,1020
149,1033
150,1052
151,1025
152,1037
153,1049
154,1051
155,1019
156,1015
157,1017
158,1053
159,1046
160,1032
161,1048
162,1031
163,1041
164,1046
165,1043
166,1055
167,1052
168,1075
169,1044
170,1030
171,1040
172,1041
173,1040
174,1033
175,1068
176,1051
177,1051
178,1015
179,1055
180,1039
181,1044
182,1044
183,1036
184,1040
185,1056
186,1051
187,1049
188,1055
189,1039
190,1049
191,1058
192,1019
193,1070
194,1032
195,1043
196,1028
197,1044
198,1030
199,1047
200,1062
201,1029
202,1021
203,1050
204,1042
205,1062
206,1033
207,1061
208,1014
209,1024
210,1046
211,1045
212,1029
213,1044
214,1053
215,1030
216,1043
217,1057
218,1023
219,1033
220,1060
221,1030
222,1027
223,1030
224,1019
225,1053
226,1014
227,1066
228,1018
229,1058
