Distance_(pixels),Gray_Value
0,1023
1,1023
2,1030
3,1069
4,1027
5,1041
6,1036
7,1016
8,1035
9,1056
10,1049
11,1033
12,1043
13,1028
14,1043
15,1053
16,1035
17,1040
18,1029
19,1040
20,1055
21,1040
22,1031
23,1039
24,1055
25,1048
26,1041
27,1066
28,1080
29,1034
30,1035
31,1069
32,1032
33,1039
34,1054
35,1036
36,1035
37,1055
38,1022
39,1058
40,1041
41,1042
42,1030
43,1060
44,1026
45,1025
46,1054
47,1026
48,1043
49,1032
50,1053
51,1038
52,1048
53,1048
54,1063
55,1049
56,1058
57,1065
58,1033
59,1056
60,1059
61,1052
62,1043
63,1049
64,1041
65,1036
66,1029
67,1078
68,1063
69,1065
70,1067
71,1059
72,1038
73,1032
74,1033
75,1052
76,1052
77,1040
78,1059
79,1039
80,1061
81,1059
82,1047
83,1064
84,1046
85,1019
86,1048
87,1034
88,1065
89,1042
90,1038
91,1053
92,1060
93,1057
94,1050
95,1054
96,1019
97,1047
98,1025
99,1044
100,1050
101,1050
102,1052
103,1045
104,1025
105,1060
106,1032
107,1073
108,1057
109,1049
110,1039
111,1043
112,1049
113,1065
114,1051
115,1062
116,1102
117,1147
118,1175
119,1192
120,1234
121,1234
122,1156
123,1074
124,1065
125,1070
126,1062
127,1053
128,1056
129,1053
130,1040
131,1056
132,1047
133,1051
134,1029
135,1043
136,1049
137,1034
138,1038
139,1041
140,1040
141,1035
142,1036
143,1060
144,1049
145,1061
146,1058
147,1051
148,1025
149,1033
150,1043
151,1026
152,1048
153,1061
154,1059
155,1026
156,1028
157,1049
158,1047
159,1058
160,1044
161,1033
162,1023
163,1072
164,1048
165,1049
166,1051
167,1052
168,1031
169,1059
170,1029
171,1046
172,1049
173,1050
174,1036
175,1063
176,1040
177,1055
178,1052
179,1039
180,1016
181,1027
182,1032
183,1027
184,1064
185,1041
186,1064
187,1031
188,1034
189,1041
190,1047
191,1065
192,1060
193,1040
194,1047
195,1066
196,1051
197,1059
198,1047
199,1022
200,1046
201,1034
202,1038
203,1066
204,1066
205,1038
206,1046
207,1020
208,1062
209,1038
210,1046
211,1020
212,1049
213,1018
214,1040
215,1054
216,1047
217,1027
218,1178
219,1053
220,1056
221,1032
222,1028
223,1020
224,1045
225,1041
226,1073
227,1037
228,1021
229,1063
230,1061
231,1053
232,1063
233,1071
234,1058
235,1041
236,1037
237,1038
238,1056
239,1022
240,1069
241,1059
242,1046
243,1047
244,1036
245,1045
246,1064
247,1064
248,1048
249,1041
250,1049
251,1051
252,1045
253,1029
254,1049
255,1047
256,1038
257,1059
258,1043
259,1049
260,1048
261,1038
262,1050
263,1038
264,1049
265,1051
266,1046
267,1046
268,1046
269,1057
270,1028
271,1072
272,1056
273,1018
274,1053
275,1021
276,1047
277,1079
278,1038
279,1047
280,1053
281,1046
282,1014
283,1040
284,1054
285,1055
286,1026
287,1048
288,1049
289,1014
290,1044
291,1022
292,1035
293,1043
294,1052
295,1063
296,1036
297,1040
298,1044
299,1047
300,1022
301,1017
302,1043
303,1041
304,1024
305,1040
306,1041
307,1012
308,1063
309,1027
310,1031
311,1053
312,1025
313,1026
314,1024
315,1046
316,1059
317,1033
318,1054
319,1049
320,1046
321,1034
322,1019
323,1040
324,1053
325,1066
326,1032
327,1038
328,1053
329,1021
330,1030
331,1051
332,1030
333,1031
334,1043
335,1052
336,1032
337,1022
338,1020
339,1012
340,1037
341,1039
342,1034
343,1069
344,1055
345,1031
346,1066
347,1040
348,1041
349,1070
350,1038
351,1044
352,1041
353,1027
354,1046
355,1044
356,1045
357,1031
358,1054
359,1044
360,1061
361,1029
362,1030
363,1042
364,1051
365,1061
366,1049
367,1056
368,1042
369,1030
370,1047
371,1041
372,1043
373,1032
374,1038
375,1060
376,1027
377,1048
378,1027
379,1040
380,1031
381,1028
382,1039
383,1018
384,1051
385,1034
386,1043
387,1030
388,1046
389,1042
390,1022
391,1042
392,1054
393,1034
394,1020
395,1050
396,1050
397,1006
398,1038
399,1035
400,1022
401,1054
402,1058
403,1034
404,1038
405,1048
406,1026
407,1024
408,1036
409,1016
410,1053
411,1028
412,1041
413,1029
414,1037
415,1057
416,1031
417,1057
418,1037
419,1059
420,1041
421,1044
422,1057
423,1049
424,1016
425,1045
426,1045
427,1055
428,1013
429,1051
430,1049
431,1043
432,1040
433,1069
434,1036
435,1053
436,1048
437,1017
438,1035
439,1037
440,1041
441,1033
442,1041
443,1052
444,1047
445,1037
446,1021
447,1045
448,1053
449,1038
450,1041
451,1035
452,1035
453,1027
454,1042
455,1061
456,1022
457,1028
458,1036
459,1020
460,1055
461,1072
462,1061
463,1047
464,1037
465,1040
466,1035
467,1025
468,1020
469,1047
470,1037
471,1026
472,1041
473,1051
474,1012
475,1035
476,1060
477,1075
478,1040
479,1047
480,1048
481,1055
482,1062
483,1029
484,1040
485,1061
486,1048
487,1036
488,1013
489,1045
490,1061
491,1069
492,1021
493,1043
494,1023
495,1047
496,1035
497,1063
498,1050
499,1050
500,1030
501,1046
502,1042
503,1046
504,1064
505,1060
506,1038
507,1054
508,1052
509,1057
510,1041
511,1044
512,1044
513,1025
514,1041
515,1023
516,1059
517,1031
518,1057
519,1053
520,1032
521,1036
522,1044
523,1041
524,1033
525,1033
526,1055
527,1027
528,1025
529,1031
530,1045
531,1050
532,1034
533,1053
534,1056
535,1041
536,1040
537,1034
538,1039
539,1035
540,1039
541,1039
542,1022
543,1052
544,1032
545,1040
546,1020
547,1056
548,1027
549,1063
550,1037
551,1049
552,1019
553,1034
554,1044
555,1037
556,1051
557,1022
558,1032
559,1011
560,1015
561,1030
562,1044
563,1029
564,1048
565,1038
566,1050
567,1047
568,1029
569,1045
570,1046
571,1042
572,1040
573,1047
574,1041
575,1050
576,1052
577,1043
578,1060
579,1031
580,1028
581,1057
582,1040
583,1031
584,1026
585,1055
586,1047
587,1047
588,1054
589,1014
590,1030
591,1026
592,1032
593,1054
594,1016
595,1056
596,1034
597,1051
598,1038
599,1027
600,1047
601,1042
602,1034
603,1040
604,1042
605,1050
606,1046
607,1018
608,1041
609,1044
610,1052
611,996
612,1040
613,1077
614,1019
615,1021
616,1043
617,1045
618,1057
619,1046
620,1035
621,1068
622,1025
623,1057
624,1044
625,1062
626,1053
627,1053
628,1031
629,1053
630,1038
631,1043
632,1055
633,1044
634,1033
635,1060
636,1050
637,1048
638,1047
639,1003
640,1005
641,1044
642,1067
643,1044
644,1042
645,1071
646,1033
647,1050
648,1053
649,1044
650,1012
651,1025
652,1054
653,1053
654,1023
655,1083
656,1031
657,1086
658,1023
659,1036
660,1054
661,1056
662,1032
663,1030
664,1029
665,1040
666,1027
667,1037
668,1036
669,1037
670,1039
671,1040
672,1039
673,1033
674,1055
675,1032
676,1023
677,1028
678,1043
679,1024
680,1029
681,1050
682,1037
683,1034
684,1029
685,1037
686,1052
687,1053
688,1056
689,1041
690,1065
691,1043
692,1035
693,1053
694,1051
695,1039
696,1022
697,1034
698,1047
699,1038
700,1030
701,1046
702,1020
703,1024
704,1048
705,1050
706,1026
707,1049
708,1063
709,1041
710,1056
711,1036
712,1029
713,1030
714,1019
715,1033
716,1025
717,1021
718,1042
719,1048
720,1045
721,1029
722,1045
723,1032
724,1043
725,1027
726,1007
727,1039
728,1043
729,1028
730,1056
731,1034
732,1032
733,1054
734,1041
735,1023
736,1066
737,1021
738,1046
739,1055
740,1018
741,1056
742,1049
743,1038
744,1020
745,1032
746,1043
747,1027
748,1042
749,1045
750,1057
751,1034
752,1030
753,1048
754,1049
755,1043
756,1042
757,1038
758,1065
759,1025
760,1048
761,1020
762,1054
763,1043
764,1031
765,1033
766,1041
767,1040
768,1052
769,1030
770,1047
771,1055
772,1035
773,1021
774,1046
775,1048
776,1034
777,1036
778,1031
779,1050
780,1071
781,1034
782,1015
783,1048
784,1030
785,1042
786,1038
787,1038
788,1031
789,1054
790,1036
791,1066
792,1042
793,1014
794,1032
795,1039
796,1076
797,1058
798,1046
799,1059
800,1010
801,1013
802,1026
803,1040
804,1040
805,1026
806,1041
807,1048
808,1055
809,1041
810,1028
811,1037
812,1043
813,1048
814,1037
815,1047
816,1051
817,1044
818,1059
819,1019
820,1048
821,1062
822,1073
823,1042
824,1048
825,1023
826,1036
827,1021
828,1064
829,1037
830,1032
831,1033
832,1041
833,1039
834,1055
835,1037
836,1053
837,1045
838,1062
839,1036
840,1037
841,1041
842,1025
843,1048
844,1079
845,1019
846,1027
847,1063
848,1035
849,1024
850,1030
851,1020
852,1044
853,1012
854,1021
855,1030
856,1027
857,1033
858,1023
859,1035
860,1054
861,1032
862,1041
863,1038
864,1028
865,1048
866,1027
867,1031
868,1042
869,1057
870,1037
871,1038
872,1032
873,1046
874,1017
875,1055
876,1052
877,1051
878,1026
879,1033
880,1052
881,1033
882,1022
883,1034
884,1019
885,1065
886,1045
887,1024
888,1036
889,1038
890,1039
891,1051
892,1059
893,1021
894,1036
895,1018
896,1046
