Distance_(pixels),Gray_Value
0,1023
1,1023
2,1037
3,1040
4,1054
5,1024
6,1050
7,1031
8,1038
9,1041
10,1058
11,1043
12,1044
13,1049
14,1049
15,1045
16,1068
17,1064
18,1057
19,1031
20,1057
21,1034
22,1034
23,1067
24,1046
25,1043
26,1057
27,1053
28,1026
29,1089
30,1042
31,1051
32,1037
33,1045
34,1053
35,1027
36,1030
37,1065
38,1025
39,1053
40,1056
41,1039
42,1073
43,1039
44,1037
45,1038
46,1048
47,1049
48,1046
49,1035
50,1053
51,1044
52,1035
53,1053
54,1028
55,1071
56,1018
57,1038
58,1027
59,1052
60,1034
61,1051
62,1057
63,1062
64,1064
65,1035
66,1046
67,1075
68,1047
69,1020
70,1024
71,1031
72,1020
73,1058
74,1048
75,1060
76,1032
77,1064
78,1059
79,1050
80,1048
81,1046
82,1044
83,1064
84,1053
85,1048
86,1067
87,1030
88,1048
89,1059
90,1048
91,1054
92,1067
93,1064
94,1052
95,1046
96,1039
97,1056
98,1022
99,1064
100,1051
101,1038
102,1036
103,1061
104,1034
105,1072
106,1035
107,1032
108,1071
109,1047
110,1088
111,1036
112,1058
113,1038
114,1036
115,1060
116,1062
117,1037
118,1059
119,1044
120,1040
121,1059
122,1027
123,1040
124,1064
125,1070
126,1040
127,1024
128,1042
129,1050
130,1019
131,1064
132,1020
133,1051
134,1033
135,1050
136,1048
137,1066
138,1044
139,1037
140,1039
141,1026
142,1057
143,1040
144,1035
145,1060
146,1031
147,1017
148,1052
149,1048
150,1044
151,1054
152,1043
153,1046
154,1062
155,1052
156,1021
157,1046
158,1011
159,1039
160,1042
161,1053
162,1057
163,1054
164,1040
165,1043
166,1045
167,1037
168,1027
169,1066
170,1036
171,1047
172,1061
173,1046
174,1027
175,1062
176,1056
177,1071
178,1043
179,1036
180,1039
181,1030
182,1072
183,1058
184,1042
185,1052
186,1041
187,1050
188,1023
189,1069
190,1052
191,1055
192,1053
193,1076
194,1011
195,1042
196,1052
197,1019
198,1038
199,1056
200,1057
201,1064
202,1048
203,1029
204,1044
205,1045
206,1052
207,1032
208,1031
209,1036
210,1059
211,1064
212,1042
213,1068
214,1064
215,1052
216,1016
217,1043
218,1140
219,1060
220,1052
221,1044
222,1074
223,1030
224,1036
225,1040
226,1048
227,1033
228,1045
229,1032
230,1030
231,1056
232,1043
233,1051
234,1034
235,1047
236,1052
237,1038
238,1056
239,1051
240,1052
241,1004
242,1027
243,1028
244,1038
245,1022
246,1044
247,1022
248,1054
249,1025
250,1085
251,1040
252,1043
253,1017
254,1015
255,1013
256,1046
257,1040
258,1039
259,1036
260,1047
261,1047
262,1070
263,1040
264,1048
265,1056
266,1050
267,1045
268,1044
269,1048
270,1056
271,1045
272,1075
273,1034
274,1038
275,1060
276,1035
277,1034
278,1039
279,1059
280,1026
281,1030
282,1031
283,1020
284,1034
285,1051
286,1047
287,1046
288,1038
289,1053
290,1044
291,1034
292,1041
293,1045
294,1051
295,1030
296,1027
297,1031
298,1053
299,1044
300,1035
301,1024
302,1052
303,1041
304,1032
305,1058
306,1048
307,1044
308,1039
309,1064
310,1021
311,1050
312,1050
313,1044
314,1048
315,1049
316,1045
317,1039
318,1034
319,1056
320,1063
321,1059
322,1036
323,1033
324,1064
325,1054
326,1056
327,1022
328,1057
329,1052
330,1021
331,1052
332,1025
333,1045
334,1018
335,1037
336,1034
337,1063
338,1041
339,1039
340,1059
341,1045
342,1048
343,1049
344,1028
345,1030
346,1047
347,1058
348,1017
349,1054
350,1043
351,1036
352,1039
353,1021
354,1037
355,1052
356,1042
357,1040
358,1019
359,1029
360,1008
361,1057
362,1056
363,1044
364,1031
365,1038
366,1041
367,1030
368,1042
369,1030
370,1055
371,1045
372,1045
373,1061
374,1045
375,1038
376,1045
377,1011
378,1075
379,1061
380,1035
381,1035
382,1028
383,1046
384,1033
385,1040
386,1050
387,1050
388,1041
389,1049
390,1052
391,1059
392,1053
393,1031
394,1039
395,1038
396,1052
397,1027
398,1028
399,1034
400,1041
401,1052
402,1056
403,1040
404,1041
405,1061
406,1018
407,1056
408,1036
409,1047
410,1045
411,1035
412,1026
413,1070
414,1048
415,1027
416,1072
417,1035
418,1035
419,1024
420,1022
421,1038
422,1050
423,1044
424,1066
425,1033
426,1033
427,1025
428,1066
429,1041
430,1053
431,1053
432,1073
433,1043
434,1037
435,1055
436,1051
437,1057
438,1018
439,1047
440,1012
441,1040
442,1017
443,1045
444,1050
445,1058
446,1032
447,1043
448,1021
449,1039
450,1047
451,1036
452,1044
453,1031
454,1048
455,1054
456,1044
457,1046
458,1048
459,1028
460,1045
461,1064
462,1041
463,1026
464,1026
465,1041
466,1046
467,1051
468,1037
469,1033
470,1031
471,1031
472,1048
473,1029
474,1047
475,1052
476,1028
477,1038
478,1019
479,1034
480,1050
481,1036
482,1035
483,1004
484,1061
485,1035
486,1054
487,1036
488,1052
489,1037
490,1048
491,1043
492,1052
493,1018
494,1025
495,1030
496,1044
497,1020
498,1049
499,1013
500,1047
501,1066
502,1040
503,1063
504,1045
505,1038
506,1049
507,1020
508,1026
509,1037
510,1047
511,1031
512,1032
513,1019
514,1033
515,1070
516,1022
517,1038
518,1066
519,1065
520,1027
521,1057
522,1023
523,1067
524,1041
525,1032
526,1059
527,1026
528,1050
529,1045
530,1040
531,988
532,1039
533,1057
534,1017
535,1060
536,1030
537,1058
538,1049
539,1019
540,1032
541,1039
542,1041
543,1019
544,1034
545,1064
546,1060
547,1047
548,1016
549,1019
550,1038
551,1042
552,1042
553,1034
554,1026
555,1053
556,1061
557,1031
558,1047
559,1039
560,1065
561,1029
562,1038
563,1050
564,1050
565,1027
566,1017
567,1021
568,1051
569,1037
570,1064
571,1031
572,1049
573,1058
574,1033
575,1044
576,1024
577,1023
578,1063
579,1061
580,1050
581,1042
582,1030
583,1030
584,1021
585,1071
586,1043
587,1053
588,1043
589,1039
590,1048
591,1028
592,1057
593,1048
594,1064
595,1054
596,1046
597,1057
598,1034
599,1050
600,1023
601,1041
602,1037
603,1053
604,1063
605,1020
606,1039
607,1013
608,1041
609,1032
610,1056
611,1068
612,1021
613,1035
614,1038
615,1008
616,1032
617,1039
618,1050
619,1041
620,1016
621,1036
622,1046
623,1043
624,1023
625,1054
626,1058
627,1033
628,1058
629,1034
630,1029
631,1043
632,1029
633,1061
634,1069
635,1019
636,1010
637,1045
638,1051
639,1033
640,1042
641,1041
642,1035
643,1042
644,1043
645,1063
646,1019
647,1044
648,1049
649,1034
650,1032
651,1032
652,1056
653,1045
654,1035
655,1048
656,1026
657,1046
658,1035
659,1044
660,1024
661,1059
662,1043
663,1034
664,1034
665,1060
666,1034
667,1044
668,1029
669,1047
670,1046
671,1041
672,1040
673,1045
674,1054
675,1021
676,1067
677,1044
678,1043
679,1069
680,1051
681,1038
682,1046
683,1040
684,1035
685,1038
686,1049
687,1019
688,1048
689,1042
690,1061
691,1053
692,1038
693,1040
694,1047
695,1059
696,1067
697,1041
698,1042
699,1058
700,1054
701,1046
702,1051
703,1037
704,1043
705,1063
706,1021
707,1056
708,1041
709,1044
710,1046
711,1055
712,1026
713,1041
714,1044
715,1033
716,1030
717,1029
718,1035
719,1054
720,1049
721,1021
722,1047
723,1056
724,1049
725,1015
726,1069
727,1036
728,1028
729,1035
730,1030
731,1025
732,1046
733,1062
734,1046
735,1027
736,1039
737,1039
738,1031
739,1045
740,1022
741,1032
742,1060
743,1046
744,1041
745,1033
746,1020
747,1052
748,1053
749,1061
750,1039
751,1054
752,1046
753,1029
754,1061
755,1044
756,1031
757,1029
758,1013
759,1061
760,1048
761,1050
762,1029
763,1063
764,1033
765,1032
766,1033
767,1029
768,1054
769,1025
770,1028
771,1041
772,1035
773,1031
774,1059
775,1042
776,1047
777,1026
778,1046
779,1028
780,1017
781,1034
782,1069
783,1019
784,1044
785,1039
786,1051
787,1053
788,1062
789,1036
790,1038
791,1028
792,1045
793,1047
794,1030
795,1031
796,1030
797,1021
798,1080
799,1033
800,1052
801,1043
802,1035
803,1024
804,1041
805,1022
806,1054
807,1042
808,1024
809,1061
810,1049
811,1075
812,1035
813,1058
814,1029
815,1061
816,1014
817,1026
818,1017
819,1043
820,1051
821,1015
822,1017
823,1039
824,1030
825,1044
826,1054
827,1057
828,1046
829,1043
830,1054
831,1043
832,1051
833,1027
834,1030
835,1055
836,1038
837,1066
838,1060
839,1055
840,1040
841,1037
842,1041
843,1034
844,1046
845,1044
846,1029
847,1061
848,1049
849,1063
850,1058
851,1033
852,1031
853,1017
854,1036
855,1029
856,1033
857,1032
858,1033
859,1020
860,1059
861,1053
862,1046
863,1041
864,1018
865,1050
866,1051
867,1037
868,1035
869,1031
870,1029
871,1038
872,1075
873,1024
874,1036
875,1035
876,1033
877,1026
878,1024
879,1052
880,1016
881,1061
882,1027
883,1016
884,1030
885,990
886,1047
887,1024
888,1022
889,1043
890,1053
891,1012
892,1044
893,1009
894,1056
895,1037
896,1030
