X1,Y1,X2,Y2,,,,
-5.00E-03,6.80E-01,-5.00E-03,2.5599999,,,,
-4.99E-03,7.20E-01,-4.99E-03,2.48,,,,
-4.99E-03,7.20E-01,-4.99E-03,2.5599999,,,,
-4.98E-03,7.20E-01,-4.98E-03,2.48,,,,
-4.98E-03,7.60E-01,-4.98E-03,2.48,,,,
-4.98E-03,7.60E-01,-4.98E-03,2.48,,,,
-4.97E-03,7.20E-01,-4.97E-03,2.48,,,,
-4.97E-03,7.20E-01,-4.97E-03,2.48,,,,
-4.96E-03,7.60E-01,-4.96E-03,2.48,,,,
-4.96E-03,7.60E-01,-4.96E-03,2.48,,,,
-4.96E-03,7.60E-01,-4.96E-03,2.48,,,,
-4.95E-03,7.60E-01,-4.95E-03,2.48,,,,
-4.95E-03,8.00E-01,-4.95E-03,2.48,,,,
-4.94E-03,8.00E-01,-4.94E-03,2.48,,,,
-4.94E-03,8.00E-01,-4.94E-03,2.48,,,,
-4.94E-03,8.00E-01,-4.94E-03,2.48,,,,
-4.93E-03,8.00E-01,-4.93E-03,2.48,,,,
-4.93E-03,8.40E-01,-4.93E-03,2.3999999,,,,
-4.92E-03,8.40E-01,-4.92E-03,2.3999999,,,,
-4.92E-03,8.40E-01,-4.92E-03,2.48,,,,
-4.92E-03,8.40E-01,-4.92E-03,2.3999999,,,,
-4.91E-03,8.80E-01,-4.91E-03,2.3999999,,,,
-4.91E-03,8.80E-01,-4.91E-03,2.3999999,,,,
-4.90E-03,8.80E-01,-4.90E-03,2.3999999,,,,
-4.90E-03,8.80E-01,-4.90E-03,2.3199999,,,,
-4.90E-03,8.80E-01,-4.90E-03,2.3199999,,,,
-4.89E-03,8.80E-01,-4.89E-03,2.3999999,,,,
-4.89E-03,8.80E-01,-4.89E-03,2.3999999,,,,
-4.88E-03,8.80E-01,-4.88E-03,2.3199999,,,,
-4.88E-03,8.80E-01,-4.88E-03,2.3199999,,,,
-4.88E-03,8.80E-01,-4.88E-03,2.24,,,,
-4.87E-03,9.20E-01,-4.87E-03,2.3199999,,,,
-4.87E-03,9.20E-01,-4.87E-03,2.3199999,,,,
-4.86E-03,9.20E-01,-4.86E-03,2.24,,,,
-4.86E-03,9.20E-01,-4.86E-03,2.24,,,,
-4.86E-03,9.20E-01,-4.86E-03,2.24,,,,
-4.85E-03,9.20E-01,-4.85E-03,2.24,,,,
-4.85E-03,9.20E-01,-4.85E-03,2.24,,,,
-4.84E-03,9.20E-01,-4.84E-03,2.24,,,,
-4.84E-03,9.60E-01,-4.84E-03,2.24,,,,
-4.84E-03,9.60E-01,-4.84E-03,2.24,,,,
-4.83E-03,9.60E-01,-4.83E-03,2.1599998,,,,
-4.83E-03,9.60E-01,-4.83E-03,2.1599998,,,,
-4.82E-03,9.60E-01,-4.82E-03,2.1599998,,,,
-4.82E-03,9.60E-01,-4.82E-03,2.1599998,,,,
-4.82E-03,9.60E-01,-4.82E-03,2.1599998,,,,
-4.81E-03,9.60E-01,-4.81E-03,2.0799999,,,,
-4.81E-03,1,-4.81E-03,2.0799999,,,,
-4.80E-03,1,-4.80E-03,2.1599998,,,,
-4.80E-03,1,-4.80E-03,2.0799999,,,,
-4.80E-03,1,-4.80E-03,2.0799999,,,,
-4.79E-03,1,-4.79E-03,2.0799999,,,,
-4.79E-03,1,-4.79E-03,2,,,,
-4.78E-03,1,-4.78E-03,2,,,,
-4.78E-03,1.04,-4.78E-03,2.0799999,,,,
-4.78E-03,1,-4.78E-03,2,,,,
-4.77E-03,1.04,-4.77E-03,1.92,,,,
-4.77E-03,1.04,-4.77E-03,2,,,,
-4.76E-03,1,-4.76E-03,2,,,,
-4.76E-03,1.04,-4.76E-03,2,,,,
-4.76E-03,1.04,-4.76E-03,2,,,,
-4.75E-03,1.04,-4.75E-03,1.92,,,,
-4.75E-03,1.04,-4.75E-03,1.92,,,,
-4.74E-03,1.04,-4.74E-03,1.92,,,,
-4.74E-03,1.04,-4.74E-03,1.92,,,,
-4.74E-03,1.04,-4.74E-03,1.8399999,,,,
-4.73E-03,1.0799999,-4.73E-03,1.92,,,,
-4.73E-03,1.0799999,-4.73E-03,1.8399999,,,,
-4.72E-03,1.0799999,-4.72E-03,1.8399999,,,,
-4.72E-03,1.0799999,-4.72E-03,1.76,,,,
-4.72E-03,1.04,-4.72E-03,1.8399999,,,,
-4.71E-03,1.0799999,-4.71E-03,1.8399999,,,,
-4.71E-03,1.0799999,-4.71E-03,1.8399999,,,,
-4.70E-03,1.0799999,-4.70E-03,1.76,,,,
-4.70E-03,1.0799999,-4.70E-03,1.76,,,,
-4.70E-03,1.0799999,-4.70E-03,1.76,,,,
-4.69E-03,1.0799999,-4.69E-03,1.76,,,,
-4.69E-03,1.12,-4.69E-03,1.76,,,,
-4.68E-03,1.0799999,-4.68E-03,1.5999999,,,,
-4.68E-03,1.0799999,-4.68E-03,1.6799999,,,,
-4.68E-03,1.0799999,-4.68E-03,1.5999999,,,,
-4.67E-03,1.12,-4.67E-03,1.5999999,,,,
-4.67E-03,1.12,-4.67E-03,1.5999999,,,,
-4.66E-03,1.12,-4.66E-03,1.5999999,,,,
-4.66E-03,1.12,-4.66E-03,1.5999999,,,,
-4.66E-03,1.12,-4.66E-03,1.5999999,,,,
-4.65E-03,1.12,-4.65E-03,1.52,,,,
-4.65E-03,1.12,-4.65E-03,1.52,,,,
-4.64E-03,1.12,-4.64E-03,1.52,,,,
-4.64E-03,1.12,-4.64E-03,1.52,,,,
-4.64E-03,1.12,-4.64E-03,1.52,,,,
-4.63E-03,1.12,-4.63E-03,1.4399999,,,,
-4.63E-03,1.12,-4.63E-03,1.4399999,,,,
-4.62E-03,1.12,-4.62E-03,1.4399999,,,,
-4.62E-03,1.12,-4.62E-03,1.4399999,,,,
-4.62E-03,1.12,-4.62E-03,1.4399999,,,,
-4.61E-03,1.12,-4.61E-03,1.36,,,,
-4.61E-03,1.12,-4.61E-03,1.36,,,,
-4.60E-03,1.12,-4.60E-03,1.28,,,,
-4.60E-03,1.12,-4.60E-03,1.28,,,,
-4.60E-03,1.12,-4.60E-03,1.36,,,,
-4.59E-03,1.12,-4.59E-03,1.1999999,,,,
-4.59E-03,1.12,-4.59E-03,1.28,,,,
