X1,Y1,X2,Y2,,,,,,,,,,,,,,,,
-2.50E-03,4.20E-01,-2.50E-03,-5.60E-01,,,,,,,,,,,,,,,,
-2.50E-03,4.20E-01,-2.50E-03,-5.60E-01,,,,,,,,,,,,,,,,
-2.49E-03,4.00E-01,-2.49E-03,-6.40E-01,,,,,,,,,,,,,,,,
-2.49E-03,4.00E-01,-2.49E-03,-6.40E-01,,,,,,,,,,,,,,,,
-2.49E-03,4.20E-01,-2.49E-03,-6.40E-01,,,,,,,,,,,,,,,,
-2.49E-03,4.00E-01,-2.49E-03,-7.20E-01,,,,,,,,,,,,,,,,
-2.49E-03,4.20E-01,-2.49E-03,-7.20E-01,,,,,,,,,,,,,,,,
-2.48E-03,4.00E-01,-2.48E-03,-8.00E-01,,,,,,,,,,,,,,,,
-2.48E-03,4.00E-01,-2.48E-03,-8.00E-01,,,,,,,,,,,,,,,,
-2.48E-03,4.00E-01,-2.48E-03,-8.80E-01,,,,,,,,,,,,,,,,
-2.48E-03,3.80E-01,-2.48E-03,-8.80E-01,,,,,,,,,,,,,,,,
-2.48E-03,4.00E-01,-2.48E-03,-8.80E-01,,,,,,,,,,,,,,,,
-2.47E-03,4.00E-01,-2.47E-03,-9.60E-01,,,,,,,,,,,,,,,,
-2.47E-03,3.80E-01,-2.47E-03,-9.60E-01,,,,,,,,,,,,,,,,
-2.47E-03,3.80E-01,-2.47E-03,-9.60E-01,,,,,,,,,,,,,,,,
-2.47E-03,3.80E-01,-2.47E-03,-1.04,,,,,,,,,,,,,,,,
-2.47E-03,3.80E-01,-2.47E-03,-1.04,,,,,,,,,,,,,,,,
-2.46E-03,3.60E-01,-2.46E-03,-1.04,,,,,,,,,,,,,,,,
-2.46E-03,3.60E-01,-2.46E-03,-1.12,,,,,,,,,,,,,,,,
-2.46E-03,3.40E-01,-2.46E-03,-1.12,,,,,,,,,,,,,,,,
-2.46E-03,3.60E-01,-2.46E-03,-1.12,,,,,,,,,,,,,,,,
-2.46E-03,3.60E-01,-2.46E-03,-1.1999999,,,,,,,,,,,,,,,,
-2.45E-03,3.40E-01,-2.45E-03,-1.1999999,,,,,,,,,,,,,,,,
-2.45E-03,3.40E-01,-2.45E-03,-1.28,,,,,,,,,,,,,,,,
-2.45E-03,3.20E-01,-2.45E-03,-1.28,,,,,,,,,,,,,,,,
-2.45E-03,3.20E-01,-2.45E-03,-1.28,,,,,,,,,,,,,,,,
-2.45E-03,3.20E-01,-2.45E-03,-1.36,,,,,,,,,,,,,,,,
-2.44E-03,3.20E-01,-2.44E-03,-1.36,,,,,,,,,,,,,,,,
-2.44E-03,3.20E-01,-2.44E-03,-1.36,,,,,,,,,,,,,,,,
-2.44E-03,3.20E-01,-2.44E-03,-1.36,,,,,,,,,,,,,,,,
-2.44E-03,3.20E-01,-2.44E-03,-1.4399999,,,,,,,,,,,,,,,,
-2.44E-03,3.00E-01,-2.44E-03,-1.4399999,,,,,,,,,,,,,,,,
-2.43E-03,3.00E-01,-2.43E-03,-1.52,,,,,,,,,,,,,,,,
-2.43E-03,3.00E-01,-2.43E-03,-1.4399999,,,,,,,,,,,,,,,,
-2.43E-03,3.00E-01,-2.43E-03,-1.52,,,,,,,,,,,,,,,,
-2.43E-03,2.80E-01,-2.43E-03,-1.52,,,,,,,,,,,,,,,,
-2.43E-03,2.80E-01,-2.43E-03,-1.52,,,,,,,,,,,,,,,,
-2.42E-03,2.80E-01,-2.42E-03,-1.5999999,,,,,,,,,,,,,,,,
-2.42E-03,3.00E-01,-2.42E-03,-1.5999999,,,,,,,,,,,,,,,,
-2.42E-03,2.80E-01,-2.42E-03,-1.6799999,,,,,,,,,,,,,,,,
-2.42E-03,2.80E-01,-2.42E-03,-1.6799999,,,,,,,,,,,,,,,,
-2.42E-03,2.80E-01,-2.42E-03,-1.6799999,,,,,,,,,,,,,,,,
-2.41E-03,2.60E-01,-2.41E-03,-1.6799999,,,,,,,,,,,,,,,,
-2.41E-03,2.60E-01,-2.41E-03,-1.6799999,,,,,,,,,,,,,,,,
-2.41E-03,2.60E-01,-2.41E-03,-1.76,,,,,,,,,,,,,,,,
-2.41E-03,2.40E-01,-2.41E-03,-1.76,,,,,,,,,,,,,,,,
-2.41E-03,2.40E-01,-2.41E-03,-1.8399999,,,,,,,,,,,,,,,,
-2.40E-03,2.60E-01,-2.40E-03,-1.8399999,,,,,,,,,,,,,,,,
