Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;;;
Record Length;2500;Points;-12900;-10400000;;Record Length;2500;Points;-12900;-3999999.911;;;;
Sample Interval;1.000000E-6;s;-12890;-10400000;;Sample Interval;1.000000E-6;s;-12890;-199999.996;;;;
Trigger Point;1.2900001E3;Samples;-12880;-10400000;;Trigger Point;1.2900001E3;Samples;-12880;-3999999.911;;;;
;;;-12870;-1000000;;;;;-12870;-3999999.911;;;;
;;;-12860;-10400000;;;;;-12860;-59999998.66;;;;
;;;-12850;-10400000;;;;;-12850;-3999999.911;;;;
Source;CH1;;-12840;-1000000;;Source;CH2;;-12840;-59999998.66;;;;
Vertical Units;Volts;;-12830;-1000000;;Vertical Units;Volts;;-12830;-3999999.911;;;;
Vertical Scale;999.999977648E-3;;-12820.001;-1000000;;Vertical Scale;5.00E-04;;-12820.001;-59999998.66;;;;
Vertical Offset;0;;-12810.001;-10400000;;Vertical Offset;0;;-12810.001;-59999998.66;;;;
Horizontal Units;s;;-12800.001;-10400000;;Horizontal Units;s;;-12800.001;-3999999.911;;;;
Horizontal Scale;249.99999937E-6;;-12790.001;-10400000;;Horizontal Scale;249.99999937E-6;;-12790.001;-59999998.66;;;;
Pt Fmt;Y;;-12780.001;-1000000;;Pt Fmt;Y;;-12780.001;-3999999.911;;;;
Yzero;2.2800000;;-12770.001;-1000000;;Yzero;1.9200000;;-12770.001;-3999999.911;;;;
Probe Atten;1.000000;;-12760.001;-10400000;;Probe Atten;1.000000;;-12760.001;-59999998.66;;;;
;;;-12750;-10400000;;;;;-12750;-59999998.66;;;;
Note;TBS 1102B-EDU - 16:55:32   7/03/2024;;-12740;-10400000;;Note;TBS 1102B-EDU - 16:55:32   7/03/2024;;-12740;-59999998.66;;;;
;;;-12730;-10400000;;;;;-12730;-59999998.66;;;;
;;;-12720;-10400000;;;;;-12720;-3999999.911;;;;
;;;-12710;-10400000;;;;;-12710;-59999998.66;;;;
;;;-12700;-1000000;;;;;-12700;-3999999.911;;;;
;;;-12690;-10400000;;;;;-12690;-79999998.21;;;;
;;;-12680;-10400000;;;;;-12680;-59999998.66;;;;
;;;-12670.001;-10400000;;;;;-12670.001;-59999998.66;;;;
;;;-12660.001;-1000000;;;;;-12660.001;-79999998.21;;;;
;;;-12650.001;-10400000;;;;;-12650.001;-59999998.66;;;;
;;;-12640.001;-10400000;;;;;-12640.001;-79999998.21;;;;
;;;-12630.001;-10400000;;;;;-12630.001;-59999998.66;;;;
;;;-12620.001;-1000000;;;;;-12620.001;-79999998.21;;;;
;;;-12610.001;-1000000;;;;;-12610.001;-79999998.21;;;;
;;;-12600;-10400000;;;;;-12600;-79999998.21;;;;
;;;-12590;-1000000;;;;;-12590;-79999998.21;;;;
;;;-12580;-10400000;;;;;-12580;-79999998.21;;;;
;;;-12570;-10400000;;;;;-12570;-79999998.21;;;;
;;;-12560;-10400000;;;;;-12560;-79999998.21;;;;
;;;-12550;-1000000;;;;;-12550;-99999994.04;;;;
;;;-12540;-1000000;;;;;-12540;-99999994.04;;;;
;;;-12530;-10400000;;;;;-12530;-79999998.21;;;;
;;;-12520;-1000000;;;;;-12520;-99999994.04;;;;
;;;-12510.001;-1000000;;;;;-12510.001;-99999994.04;;;;
;;;-12500.001;-1000000;;;;;-12500.001;-79999998.21;;;;
;;;-12490.001;-1000000;;;;;-12490.001;-99999994.04;;;;
;;;-12480.001;-10400000;;;;;-12480.001;-99999994.04;;;;
;;;-12470.001;-1000000;;;;;-12470.001;-79999998.21;;;;
;;;-12460.001;-1000000;;;;;-12460.001;-79999998.21;;;;
;;;-12450.001;-1000000;;;;;-12450.001;-79999998.21;;;;
;;;-12440;-1000000;;;;;-12440;-79999998.21;;;;
;;;-12430;-959999978.5;;;;;-12430;-99999994.04;;;;
;;;-12420;-1000000;;;;;-12420;-99999994.04;;;;
;;;-12410;-1000000;;;;;-12410;-99999994.04;;;;
;;;-12400;-1000000;;;;;-12400;-79999998.21;;;;
;;;-12390;-1000000;;;;;-12390;-99999994.04;;;;
;;;-12380;-1000000;;;;;-12380;-1199999.973;;;;
;;;-12370;-1000000;;;;;-12370;-99999994.04;;;;
;;;-12360.001;-1000000;;;;;-12360.001;-1199999.973;;;;
;;;-12350.001;-1000000;;;;;-12350.001;-1199999.973;;;;
;;;-12340.001;-959999978.5;;;;;-12340.001;-99999994.04;;;;
;;;-12330.001;-1000000;;;;;-12330.001;-1199999.973;;;;
;;;-12320.001;-1000000;;;;;-12320.001;-1199999.973;;;;
;;;-12310.001;-959999978.5;;;;;-12310.001;-99999994.04;;;;
;;;-12300.001;-959999978.5;;;;;-12300.001;-99999994.04;;;;
;;;-12290;-1000000;;;;;-12290;-99999994.04;;;;
;;;-12280;-959999978.5;;;;;-12280;-99999994.04;;;;
;;;-12270;-1000000;;;;;-12270;-1199999.973;;;;
;;;-12260;-959999978.5;;;;;-12260;-1199999.973;;;;
;;;-12250;-959999978.5;;;;;-12250;-99999994.04;;;;
;;;-12240;-1000000;;;;;-12240;-1199999.973;;;;
;;;-12230;-959999978.5;;;;;-12230;-1199999.973;;;;
;;;-12220;-959999978.5;;;;;-12220;-1199999.973;;;;
;;;-12210.001;-959999978.5;;;;;-12210.001;-1199999.973;;;;
;;;-12200.001;-959999978.5;;;;;-12200.001;-99999994.04;;;;
;;;-12190.001;-959999978.5;;;;;-12190.001;-1199999.973;;;;
;;;-12180.001;-959999978.5;;;;;-12180.001;-1400000.006;;;;
;;;-12170.001;-959999978.5;;;;;-12170.001;-1199999.973;;;;
;;;-12160.001;-959999978.5;;;;;-12160.001;-1199999.973;;;;
;;;-12150.001;-919999957.1;;;;;-12150.001;-1400000.006;;;;
;;;-12140;-919999957.1;;;;;-12140;-1400000.006;;;;
;;;-12130;-959999978.5;;;;;-12130;-1199999.973;;;;
;;;-12120;-919999957.1;;;;;-12120;-1400000.006;;;;
;;;-12110;-919999957.1;;;;;-12110;-1400000.006;;;;
;;;-12100;-919999957.1;;;;;-12100;-1400000.006;;;;
;;;-12090;-919999957.1;;;;;-12090;-1400000.006;;;;
;;;-12080;-959999978.5;;;;;-12080;-1400000.006;;;;
;;;-12070;-919999957.1;;;;;-12070;-1400000.006;;;;
;;;-12060;-919999957.1;;;;;-12060;-1400000.006;;;;
;;;-12050.001;-919999957.1;;;;;-12050.001;-1400000.006;;;;
;;;-12040.001;-879999995.2;;;;;-12040.001;-1400000.006;;;;
;;;-12030.001;-879999995.2;;;;;-12030.001;-1400000.006;;;;
;;;-12020.001;-879999995.2;;;;;-12020.001;-15999999.64;;;;
;;;-12010.001;-879999995.2;;;;;-12010.001;-1400000.006;;;;
;;;-12000.001;-879999995.2;;;;;-12000.001;-1400000.006;;;;
;;;-11990;-879999995.2;;;;;-11990;-15999999.64;;;;
;;;-11980;-879999995.2;;;;;-11980;-1400000.006;;;;
;;;-11970;-919999957.1;;;;;-11970;-1400000.006;;;;
;;;-11960;-879999995.2;;;;;-11960;-15999999.64;;;;
;;;-11950;-879999995.2;;;;;-11950;-15999999.64;;;;
;;;-11940;-879999995.2;;;;;-11940;-15999999.64;;;;
;;;-11930;-879999995.2;;;;;-11930;-1400000.006;;;;
;;;-11920;-879999995.2;;;;;-11920;-1400000.006;;;;
;;;-11910;-839999973.8;;;;;-11910;-15999999.64;;;;
;;;-11900.001;-879999995.2;;;;;-11900.001;-1400000.006;;;;
;;;-11890.001;-879999995.2;;;;;-11890.001;-15999999.64;;;;
;;;-11880.001;-839999973.8;;;;;-11880.001;-15999999.64;;;;
;;;-11870.001;-839999973.8;;;;;-11870.001;-15999999.64;;;;
;;;-11860.001;-839999973.8;;;;;-11860.001;-15999999.64;;;;
;;;-11850.001;-879999995.2;;;;;-11850.001;-15999999.64;;;;
;;;-11840.001;-839999973.8;;;;;-11840.001;-17999999.23;;;;
;;;-11830;-839999973.8;;;;;-11830;-15999999.64;;;;
;;;-11820;-839999973.8;;;;;-11820;-15999999.64;;;;
;;;-11810;-839999973.8;;;;;-11810;-15999999.64;;;;
;;;-11800;-839999973.8;;;;;-11800;-15999999.64;;;;
;;;-11790;-839999973.8;;;;;-11790;-15999999.64;;;;
;;;-11780;-839999973.8;;;;;-11780;-17999999.23;;;;
;;;-11770;-839999973.8;;;;;-11770;-15999999.64;;;;
;;;-11760;-839999973.8;;;;;-11760;-15999999.64;;;;
;;;-11750.001;-839999973.8;;;;;-11750.001;-17999999.23;;;;
