Distance_(pixels),Gray_Value
0,0.000
1,0.000
2,1038.500
3,1046.500
4,1049.000
5,1037.500
6,1032.500
7,1037.250
8,1046.000
9,1049.750
10,1052.000
11,1050.500
12,1045.500
13,1041.500
14,1037.250
15,1042.750
16,1048.500
17,1049.000
18,1046.500
19,1046.750
20,1049.500
21,1046.000
22,1044.750
23,1034.500
24,1036.000
25,1050.250
26,1057.000
27,1055.000
28,1045.000
29,1042.750
30,1039.500
31,1040.750
32,1042.750
33,1040.500
34,1040.250
35,1049.000
36,1054.750
37,1046.750
38,1043.000
39,1043.750
40,1046.750
41,1041.750
42,1042.500
43,1049.500
44,1043.500
45,1043.000
46,1047.000
47,1043.500
48,1043.000
49,1051.500
50,1052.750
51,1044.750
52,1043.000
53,1050.250
54,1051.500
55,1044.000
56,1041.000
57,1044.250
58,1044.750
59,1043.000
60,1043.000
61,1043.000
62,1034.000
63,1035.750
64,1041.750
65,1044.750
66,1046.750
67,1038.500
68,1043.500
69,1052.500
70,1049.500
71,1040.000
72,1038.250
73,1048.750
74,1057.000
75,1050.500
76,1035.750
77,1044.000
78,1054.750
79,1052.250
80,1051.250
81,1044.000
82,1045.750
83,1052.250
84,1048.000
85,1045.250
86,1036.250
87,1037.750
88,1045.500
89,1034.250
90,1038.250
91,1044.250
92,1050.000
93,1050.500
94,1052.250
95,1052.750
96,1041.000
97,1041.750
98,1046.000
99,1048.500
100,1043.250
101,1034.500
102,1039.750
103,1044.750
104,1036.500
105,1038.000
106,1046.000
107,1045.000
108,1041.500
109,1039.750
110,1054.750
111,1055.500
112,1039.500
113,1043.750
114,1053.750
115,1046.250
116,1033.500
117,1042.250
118,1047.500
119,1043.000
120,1049.250
121,1046.500
122,1038.000
123,1041.000
124,1052.750
125,1039.500
126,1030.000
127,1044.250
128,1050.250
129,1055.500
130,1045.500
131,1036.250
132,1038.250
133,1039.000
134,1036.250
135,1037.000
136,1039.750
137,1039.750
138,1044.750
139,1041.500
140,1028.750
141,1043.000
142,1054.500
143,1047.500
144,1051.500
145,1046.750
146,1038.250
147,1052.000
148,1058.500
149,1050.000
150,1051.750
151,1047.500
152,1045.750
153,1043.000
154,1043.250
155,1049.500
156,1059.500
157,1054.250
158,1038.750
159,1039.000
160,1036.750
161,1039.250
162,1036.000
163,1041.250
164,1050.500
165,1043.250
166,1042.000
167,1042.750
168,1036.750
169,1036.500
170,1042.250
171,1046.250
172,1051.250
173,1056.500
174,1048.750
175,1036.250
176,1045.750
177,1051.750
178,1040.500
179,1047.500
180,1054.750
181,1039.500
182,1029.500
183,1033.500
184,1041.000
185,1051.500
186,1048.750
187,1032.750
188,1038.750
189,1050.250
190,1044.500
191,1046.500
192,1058.500
193,1054.500
194,1046.750
195,1053.250
196,1046.500
197,1038.500
198,1043.250
199,1044.500
200,1042.750
201,1041.250
202,1042.500
203,1036.000
204,1030.000
205,1041.250
206,1049.500
207,1042.000
208,1041.250
209,1040.750
210,1047.250
211,1050.000
212,1044.250
213,1042.750
214,1033.250
215,1031.000
216,1038.750
217,1049.250
218,1050.000
219,1044.750
220,1042.000
221,1047.000
222,1046.250
223,1043.500
224,1041.500
225,1044.750
226,1050.250
227,1050.250
228,1050.000
229,1050.500
230,1058.500
231,1063.250
232,1056.250
233,1050.750
234,1042.500
235,1032.000
236,1043.250
237,1046.250
238,1044.000
239,1048.000
240,1047.000
241,1046.000
242,1043.750
243,1051.000
244,1054.000
245,1043.000
246,1042.000
247,1047.000
248,1039.750
249,1031.750
250,1035.250
251,1039.250
252,1037.750
253,1044.250
254,1058.250
255,1058.750
256,1048.750
257,1049.750
258,1042.500
259,1026.750
260,1028.000
261,1039.250
262,1048.250
263,1048.000
264,1039.750
265,1036.000
266,1046.000
267,1051.750
268,1044.500
269,1047.000
270,1044.750
271,1050.750
272,1054.750
273,1037.500
274,1038.500
275,1042.000
276,1043.500
277,1045.000
278,1043.000
279,1041.500
280,1042.750
281,1044.000
282,1049.250
283,1052.750
284,1045.500
285,1043.000
286,1045.000
287,1041.250
288,1034.000
289,1050.000
290,1055.000
291,1046.000
292,1041.000
293,1036.750
294,1041.750
295,1046.750
296,1053.750
297,1052.250
298,1036.500
299,1040.500
300,1050.000
301,1041.000
302,1043.750
303,1054.000
304,1053.750
305,1042.500
306,1030.500
307,1041.750
308,1057.250
309,1057.250
310,1049.000
311,1036.000
312,1037.250
313,1044.000
314,1034.000
315,1032.250
316,1045.250
317,1043.250
318,1039.500
319,1043.000
320,1040.250
321,1034.750
322,1036.750
323,1041.500
324,1046.750
325,1046.000
326,1045.250
327,1055.250
328,1052.000
329,1040.500
330,1037.250
331,1038.250
332,1044.250
333,1040.750
334,1038.000
335,1047.000
336,1042.000
337,1044.500
338,1043.250
339,1045.250
340,1055.750
341,1045.250
342,1039.000
343,1041.750
344,1045.250
345,1045.250
346,1045.500
347,1040.250
348,1030.250
349,1025.000
350,1031.500
351,1027.250
352,1041.000
353,1055.250
354,1046.750
355,1037.000
356,1026.750
357,1032.750
358,1044.250
359,1043.500
360,1043.250
361,1042.250
362,1081.750
363,1095.000
364,1057.250
365,1046.500
366,1045.500
367,1044.750
368,1033.750
369,1033.000
370,1045.000
371,1048.500
372,1043.750
373,1042.500
374,1038.500
375,1043.250
376,1054.000
377,1056.000
378,1053.000
379,1050.000
380,1040.250
381,1043.750
382,1046.000
383,1034.500
384,1032.750
385,1040.750
386,1042.500
387,1037.250
388,1041.000
389,1038.000
390,1051.750
391,1055.500
392,1038.250
393,1040.750
394,1039.750
395,1045.000
396,1040.500
397,1030.000
398,1043.000
399,1043.500
400,1032.750
401,1036.000
402,1039.750
403,1031.250
404,1034.000
405,1044.750
406,1036.500
407,1031.750
408,1042.000
409,1049.000
410,1051.250
411,1044.000
412,1045.000
413,1037.000
414,1033.250
415,1047.000
416,1054.750
417,1051.250
418,1039.750
419,1043.250
420,1047.000
421,1043.500
422,1051.250
423,1047.000
424,1040.750
425,1057.000
426,1043.000
427,1028.500
428,1031.250
429,1028.250
430,1043.750
431,1055.000
432,1043.500
433,1036.000
434,1038.500
435,1045.250
436,1043.750
437,1048.000
438,1048.250
439,1049.000
440,1043.750
441,1033.000
442,1038.250
443,1038.750
444,1042.000
445,1043.000
446,1034.250
447,1040.250
448,1054.000
449,1043.250
450,1044.250
451,1044.250
452,1039.750
453,1045.250
454,1044.750
455,1039.250
456,1031.500
457,1034.750
458,1039.250
459,1037.000
460,1038.500
461,1044.750
462,1035.750
463,1039.250
464,1046.250
465,1039.500
466,1047.500
467,1060.750
468,1049.000
469,1028.750
470,1037.000
471,1046.000
472,1034.500
473,1031.750
474,1041.500
475,1037.500
476,1047.500
477,1050.000
478,1033.250
479,1035.500
480,1041.500
481,1044.500
482,1048.250
483,1050.000
484,1051.750
485,1060.750
486,1057.000
487,1047.250
488,1044.750
489,1048.000
490,1052.000
491,1039.750
492,1032.750
493,1048.000
494,1051.250
495,1040.750
496,1046.500
497,1044.500
498,1038.250
499,1033.000
500,1037.250
501,1044.000
502,1034.500
503,1045.250
504,1056.250
505,1051.500
506,1049.750
507,1041.500
508,1039.000
509,1038.500
510,1039.000
511,1035.500
512,1036.250
513,1051.500
514,1045.250
515,1033.500
516,1031.000
517,1019.500
518,1028.500
519,1049.250
520,1039.500
521,1032.000
522,1040.750
523,1033.750
524,1031.000
525,1039.500
526,1034.250
527,1036.500
528,1041.000
529,1040.750
530,1037.500
531,1043.250
532,1041.500
533,1043.500
534,1050.750
535,1039.500
536,1037.750
537,1040.250
538,1035.500
539,1032.250
540,1033.000
541,1033.750
542,1034.000
543,1034.500
544,1045.500
545,1056.250
546,1049.500
547,1045.750
548,1046.000
549,1039.000
550,1039.500
551,1042.500
552,1037.500
553,1047.750
554,1062.250
555,1051.500
556,1039.500
557,1036.000
558,1040.250
559,1049.000
560,1050.000
561,1039.000
562,1035.250
563,1035.250
564,1038.750
565,1046.000
566,1041.250
567,1043.750
568,1050.500
569,1038.750
570,1042.250
571,1050.000
572,1042.250
573,1036.000
574,1027.500
575,1031.250
576,1046.750
577,1051.000
578,1038.250
579,1029.750
580,1033.750
581,1038.000
582,1044.000
583,1051.750
584,1046.750
585,1039.750
586,1037.750
587,1034.250
588,1035.500
589,1041.000
590,1038.500
591,1034.500
592,1037.500
593,1041.500
594,1041.500
595,1042.250
596,1042.500
597,1042.000
598,1039.250
599,1034.500
600,1037.000
601,1041.000
602,1045.750
603,1046.750
604,1034.750
605,1026.000
606,1033.750
607,1042.750
608,1046.500
