Distance_(pixels),Gray_Value
0,0
1,1029
2,1029
3,1017
4,1042
5,1043
6,1031
7,1038
8,1032
9,1045
10,1055
11,1027
12,1031
13,1048
14,1074
15,1047
16,1053
17,1051
18,1058
19,1049
20,1049
21,1064
22,1071
23,1023
24,1034
25,1020
26,1046
27,1029
28,1053
29,1031
30,1060
31,1025
32,1082
33,1036
34,1069
35,1052
36,1050
37,1071
38,1038
39,1038
40,1026
41,1031
42,1065
43,1021
44,1029
45,1053
46,1065
47,1048
48,1038
49,1024
50,1054
51,1058
52,1058
53,1051
54,1026
55,1059
56,1035
57,1053
58,1049
59,1041
60,1033
61,1039
62,1054
63,1062
64,1048
65,1040
66,1049
67,1063
68,1043
69,1042
70,1036
71,1042
72,1041
73,1051
74,1041
75,1074
76,1035
77,1074
78,1047
79,1028
80,1057
81,1053
82,1059
83,1045
84,1036
85,1052
86,1040
87,1041
88,1024
89,1032
90,1056
91,1052
92,1040
93,1058
94,1036
95,1052
96,1040
97,1068
98,1051
99,1032
100,1054
101,1052
102,1052
103,1069
104,1052
105,1047
106,1046
107,1072
108,1034
109,1034
110,1063
111,1055
112,1058
113,1039
114,1047
115,1033
116,1051
117,1071
118,1029
119,1031
120,1048
121,1039
122,1049
123,1048
124,1043
125,1040
126,1055
127,1052
128,1040
129,1071
130,1046
131,1051
132,1048
133,1038
134,1047
135,1055
136,1039
137,1044
138,1027
139,1051
140,1039
141,1035
142,1040
143,1037
144,1045
145,1071
146,1055
147,1050
148,1052
149,1040
150,1063
151,1027
152,1041
153,1044
154,1048
155,1039
156,1039
157,1060
158,1030
159,1044
160,1031
161,1047
162,1044
163,1055
164,1060
165,1025
166,1049
167,1056
168,1033
169,1068
170,1020
171,1036
172,1030
173,1048
174,1046
175,1024
176,1060
177,1037
178,1032
179,1023
180,1050
181,1044
182,1036
183,1050
184,1023
185,1047
186,1044
187,1050
188,1061
189,1003
190,1027
191,1066
192,1039
193,1030
194,1037
195,1043
196,1041
197,1037
198,1047
199,1040
200,1055
201,1032
202,1048
203,1039
204,1032
205,1039
206,1060
207,1024
208,1041
209,1054
210,1025
211,1044
212,1054
213,1096
214,1047
215,1054
216,1020
217,1039
218,1056
219,1051
220,1043
221,1050
222,1021
223,1060
224,1055
225,1051
226,1031
227,1024
228,1052
229,1027
230,1049
231,1045
232,1026
233,1026
234,1047
235,1038
236,1040
237,1031
238,1039
239,1039
240,1045
241,1052
242,1063
243,1037
244,1029
245,1044
246,1054
247,1033
248,1060
249,1056
250,1028
251,1015
252,1062
253,1062
254,1018
255,1052
256,1037
257,1019
258,1057
259,1051
260,1038
261,1056
262,1017
263,1032
264,1043
265,1055
266,1010
267,1056
268,1036
269,1047
270,1063
271,1057
272,1038
273,1064
274,1025
275,1041
276,1034
277,1057
278,1028
279,1074
280,1046
281,1049
282,1034
283,1042
284,1025
285,1065
286,1032
287,1057
288,1029
289,1056
290,1032
291,1062
292,1064
293,1030
294,1050
295,1032
296,1015
297,1044
298,1057
299,1039
