Distance_(pixels),Gray_Value
0,0
1,0
2,0
3,0
4,1048
5,1048
6,1062
7,1046
8,1034
9,1031
10,1060
11,1041
12,1031
13,1045
14,1036
15,1054
16,1041
17,1052
18,1053
19,1032
20,1037
21,1025
22,1038
23,1043
24,1050
25,1019
26,1053
27,1071
28,1030
29,1051
30,1058
31,1033
32,1062
33,1075
34,1012
35,1053
36,1053
37,1053
38,1072
39,1036
40,1055
41,1033
42,1033
43,1044
44,1050
45,1058
46,1047
47,1041
48,1022
49,1053
50,1041
51,1030
52,1053
53,1059
54,1025
55,1033
56,1033
57,1055
58,1050
59,1037
60,1061
61,1049
62,1054
63,1049
64,1049
65,1063
66,1031
67,1039
68,1039
69,1047
70,1064
71,1038
72,1024
73,1048
74,1048
75,1066
76,1051
77,1052
78,1038
79,1030
80,1063
81,1048
82,1050
83,1059
84,1067
85,1056
86,1068
87,1049
88,1058
89,1030
90,1060
91,1056
92,1043
93,1041
94,1059
95,1036
96,1054
97,1042
98,1051
99,1036
100,1036
101,1025
102,1031
103,1026
104,1044
105,1056
106,1023
107,1026
108,1043
109,1054
110,1034
111,1038
112,1045
113,1030
114,1053
115,1049
116,1059
117,1035
118,1051
119,1045
120,1047
121,1034
122,1026
123,1066
124,1059
125,1038
126,1053
127,1023
128,1045
129,1042
130,1027
131,1045
132,1060
133,1057
134,1051
135,1044
136,1043
137,1052
138,1057
139,1054
140,1022
141,1054
142,1064
143,1041
144,1055
145,1029
146,1037
147,1032
148,1027
149,1052
150,1051
151,1023
152,1064
153,1064
154,1034
155,1058
156,1034
157,1048
158,1062
159,1043
160,1021
161,1069
162,1054
163,1071
164,1038
165,1055
166,1053
167,1049
168,1064
169,1043
170,1070
171,1049
172,1063
173,1036
174,1056
175,1043
176,1041
177,1078
178,1074
179,1062
180,1060
181,1057
182,1073
183,1075
184,1073
185,1066
186,1079
187,1113
188,1086
189,1063
190,1087
191,1090
192,1083
193,1097
194,1076
195,1122
196,1117
197,1148
198,1137
199,1110
200,1141
201,1139
202,1182
203,1183
204,1247
205,1303
206,1328
207,1323
208,1356
209,1456
210,1536
211,1584
212,1794
213,1856
214,2048
215,2294
216,2698
217,2817
218,3616
219,4996
220,8707
221,12211
222,17593
223,24382
224,19880
225,10546
226,5028
227,2585
228,1463
229,1216
230,1127
231,1116
232,1075
233,1096
234,1074
235,1072
236,1068
237,1112
238,1086
239,1073
240,1058
241,1058
242,1042
243,1051
244,1065
245,1045
246,1023
247,1055
248,1054
249,1053
250,1049
251,1048
252,1050
253,1063
254,1039
255,1055
256,1058
257,1015
258,1032
259,1046
260,1058
261,1041
262,1042
263,1072
264,1051
265,1057
266,1047
267,1039
268,1072
269,1046
270,1059
271,1042
272,1058
273,1018
274,1043
275,1046
276,1051
277,1037
278,1077
279,1084
280,1039
281,1028
282,1057
283,1077
284,1056
285,1050
286,1062
287,1039
288,1063
289,1060
290,1045
291,1061
292,1048
293,1042
294,1040
295,1077
296,1053
297,1032
298,1049
299,1074
300,1047
301,1027
302,1006
303,1057
304,1045
305,1030
306,1048
307,1047
308,1051
309,1051
310,1049
311,1034
312,1042
313,1062
314,1020
315,1031
316,1033
317,1065
318,1035
319,1068
320,1028
321,1043
322,1039
323,1054
324,1024
325,1026
326,1054
327,1048
328,1053
329,1006
330,1029
331,1059
332,1062
333,1041
334,1013
335,1083
336,1054
337,1041
338,1031
339,1045
340,1044
341,1065
342,1053
343,1036
344,1023
345,1046
346,1039
347,1065
348,1040
349,1028
350,1055
351,1032
352,1029
353,1054
354,1036
355,1048
356,1018
357,1061
358,1043
359,1072
360,1024
361,1039
362,1061
363,1046
364,1044
365,1060
366,1030
367,1051
368,1039
369,1050
370,1070
371,1023
372,1038
373,1048
374,1037
375,1057
376,1068
377,1069
378,1040
379,1029
380,1047
381,1042
382,1025
383,1040
384,1069
385,1038
386,1059
387,1041
388,1040
389,1027
390,1027
391,1044
392,1029
393,1036
394,1052
395,1046
396,1018
397,1043
398,1060
399,1032
400,1037
401,1049
402,1042
403,1038
404,1048
405,1055
406,1067
407,1055
408,1019
409,1048
410,1042
411,1044
412,1038
413,1036
414,1058
415,1043
416,1052
417,1063
418,1030
419,1079
420,1030
421,1058
422,1046
423,1061
424,1066
