Distance_(cm),Gray_Value
0.0000,41.930
0.0264,41.978
0.0529,41.871
0.0793,42.317
0.1057,42.376
0.1322,42.688
0.1586,42.468
0.1851,42.946
0.2115,42.704
0.2379,43.134
0.2644,43.242
0.2908,42.909
0.3172,43.151
0.3437,42.839
0.3701,43.608
0.3966,43.898
0.4230,43.188
0.4494,43.737
0.4759,43.194
0.5023,43.532
0.5287,43.559
0.5552,43.683
0.5816,43.575
0.6080,44.054
0.6345,43.489
0.6609,43.538
0.6874,43.876
0.7138,43.876
0.7402,43.059
0.7667,43.575
0.7931,43.059
0.8195,43.419
0.8460,43.414
0.8724,44.726
0.8989,44.145
0.9253,44.360
0.9517,44.043
0.9782,44.140
1.0046,43.871
1.0310,43.962
1.0575,43.715
1.0839,42.828
1.1103,43.500
1.1368,43.731
1.1632,43.645
1.1897,43.478
1.2161,43.505
1.2425,43.145
1.2690,44.392
1.2954,44.425
1.3218,44.237
1.3483,44.839
1.3747,45.156
1.4011,45.086
1.4276,45.134
1.4540,45.640
1.4805,44.543
1.5069,43.656
1.5333,44.145
1.5598,44.511
1.5862,45.086
1.6126,46.005
1.6391,46.860
1.6655,48.183
1.6920,49.210
1.7184,50.290
1.7448,51.048
1.7713,50.763
1.7977,50.242
1.8241,49.704
1.8506,48.554
1.8770,47.624
1.9034,47.371
1.9299,47.688
1.9563,47.876
1.9828,48.473
2.0092,48.720
2.0356,48.371
2.0621,48.430
2.0885,48.054
2.1149,47.919
2.1414,48.231
2.1678,48.355
2.1943,48.172
2.2207,48.989
2.2471,49.441
2.2736,49.769
2.3000,49.806
2.3264,49.849
2.3529,49.962
2.3793,50.538
2.4057,51.038
2.4322,50.796
2.4586,51.317
2.4851,51.866
2.5115,51.839
2.5379,51.694
2.5644,52.489
2.5908,53.790
2.6172,53.925
2.6437,54.204
2.6701,55.591
2.6966,57.602
2.7230,59.231
2.7494,61.720
2.7759,64.710
2.8023,67.000
2.8287,68.995
2.8552,69.957
2.8816,74.602
2.9080,86.882
2.9345,108.457
2.9609,138.108
2.9874,169.866
3.0138,188.349
3.0402,191.742
3.0667,187.070
3.0931,174.280
3.1195,153.387
3.1460,121.640
3.1724,90.935
3.1989,75.156
3.2253,70.382
3.2517,67.129
3.2782,66.602
3.3046,65.962
3.3310,64.425
3.3575,63.806
3.3839,62.651
3.4103,61.656
3.4368,60.973
3.4632,60.005
3.4897,58.957
3.5161,57.720
3.5425,56.065
3.5690,54.091
3.5954,52.403
3.6218,50.995
3.6483,49.726
3.6747,49.070
3.7011,48.478
3.7276,48.575
3.7540,49.215
3.7805,48.952
3.8069,48.984
3.8333,49.565
3.8598,50.737
3.8862,50.806
3.9126,51.274
3.9391,51.914
3.9655,52.253
3.9920,51.801
4.0184,51.753
4.0448,51.258
4.0713,51.387
4.0977,51.387
4.1241,50.919
4.1506,50.763
4.1770,51.048
4.2034,50.715
4.2299,50.511
4.2563,51.091
4.2828,52.086
4.3092,52.478
4.3356,52.801
4.3621,53.226
4.3885,53.177
4.4149,53.263
4.4414,53.688
4.4678,53.887
4.4943,54.065
4.5207,54.210
4.5471,54.570
4.5736,55.263
4.6000,55.419
4.6264,56.269
4.6529,57.016
4.6793,58.032
4.7057,58.054
4.7322,59.022
4.7586,60.022
4.7851,60.629
4.8115,61.097
4.8379,61.344
4.8644,61.930
4.8908,62.887
4.9172,63.694
4.9437,65.151
4.9701,66.231
4.9966,68.108
5.0230,69.618
5.0494,70.876
5.0759,72.489
5.1023,74.269
5.1287,76.355
5.1552,78.000
5.1816,79.591
5.2080,82.011
5.2345,83.914
5.2609,85.892
5.2874,89.651
5.3138,97.968
5.3402,112.618
5.3667,136.710
5.3931,163.720
5.4195,184.774
5.4460,194.538
5.4724,203.102
5.4989,218.823
5.5253,234.129
5.5517,245.898
5.5782,252.167
5.6046,253.860
5.6310,254.172
5.6575,254.435
5.6839,254.349
5.7103,254.129
5.7368,250.231
5.7632,237.823
5.7897,214.194
5.8161,187.661
5.8425,174.312
5.8690,163.065
5.8954,147.656
5.9218,128.887
5.9483,108.011
5.9747,93.532
6.0011,87.177
6.0276,85.962
6.0540,86.285
6.0805,87.038
6.1069,87.871
6.1333,87.548
6.1598,86.177
6.1862,84.608
6.2126,82.849
6.2391,80.753
6.2655,79.414
6.2920,77.968
6.3184,76.495
6.3448,75.215
6.3713,74.559
6.3977,73.516
6.4241,72.758
6.4506,71.457
6.4770,70.645
6.5034,69.419
6.5299,68.742
6.5563,67.785
6.5828,67.204
6.6092,66.505
6.6356,65.210
6.6621,64.500
6.6885,64.188
6.7149,63.672
6.7414,63.565
6.7678,62.914
6.7943,62.215
6.8207,61.597
6.8471,60.968
6.8736,59.742
6.9000,58.946
6.9264,59.108
6.9529,59.000
6.9793,58.903
7.0057,58.742
7.0322,58.462
7.0586,58.349
7.0851,58.108
7.1115,57.704
7.1379,58.038
7.1644,58.108
7.1908,58.027
7.2172,57.849
7.2437,57.731
7.2701,57.602
7.2966,57.059
7.3230,57.823
7.3494,57.758
7.3759,58.038
7.4023,59.108
7.4287,61.301
7.4552,65.081
7.4816,69.763
7.5080,74.387
7.5345,76.129
7.5609,74.446
7.5874,71.597
7.6138,69.247
7.6402,67.817
7.6667,67.925
7.6931,69.903
7.7195,72.124
7.7460,74.758
7.7724,78.473
7.7989,82.242
7.8253,85.796
7.8517,89.726
7.8782,90.962
7.9046,90.161
7.9310,87.651
7.9575,84.548
7.9839,82.618
8.0103,82.500
8.0368,84.989
8.0632,89.597
8.0897,95.387
8.1161,102.871
8.1425,111.145
8.1690,120.457
8.1954,145.269
8.2218,189.892
8.2483,224.930
8.2747,237.780
8.3011,239.516
8.3276,234.855
8.3540,217.409
8.3805,184.027
8.4069,135.086
8.4333,104.306
8.4598,110.285
8.4862,122.645
8.5126,140.118
8.5391,164.102
8.5655,182.140
8.5920,186.145
8.6184,177.043
8.6448,149.780
8.6713,112.220
8.6977,87.500
8.7241,81.274
8.7506,78.446
8.7770,76.414
8.8034,74.382
8.8299,72.043
8.8563,70.210
8.8828,69.210
8.9092,69.054
8.9356,69.376
8.9621,69.737
8.9885,71.134
9.0149,73.140
9.0414,74.570
9.0678,76.710
9.0943,85.102
9.1207,101.145
9.1471,124.806
9.1736,151.737
9.2000,164.710
9.2264,161.710
9.2529,147.328
9.2793,123.919
9.3057,100.925
9.3322,90.468
9.3586,86.677
9.3851,84.952
9.4115,82.968
9.4379,80.398
9.4644,76.839
9.4908,73.624
9.5172,70.941
9.5437,69.645
9.5701,68.548
9.5966,69.022
9.6230,71.199
9.6494,74.215
9.6759,78.226
9.7023,84.097
9.7287,91.602
9.7552,99.914
9.7816,107.591
9.8080,124.016
9.8345,171.086
9.8609,212.457
9.8874,225.091
9.9138,225.543
9.9402,225.344
9.9667,223.097
9.9931,209.204
10.0195,182.253
10.0460,141.355
10.0724,112.172
10.0989,104.301
10.1253,102.790
10.1517,99.280
10.1782,95.930
10.2046,91.118
10.2310,83.731
10.2575,76.677
10.2839,72.129
10.3103,69.511
10.3368,68.194
10.3632,67.651
10.3897,66.914
10.4161,67.022
10.4425,66.565
10.4690,65.903
10.4954,65.043
10.5218,64.134
10.5483,63.366
10.5747,62.699
10.6011,61.909
10.6276,61.651
10.6540,61.780
10.6805,61.763
10.7069,61.833
10.7333,61.441
10.7598,61.860
10.7862,61.812
10.8126,62.140
10.8391,62.790
10.8655,63.559
10.8920,65.210
10.9184,66.048
10.9448,66.543
10.9713,66.371
10.9977,65.790
11.0241,64.414
11.0506,62.941
11.0770,61.559
11.1034,60.048
11.1299,59.048
11.1563,58.274
11.1828,58.242
11.2092,58.237
11.2356,58.247
11.2621,58.425
11.2885,58.575
11.3149,58.737
11.3414,58.608
11.3678,58.253
11.3943,57.323
11.4207,57.086
11.4471,56.629
11.4736,56.091
11.5000,55.473
11.5264,54.435
11.5529,54.145
11.5793,53.430
11.6057,52.984
11.6322,52.382
11.6586,51.978
11.6851,51.124
11.7115,50.731
11.7379,50.683
11.7644,50.613
11.7908,49.591
11.8172,49.253
11.8437,49.097
11.8701,49.478
11.8966,50.086
11.9230,50.957
11.9494,51.511
11.9759,52.054
12.0023,52.672
12.0287,53.059
12.0552,53.065
12.0816,52.360
12.1080,51.134
12.1345,50.242
12.1609,49.812
12.1874,49.586
12.2138,50.022
12.2402,50.457
12.2667,50.634
12.2931,49.882
12.3195,49.575
12.3460,49.871
12.3724,49.742
12.3989,49.333
12.4253,48.753
12.4517,48.629
12.4782,48.065
12.5046,48.016
12.5310,48.161
12.5575,47.925
12.5839,48.065
12.6103,47.608
12.6368,47.473
12.6632,47.081
12.6897,46.973
12.7161,47.161
12.7425,47.704
12.7690,47.747
12.7954,47.505
12.8218,48.108
12.8483,48.817
12.8747,47.844
12.9011,47.973
12.9276,47.532
12.9540,47.844
12.9805,47.661
13.0069,47.742
13.0333,47.946
13.0598,48.075
13.0862,48.065
13.1126,47.317
13.1391,47.817
13.1655,47.446
13.1920,46.828
13.2184,46.253
13.2448,45.613
13.2713,45.898
13.2977,46.457
13.3241,46.720
13.3506,47.204
13.3770,47.473
13.4034,47.371
13.4299,46.489
13.4563,46.134
13.4828,45.710
13.5092,45.726
13.5356,45.554
13.5621,45.866
13.5885,45.462
13.6149,45.290
13.6414,46.360
13.6678,46.441
13.6943,47.242
13.7207,47.323
13.7471,47.269
13.7736,46.489
13.8000,46.360
13.8264,46.220
13.8529,46.414
13.8793,46.344
13.9057,46.301
13.9322,46.355
13.9586,45.887
13.9851,45.403
14.0115,44.780
14.0379,43.538
14.0644,42.301
14.0908,40.995
14.1172,40.237
14.1437,39.618
14.1701,38.167
14.1966,38.000
14.2230,37.473
14.2494,36.645
14.2759,34.785
14.3023,31.532
14.3287,27.505
14.3552,25.027
14.3816,24.247
14.4080,24.210
14.4345,24.446
14.4609,24.452
14.4874,25.145
14.5138,25.613
14.5402,26.452
14.5667,27.172
14.5931,27.801
14.6195,30.376
14.6460,34.301
14.6724,40.204
14.6989,45.758
14.7253,48.151
14.7517,46.312
14.7782,42.452
14.8046,38.581
14.8310,34.720
14.8575,31.258
14.8839,29.398
14.9103,28.661
14.9368,28.210
14.9632,28.102
14.9897,27.280
15.0161,26.919
15.0425,27.172
15.0690,26.704
15.0954,26.661
15.1218,26.489
15.1483,26.780
15.1747,26.817
15.2011,27.204
15.2276,27.618
15.2540,27.387
15.2805,27.323
15.3069,27.559
15.3333,27.790
15.3598,27.866
15.3862,28.188
15.4126,28.339
15.4391,28.608
15.4655,28.688
15.4920,28.505
15.5184,28.570
15.5448,28.441
15.5713,28.435
15.5977,28.183
15.6241,28.532
15.6506,28.183
15.6770,28.565
15.7034,29.043
15.7299,29.296
15.7563,29.532
15.7828,29.392
15.8092,29.258
