Distance_(cm),Gray_Value
0.0000,112
0.0602,113
0.1205,115
0.1807,119
0.2410,121
0.3012,123
0.3614,130
0.4217,142
0.4819,155
0.5422,163
0.6024,183
0.6627,135
0.7229,253
0.7831,254
0.8434,253
0.9036,253
0.9639,161
1.0241,159
1.0843,154
1.1446,149
1.2048,143
1.2651,131
1.3253,123
1.3855,122
1.4458,116
1.5060,112
1.5663,110
1.6265,108
1.6867,104
1.7470,98
1.8072,97
1.8675,95
1.9277,88
1.9880,86
2.0482,87
2.1084,83
2.1687,77
2.2289,78
2.2892,80
2.3494,72
2.4096,71
2.4699,69
2.5301,66
2.5904,61
2.6506,61
2.7108,60
2.7711,56
2.8313,54
2.8916,55
2.9518,53
3.0120,40
3.0723,40
3.1325,46
3.1928,46
3.2530,53
3.3133,48
3.3735,42
3.4337,55
3.4940,41
3.5542,67
3.6145,86
3.6747,88
3.7349,93
3.7952,85
3.8554,87
3.9157,87
3.9759,87
4.0361,94
4.0964,87
4.1566,84
4.2169,84
4.2771,83
4.3373,82
4.3976,83
4.4578,80
4.5181,80
4.5783,76
4.6386,74
4.6988,75
4.7590,76
4.8193,69
4.8795,69
4.9398,73
5.0000,67
5.0602,67
5.1205,65
5.1807,62
5.2410,56
5.3012,59
5.3614,62
5.4217,59
5.4819,47
5.5422,61
5.6024,55
5.6627,54
5.7229,45
5.7831,56
5.8434,45
5.9036,39
5.9639,39
6.0241,42
6.0843,44
6.1446,45
6.2048,46
6.2651,39
6.3253,38
6.3855,41
6.4458,37
6.5060,35
6.5663,31
6.6265,40
6.6867,36
6.7470,36
6.8072,37
6.8675,42
6.9277,38
6.9880,41
7.0482,35
7.1084,36
7.1687,36
7.2289,32
7.2892,35
7.3494,37
7.4096,31
7.4699,37
7.5301,34
7.5904,36
7.6506,36
7.7108,37
7.7711,33
7.8313,35
7.8916,30
7.9518,35
8.0120,32
8.0723,33
8.1325,32
8.1928,34
8.2530,30
8.3133,33
8.3735,26
8.4337,29
8.4940,29
8.5542,30
8.6145,30
8.6747,25
8.7349,32
8.7952,30
8.8554,23
8.9157,21
8.9759,27
9.0361,31
9.0964,29
9.1566,25
9.2169,17
9.2771,25
9.3373,30
9.3976,25
9.4578,29
9.5181,14
9.5783,20
9.6386,22
9.6988,21
9.7590,14
9.8193,12
9.8795,19
9.9398,20
10.0000,27
10.0602,20
10.1205,23
10.1807,23
10.2410,27
10.3012,27
10.3614,29
10.4217,32
10.4819,32
10.5422,29
10.6024,15
10.6627,22
10.7229,20
10.7831,29
10.8434,29
10.9036,27
10.9639,19
11.0241,30
11.0843,26
11.1446,11
11.2048,27
11.2651,27
11.3253,27
11.3855,31
11.4458,33
11.5060,14
11.5663,17
11.6265,34
11.6867,33
11.7470,30
11.8072,33
11.8675,32
11.9277,26
11.9880,30
12.0482,29
12.1084,32
12.1687,25
12.2289,28
12.2892,32
12.3494,37
12.4096,32
12.4699,20
12.5301,31
12.5904,29
12.6506,23
12.7108,28
12.7711,32
12.8313,30
12.8916,31
12.9518,28
13.0120,39
13.0723,33
13.1325,26
13.1928,22
13.2530,29
13.3133,23
13.3735,22
13.4337,23
13.4940,30
13.5542,28
13.6145,22
13.6747,23
13.7349,27
13.7952,31
13.8554,24
13.9157,24
13.9759,36
14.0361,26
14.0964,22
14.1566,30
14.2169,32
14.2771,24
14.3373,32
14.3976,32
14.4578,30
14.5181,32
14.5783,28
14.6386,30
14.6988,32
14.7590,25
14.8193,28
14.8795,35
14.9398,38
15.0000,31
15.0602,32
15.1205,27
15.1807,28
15.2410,27
15.3012,22
15.3614,23
15.4217,28
15.4819,27
15.5422,32
15.6024,30
15.6627,31
15.7229,29
15.7831,31
15.8434,11
15.9036,31
15.9639,32
16.0241,23
16.0843,28
16.1446,22
16.2048,20
16.2651,31
16.3253,32
16.3855,26
16.4458,28
16.5060,36
16.5663,37
16.6265,19
16.6867,22
16.7470,31
16.8072,35
16.8675,27
16.9277,17
16.9880,26
17.0482,23
17.1084,41
17.1687,35
17.2289,33
17.2892,36
17.3494,15
17.4096,35
17.4699,28
17.5301,29
17.5904,21
17.6506,30
17.7108,33
17.7711,34
17.8313,36
17.8916,33
17.9518,36
18.0120,35
18.0723,34
18.1325,35
18.1928,28
18.2530,26
18.3133,12
18.3735,16
18.4337,28
18.4940,34
18.5542,34
18.6145,32
18.6747,35
18.7349,35
18.7952,41
18.8554,39
18.9157,39
18.9759,38
19.0361,36
19.0964,35
19.1566,34
19.2169,35
19.2771,34
19.3373,37
19.3976,36
19.4578,37
19.5181,33
19.5783,38
19.6386,36
19.6988,36
19.7590,51
19.8193,57
19.8795,78
19.9398,141
20.0000,144
20.0602,25
20.1205,38
20.1807,37
20.2410,50
20.3012,33
20.3614,32
20.4217,36
20.4819,35
20.5422,33
20.6024,34
20.6627,34
20.7229,35
20.7831,33
20.8434,36
20.9036,30
20.9639,34
21.0241,30
21.0843,34
21.1446,39
21.2048,36
21.2651,33
21.3253,34
21.3855,37
21.4458,35
21.5060,40
21.5663,32
21.6265,33
21.6867,35
21.7470,34
21.8072,34
21.8675,36
21.9277,37
21.9880,39
22.0482,24
22.1084,72
22.1687,69
22.2289,103
22.2892,171
22.3494,201
22.4096,202
22.4699,130
22.5301,54
22.5904,56
22.6506,54
22.7108,38
22.7711,36
22.8313,38
22.8916,34
22.9518,36
23.0120,40
23.0723,39
23.1325,36
23.1928,39
23.2530,39
23.3133,33
23.3735,33
23.4337,36
23.4940,36
23.5542,34
23.6145,23
23.6747,21
23.7349,37
23.7952,33
23.8554,36
23.9157,37
23.9759,38
24.0361,36
24.0964,35
24.1566,30
24.2169,32
24.2771,36
24.3373,26
24.3976,34
24.4578,33
24.5181,28
24.5783,32
24.6386,38
24.6988,21
24.7590,22
24.8193,33
24.8795,36
24.9398,36
25.0000,35
25.0602,40
25.1205,36
25.1807,34
25.2410,33
25.3012,35
25.3614,36
25.4217,32
25.4819,38
25.5422,35
25.6024,38
25.6627,46
25.7229,39
25.7831,46
25.8434,43
25.9036,35
25.9639,34
26.0241,34
26.0843,35
26.1446,37
26.2048,34
26.2651,33
26.3253,34
26.3855,33
26.4458,37
26.5060,33
26.5663,36
26.6265,34
26.6867,34
26.7470,30
26.8072,35
26.8675,35
26.9277,36
26.9880,41
27.0482,34
27.1084,35
27.1687,32
27.2289,36
27.2892,39
27.3494,48
27.4096,32
27.4699,40
27.5301,37
27.5904,37
27.6506,34
27.7108,40
27.7711,33
27.8313,28
27.8916,37
27.9518,35
28.0120,25
28.0723,33
28.1325,33
28.1928,35
28.2530,38
28.3133,29
28.3735,32
28.4337,30
28.4940,36
28.5542,37
28.6145,33
28.6747,34
28.7349,36
28.7952,36
28.8554,33
28.9157,34
28.9759,23
29.0361,37
29.0964,37
29.1566,38
29.2169,34
29.2771,34
29.3373,29
29.3976,40
29.4578,36
29.5181,40
29.5783,42
29.6386,38
29.6988,42
29.7590,41
29.8193,42
29.8795,38
29.9398,36
30.0000,41
30.0602,38
30.1205,35
30.1807,44
30.2410,37
30.3012,45
30.3614,84
30.4217,108
30.4819,139
30.5422,179
30.6024,201
30.6627,202
30.7229,166
30.7831,144
30.8434,111
30.9036,77
30.9639,78
31.0241,71
31.0843,63
31.1446,51
31.2048,35
31.2651,40
31.3253,43
31.3855,54
31.4458,54
31.5060,43
31.5663,33
31.6265,34
31.6867,33
31.7470,35
31.8072,40
31.8675,35
