Distance_(cm),Gray_Value
0.0000,44.764
0.0373,45.989
0.0746,45.874
0.1120,45.103
0.1493,45.730
0.1866,46.460
0.2239,46.862
0.2613,46.661
0.2986,45.713
0.3359,46.638
0.3732,46.224
0.4105,45.954
0.4479,46.328
0.4852,45.695
0.5225,46.316
0.5598,46.920
0.5971,47.397
0.6345,46.586
0.6718,47.178
0.7091,46.511
0.7464,46.879
0.7838,47.402
0.8211,47.776
0.8584,48.293
0.8957,48.322
0.9330,47.655
0.9704,47.741
1.0077,48.477
1.0450,47.397
1.0823,47.563
1.1197,47.770
1.1570,46.920
1.1943,47.431
1.2316,47.195
1.2689,47.270
1.3063,48.126
1.3436,48.017
1.3809,48.989
1.4182,50.448
1.4555,51.678
1.4929,55.310
1.5302,63.678
1.5675,73.862
1.6048,85.638
1.6422,100.632
1.6795,106.914
1.7168,104.425
1.7541,95.770
1.7914,83.310
1.8288,66.638
1.8661,53.672
1.9034,48.908
1.9407,49.000
1.9781,48.149
2.0154,48.931
2.0527,48.667
2.0900,48.770
2.1273,48.782
2.1647,49.276
2.2020,48.443
2.2393,48.931
2.2766,49.161
2.3139,48.828
2.3513,49.948
2.3886,51.483
2.4259,52.259
2.4632,53.500
2.5006,58.420
2.5379,72.247
2.5752,84.178
2.6125,101.092
2.6498,135.592
2.6872,147.695
2.7245,144.172
2.7618,129.914
2.7991,109.034
2.8365,86.287
2.8738,55.994
2.9111,52.264
2.9484,53.109
2.9857,52.552
3.0231,50.960
3.0604,50.718
3.0977,50.902
3.1350,51.034
3.1723,50.989
3.2097,50.862
3.2470,52.184
3.2843,51.874
3.3216,52.040
3.3590,51.914
3.3963,51.109
3.4336,51.362
3.4709,51.402
3.5082,51.155
3.5456,50.776
3.5829,51.448
3.6202,52.874
3.6575,53.299
3.6949,53.161
3.7322,53.218
3.7695,52.546
3.8068,53.851
3.8441,53.471
3.8815,54.132
3.9188,54.098
3.9561,53.931
3.9934,54.747
4.0307,54.971
4.0681,54.891
4.1054,54.914
4.1427,53.902
4.1800,52.563
4.2174,53.420
4.2547,53.782
4.2920,55.816
4.3293,56.333
4.3666,57.937
4.4040,58.690
4.4413,57.753
4.4786,56.776
4.5159,56.885
4.5533,56.592
4.5906,55.741
4.6279,55.161
4.6652,54.902
4.7025,54.690
4.7399,55.230
4.7772,54.649
4.8145,54.920
4.8518,55.500
4.8891,56.374
4.9265,56.747
4.9638,56.552
5.0011,56.172
5.0384,55.908
5.0758,56.695
5.1131,56.489
5.1504,56.943
5.1877,57.149
5.2250,57.466
5.2624,58.218
5.2997,58.557
5.3370,58.782
5.3743,58.879
5.4117,59.747
5.4490,59.937
5.4863,60.437
5.5236,60.753
5.5609,61.552
5.5983,61.115
5.6356,61.655
5.6729,61.678
5.7102,61.276
5.7475,62.931
5.7849,64.805
5.8222,67.776
5.8595,75.397
5.8968,88.397
5.9342,105.339
5.9715,134.885
6.0088,158.920
6.0461,174.615
6.0834,172.408
6.1208,160.264
6.1581,140.598
6.1954,117.580
6.2327,99.672
6.2701,75.241
6.3074,67.385
6.3447,64.868
6.3820,64.897
6.4193,65.833
6.4567,67.155
