Distance_(pixels),Gray_Value
0,42.546
1,42.971
2,43.286
3,43.007
4,43.740
5,43.901
6,43.297
7,43.696
8,42.733
9,42.392
10,42.780
11,42.663
12,42.875
13,43.088
14,42.623
15,42.033
16,41.978
17,42.242
18,42.505
19,42.513
20,42.641
21,42.879
22,43.000
23,42.912
24,43.136
25,43.238
26,43.161
27,43.568
28,43.092
29,43.722
30,44.103
31,44.004
32,43.919
33,43.484
34,43.703
35,43.612
36,43.703
37,43.549
38,43.744
39,43.363
40,43.487
41,43.714
42,43.626
43,43.403
44,43.846
45,43.425
46,43.663
47,43.271
48,44.168
49,43.956
50,44.223
51,44.110
52,44.081
53,43.978
54,44.223
55,44.183
56,43.930
57,44.311
58,44.722
59,44.575
60,44.198
61,44.110
62,43.681
63,44.806
64,44.568
65,44.678
66,45.125
67,44.890
68,44.692
69,44.703
70,45.136
71,44.286
72,44.139
73,44.890
74,45.168
75,46.147
76,47.084
77,47.729
78,48.604
79,49.084
80,49.850
81,50.348
82,49.886
83,49.546
84,49.216
85,48.403
86,47.538
87,46.996
88,47.216
89,47.275
90,48.099
91,48.615
92,48.048
93,48.582
94,48.275
95,48.040
96,48.766
97,49.018
98,48.586
99,49.260
100,49.491
101,49.758
102,49.766
103,49.868
104,50.103
105,50.498
106,50.930
107,50.645
108,50.982
109,51.509
110,51.725
111,51.681
112,52.278
113,53.623
114,54.026
115,54.659
116,56.117
117,57.821
118,59.366
119,61.938
120,64.670
121,67.828
122,72.407
123,77.875
124,87.410
125,102.022
126,120.828
127,144.205
128,169.531
129,182.169
130,179.176
131,169.209
132,155.623
133,138.344
134,112.938
135,86.938
136,72.747
137,68.509
138,66.114
139,65.648
140,65.029
141,63.634
142,63.304
143,62.549
144,61.473
145,60.670
146,59.579
147,58.601
148,57.029
149,55.531
150,53.630
151,51.960
152,50.729
153,49.634
154,48.872
155,48.117
156,48.546
157,49.227
158,49.070
159,49.103
160,49.711
161,50.652
162,51.011
163,51.399
164,51.429
165,51.571
166,51.366
167,51.220
168,50.938
169,51.128
170,51.300
171,51.044
172,50.835
173,51.040
174,50.864
175,50.524
176,51.260
177,51.773
178,52.410
179,53.022
180,53.293
181,53.106
182,53.487
183,54.092
184,54.264
185,54.447
186,54.524
187,54.857
188,55.476
189,55.908
190,56.784
191,57.590
192,58.447
193,58.538
194,59.234
195,60.300
196,60.813
197,61.473
198,61.883
199,62.949
200,63.853
201,64.806
202,65.861
203,67.048
204,68.696
205,70.344
206,71.579
207,73.209
208,74.579
209,76.623
210,78.443
211,80.026
212,82.465
213,86.341
214,91.549
215,99.066
216,109.857
217,123.828
218,143.436
219,166.579
220,188.070
221,202.051
222,213.234
223,226.538
224,238.169
225,247.469
226,252.568
227,253.927
228,254.077
229,253.736
230,250.725
231,244.106
232,236.326
233,223.586
234,203.308
235,178.022
236,162.366
237,150.462
238,136.912
239,121.110
240,103.835
241,92.007
242,86.370
243,85.168
244,85.304
245,85.205
246,85.538
247,85.121
248,83.714
249,82.388
250,80.817
251,79.154
252,77.872
253,76.678
254,75.678
255,74.549
256,73.810
257,73.234
258,72.553
259,71.308
260,70.253
261,68.908
262,68.249
263,67.040
264,66.524
265,65.692
266,64.678
267,63.989
268,63.729
269,63.443
270,63.029
271,62.407
272,61.879
273,61.139
274,60.502
275,59.608
276,58.919
277,59.117
278,58.769
279,58.579
280,58.077
281,57.795
282,58.147
283,57.923
284,57.879
285,57.960
286,57.923
287,57.960
288,57.579
289,57.352
290,57.282
291,56.868
292,57.297
293,57.495
294,57.982
295,59.040
296,61.179
297,64.117
298,67.645
299,71.168
300,72.022
301,70.414
302,68.348
303,67.216
304,67.132
305,68.161
306,71.231
307,73.945
308,76.604
309,79.912
310,82.784
311,85.103
312,87.421
313,87.875
314,87.128
315,85.158
316,83.121
317,82.399
318,82.982
319,85.890
320,90.963
321,96.879
322,106.205
323,121.084
324,139.084
325,161.029
326,195.853
327,225.121
328,234.125
329,228.366
330,212.795
331,193.927
332,170.663
333,133.586
334,108.278
335,117.575
336,131.458
337,145.872
338,163.553
339,174.421
340,170.769
341,159.220
342,137.311
343,106.498
344,84.875
345,79.366
346,76.766
347,74.799
348,72.806
349,70.963
350,69.337
351,68.212
352,68.531
353,68.938
354,69.443
355,71.132
356,73.659
357,77.201
358,83.648
359,95.692
360,110.769
361,129.249
362,148.949
363,156.187
364,149.886
365,136.641
366,117.667
367,97.941
368,88.520
369,84.875
370,82.689
371,80.333
372,77.810
373,74.491
374,71.744
375,69.601
376,68.857
377,68.509
378,69.722
379,72.161
380,75.484
381,80.044
382,86.084
383,93.722
384,106.212
385,125.502
386,143.289
387,178.802
388,213.443
389,224.766
390,224.165
391,219.374
392,206.659
393,190.520
394,168.956
395,136.055
396,109.740
397,102.293
398,100.311
399,96.201
400,92.154
401,87.238
402,80.879
403,74.685
404,70.645
405,68.377
406,67.297
407,66.777
408,65.861
409,65.886
410,65.341
411,64.857
412,64.194
413,63.531
414,62.934
415,62.546
416,61.956
417,61.696
418,61.370
419,61.158
420,61.385
421,61.374
422,61.842
423,62.168
424,62.634
425,63.319
426,63.978
427,65.385
428,66.055
429,66.168
430,65.736
431,65.037
432,63.670
433,62.220
434,60.996
435,59.886
436,59.201
437,58.487
438,58.374
439,58.234
440,58.158
441,58.304
442,58.355
443,58.278
444,58.099
445,57.549
446,56.667
447,56.520
448,55.952
449,55.392
450,54.949
451,54.172
452,53.934
453,53.425
454,52.916
455,52.147
456,51.546
457,50.901
458,50.509
459,50.286
460,50.114
461,49.352
462,49.264
463,49.253
464,49.582
465,50.070
466,50.791
467,51.469
468,51.656
469,51.725
470,51.842
471,51.916
472,51.267
473,50.575
474,49.711
475,49.293
476,49.473
477,49.773
478,50.073
479,50.084
480,49.736
481,49.440
482,49.418
483,48.883
484,48.187
485,47.795
486,48.070
487,47.857
488,48.007
489,48.337
490,47.945
491,47.736
492,47.374
493,47.099
494,46.736
495,46.982
496,47.201
497,47.502
498,47.641
499,47.473
500,47.941
501,48.059
502,47.447
503,47.231
504,46.872
505,47.077
506,46.960
507,46.927
508,47.242
509,47.344
510,47.308
511,46.634
512,47.000
513,46.766
514,46.352
515,46.051
516,45.842
517,46.095
518,46.432
519,46.846
520,47.172
521,47.212
522,47.421
523,46.505
524,46.055
525,45.630
526,45.689
527,45.520
528,45.557
529,45.103
530,44.952
531,45.615
532,45.663
533,46.282
534,46.359
535,46.260
536,45.908
537,45.883
538,45.897
539,46.073
540,45.897
541,45.593
542,45.377
543,44.912
544,44.410
545,43.615
546,42.308
547,41.245
548,40.055
549,39.227
550,38.513
551,37.465
552,37.223
553,36.905
554,36.084
555,34.198
556,31.429
557,27.821
558,25.549
559,24.923
560,24.927
561,25.308
562,25.209
563,25.725
564,26.201
565,26.949
566,27.674
567,28.579
568,30.886
569,34.205
570,39.143
571,43.897
572,45.846
573,44.253
574,40.736
575,37.366
576,34.022
577,31.132
578,29.645
579,28.945
580,28.491
581,28.476
582,28.059
583,27.769
584,27.832
585,27.597
586,27.670
587,27.432
588,27.454
589,27.231
590,27.337
591,27.462
592,27.227
593,27.385
594,27.626
595,27.769
596,28.132
597,28.099
598,28.132
599,28.432
600,28.557
601,28.187
602,28.491
603,28.264
604,28.044
605,28.018
606,28.278
607,27.864
608,28.059
609,28.410
610,28.586
611,28.769
612,29.022
613,28.875
614,28.381
615,27.832
616,28.117
617,28.077
618,28.117
619,28.366
620,28.487
621,28.549
622,28.553
623,28.850
624,29.388
625,29.344
626,29.645
627,29.703
628,29.685
629,29.703
630,29.689
631,29.136
632,29.081
633,28.952
634,28.897
635,29.011
636,29.286
637,29.535
638,29.678
639,30.095
640,30.678
641,31.993
642,34.623
643,37.842
644,40.806
645,41.663
646,40.527
647,36.758
648,32.462
649,28.967
650,26.194
651,24.476
652,23.930
653,23.689
654,24.392
655,25.799
656,27.304
657,29.095
658,30.498
659,32.158
660,33.758
661,35.088
662,35.575
663,36.190
664,37.004
665,38.048
666,38.227
667,38.703
668,39.443
669,40.018
670,40.941
671,41.579
672,42.505
673,43.190
674,44.066
675,44.879
676,45.212
677,46.007
678,46.560
679,47.117
680,48.194
681,48.487
682,49.495
683,50.154
684,50.733
685,51.201
686,51.974
687,52.271
688,53.106
689,53.875
690,54.344
691,54.908
692,55.681
693,56.333
694,57.110
695,57.879
696,58.670
697,59.821
698,60.593
699,61.348
700,61.919
701,62.557
702,63.205
703,64.073
704,64.718
705,65.645
706,67.473
707,68.725
708,69.355
709,70.571
