Distance_(pixels),Gray_Value
0,30.000
1,32.008
2,33.992
3,33.011
4,38.954
5,32.019
6,31.034
7,28.879
8,36.061
9,21.362
10,38.981
11,51.831
12,64.253
13,71.249
14,64.375
15,113.000
16,146.816
17,168.033
18,203.000
19,199.891
20,174.115
21,123.799
22,103.916
23,76.736
24,57.322
25,45.623
26,32.598
27,29.414
28,31.000
29,26.167
30,28.000
31,33.584
32,27.816
33,30.126
34,33.674
35,29.067
36,32.724
37,29.000
38,28.782
39,29.701
40,29.157
41,29.236
42,30.839
43,29.247
44,33.494
45,26.517
46,30.264
47,28.270
48,29.908
49,24.061
50,24.287
51,23.782
52,34.000
53,32.508
54,31.690
55,32.893
56,13.678
57,26.328
58,27.333
59,34.435
60,18.621
61,35.831
62,19.425
63,28.362
64,31.000
65,29.494
66,34.000
67,32.128
68,31.261
69,33.057
70,38.464
71,33.592
72,30.138
73,30.462
74,25.134
75,20.580
76,25.437
77,31.852
78,35.402
79,30.151
80,32.307
81,32.155
82,35.943
83,34.728
84,32.931
85,25.443
86,32.824
87,32.500
88,37.011
89,29.511
90,35.931
91,26.266
92,24.115
93,34.040
94,18.180
95,28.182
96,26.103
97,26.672
98,37.188
99,38.621
100,38.000
101,36.580
102,36.000
103,32.184
104,33.203
105,27.598
106,31.188
107,26.000
108,29.828
109,36.582
110,33.211
111,34.213
112,30.215
113,28.433
114,24.690
115,21.780
116,25.111
117,20.466
118,18.521
119,31.176
120,27.149
121,31.232
122,28.402
123,26.649
124,35.238
125,27.239
126,20.414
127,16.649
128,17.943
129,25.741
130,24.245
131,31.262
132,29.724
133,29.784
134,29.284
135,21.224
136,28.042
137,34.375
138,33.000
139,36.467
140,33.732
141,28.270
142,31.272
143,32.274
144,34.000
145,37.889
146,33.119
147,33.437
148,32.134
149,34.142
150,35.161
151,57.918
152,78.962
153,50.414
154,134.000
155,212.921
156,202.609
157,163.902
158,59.843
159,61.868
160,35.759
161,35.851
162,31.414
163,33.186
164,29.828
165,32.052
166,31.954
167,30.960
168,18.862
169,26.914
170,35.257
171,22.431
172,30.670
173,33.314
174,32.000
175,36.324
176,31.000
177,31.322
178,29.590
179,34.885
180,35.414
181,32.693
182,29.441
183,31.052
184,33.705
185,35.646
186,33.356
187,33.358
188,31.042
189,37.534
190,24.636
191,31.464
192,26.943
193,8.109
194,100.973
195,142.638
196,136.628
197,93.000
198,50.517
199,44.431
200,40.149
201,35.000
202,37.839
203,35.611
204,33.782
205,32.571
206,34.789
207,32.793
208,33.195
209,34.002
210,32.805
211,35.617
212,33.812
213,33.592
214,37.510
215,34.471
216,33.000
217,32.000
218,32.000
219,32.259
220,32.579
221,20.117
222,31.598
223,31.136
224,30.142
225,28.293
226,23.567
227,32.174
228,29.310
229,30.510
230,32.441
231,26.523
232,32.333
233,34.107
234,29.345
235,29.502
236,35.452
237,32.092
238,31.368
239,32.084
240,29.460
241,28.462
242,31.900
243,24.776
244,25.728
245,28.224
246,30.471
247,30.473
248,31.900
249,34.569
250,36.958
251,29.000
252,29.345
253,31.485
254,28.594
255,27.626
256,31.000
257,28.985
258,34.414
259,33.504
260,28.992
261,31.500
262,25.513
263,31.031
264,31.989
265,30.015
266,25.923
267,27.931
268,30.540
269,24.123
270,30.069
271,32.962
272,31.521
273,33.000
274,33.475
275,29.580
276,33.230
277,32.061
278,28.674
279,28.069
280,32.073
281,30.923
282,31.000
283,31.711
284,33.000
285,31.638
286,39.835
287,20.351
288,22.069
289,34.875
290,24.444
291,22.787
292,27.881
293,30.439
294,29.379
295,31.261
296,24.402
297,13.448
298,16.724
299,30.573
300,26.701
301,31.730
302,27.421
303,30.322
304,31.000
305,31.337
306,29.931
307,26.352
308,24.360
309,26.408
310,23.218
311,23.787
312,28.195
313,28.000
314,27.789
315,24.793
316,27.368
317,23.785
318,31.218
319,29.833
320,25.935
321,31.615
322,31.701
323,31.094
324,36.000
325,32.490
326,31.874
327,26.132
328,20.973
329,28.328
330,33.736
331,27.439
332,21.092
333,24.828
334,24.080
335,27.075
336,22.494
337,31.709
338,19.820
339,30.402
340,30.605
341,29.307
342,33.310
343,29.257
344,29.954
345,31.678
346,32.000
347,31.648
348,33.333
349,35.337
350,32.000
351,27.017
352,24.628
353,27.381
354,22.391
355,25.521
356,22.318
357,28.471
358,30.602
359,26.312
360,27.793
361,22.617
362,32.080
363,28.649
364,11.973
365,24.301
366,26.207
367,15.048
368,15.885
369,22.000
370,24.291
371,28.843
372,21.874
373,15.711
374,27.866
375,22.747
376,25.559
377,23.278
378,27.069
379,29.274
380,30.456
381,28.270
382,25.927
383,32.603
384,28.414
385,32.950
386,32.958
387,29.517
388,26.284
389,25.745
390,30.747
391,31.502
392,30.747
393,28.989
394,30.226
395,32.243
396,30.448
397,36.366
398,34.238
399,33.471
400,34.766
401,34.232
402,37.851
403,35.228
404,37.000
405,35.448
406,33.000
407,32.322
408,35.218
409,33.866
410,37.644
411,36.638
412,37.000
413,38.582
414,36.379
415,36.000
416,38.594
417,42.195
418,37.797
419,47.973
420,57.529
421,46.259
422,36.533
423,48.103
424,51.375
425,48.372
426,50.264
427,48.818
428,42.080
429,44.069
430,48.881
431,48.826
432,43.897
433,55.318
434,59.977
435,59.500
436,75.858
437,59.326
438,62.517
439,64.636
440,62.943
441,66.000
442,68.460
443,73.243
444,70.701
445,69.590
446,72.563
447,72.144
448,75.851
449,78.140
450,80.414
451,80.000
452,81.000
453,82.132
454,85.000
455,87.000
456,86.000
457,87.875
458,89.000
459,93.000
460,95.000
461,93.000
462,92.000
463,93.887
464,95.000
465,95.000
466,93.966
467,94.577
468,63.310
469,55.797
470,48.299
471,42.782
472,50.808
473,42.845
474,47.276
475,51.090
476,47.176
477,52.224
478,48.000
479,36.142
480,39.448
481,57.136
482,82.008
483,63.374
484,63.709
485,67.000
486,67.862
487,71.268
488,83.805
489,78.063
490,77.245
491,81.178
492,86.230
493,90.167
494,90.107
495,93.052
496,98.000
497,101.904
498,102.954
499,105.000
500,109.042
501,113.000
502,115.000
503,118.964
504,123.966
505,126.000
506,137.969
507,148.000
508,152.000
509,156.000
510,142.931
511,205.021
512,254.000
513,254.000
514,254.985
515,244.960
516,136.011
517,181.000
518,165.000
519,151.994
520,141.000
521,129.002
522,124.000
