Distance_(pixels),Gray_Value
0,46.231
1,45.119
2,45.559
3,45.084
4,44.979
5,45.420
6,45.441
7,45.497
8,44.937
9,46.133
10,45.909
11,45.070
12,46.524
13,45.853
14,47.944
15,47.126
16,45.308
17,46.580
18,45.783
19,46.084
20,46.783
21,45.734
22,46.147
23,47.007
24,47.839
25,46.762
26,47.420
27,46.629
28,47.238
29,47.469
30,47.587
31,48.483
32,48.993
33,47.601
34,47.762
35,48.406
36,47.364
37,47.406
38,48.119
39,46.804
40,47.699
41,47.189
42,47.699
43,47.762
44,48.112
45,49.224
46,51.007
47,52.126
48,55.916
49,65.503
50,77.315
51,90.336
52,104.783
53,109.385
54,105.343
55,94.860
56,80.629
57,63.902
58,51.909
59,49.245
60,49.727
61,48.455
62,49.357
63,48.406
64,48.888
65,49.203
66,49.664
67,48.643
68,49.315
69,49.112
70,49.601
71,50.524
72,51.986
73,53.196
74,54.601
75,57.790
76,73.538
77,87.399
78,111.497
79,143.448
80,150.713
81,144.804
82,127.923
83,104.245
84,79.636
85,54.867
86,53.301
87,53.343
88,52.699
89,51.098
90,51.434
91,50.664
92,51.112
93,50.937
94,50.993
95,52.469
96,52.531
97,52.280
98,52.301
99,51.538
100,51.867
101,51.643
102,51.587
103,51.399
104,51.706
105,53.399
106,53.497
107,53.469
108,53.434
109,53.196
110,54.406
111,53.783
112,54.580
113,54.692
114,53.923
115,55.084
116,55.441
117,54.769
118,55.007
119,54.035
120,52.538
121,53.832
122,54.273
123,56.175
124,56.979
125,58.364
126,58.629
127,57.643
128,56.755
129,56.979
130,56.825
131,55.629
132,55.119
133,55.175
134,54.874
135,55.608
136,54.986
137,55.455
138,55.706
139,56.692
140,56.811
141,56.664
142,56.608
143,56.028
144,57.035
145,57.105
146,57.587
147,57.944
148,57.671
149,58.357
150,58.769
151,59.238
152,59.252
153,60.098
154,60.098
155,60.594
156,60.797
157,61.923
158,62.014
159,61.615
160,61.783
161,61.657
162,63.042
163,65.336
164,68.657
165,76.559
166,90.056
167,109.476
168,141.538
169,164.238
170,178.322
171,173.657
172,159.231
173,138.538
174,115.224
175,97.979
176,74.797
177,67.105
178,64.881
179,65.217
180,66.350
181,67.902
182,68.909
183,69.531
184,68.266
185,66.126
186,64.720
187,62.371
188,60.210
189,60.329
190,61.559
191,64.315
192,69.280
193,75.909
194,80.783
195,84.084
196,85.671
197,83.000
198,77.252
199,69.888
200,61.692
201,54.629
202,51.503
203,50.378
204,50.301
205,49.916
206,49.406
207,49.748
208,50.042
209,49.105
210,48.315
211,47.531
212,47.427
213,48.140
214,45.916
215,45.860
216,45.049
217,44.930
218,45.895
219,44.804
220,44.811
221,45.420
222,45.853
223,46.469
224,46.469
225,46.622
226,47.196
227,45.853
228,46.923
229,46.678
230,46.385
231,45.448
232,46.587
233,45.881
234,46.476
235,46.189
236,46.154
237,46.329
238,45.748
239,45.671
240,45.343
