Distance_(pixels),Gray_Value
0,46.273
1,47.070
2,46.883
3,47.328
4,46.453
5,46.984
6,47.500
7,48.141
8,46.961
9,46.758
10,46.508
11,46.227
12,46.367
13,47.320
14,47.328
15,46.344
16,47.148
17,47.070
18,47.148
19,47.055
20,47.789
21,47.031
22,47.375
23,47.578
24,46.992
25,47.305
26,47.383
27,48.727
28,48.047
29,48.750
30,48.188
31,48.969
32,49.586
33,48.930
34,47.555
35,47.781
36,47.977
37,48.562
38,48.859
39,49.977
40,49.719
41,49.344
42,49.742
43,49.398
44,49.328
45,48.445
46,49.664
47,49.641
48,49.047
49,48.203
50,47.781
51,50.312
52,48.469
53,49.523
54,50.430
55,51.133
56,54.234
57,54.984
58,56.133
59,54.445
60,76.031
61,111.164
62,122.812
63,125.859
64,125.891
65,120.477
66,102.664
67,66.797
68,55.641
69,54.820
70,52.797
71,52.438
72,51.914
73,51.609
74,51.055
75,51.672
76,51.922
77,52.664
78,53.398
79,53.594
80,52.516
81,52.375
82,53.227
83,55.414
84,60.633
85,65.883
86,71.047
87,66.906
88,68.617
89,121.320
90,160.008
91,178.539
92,179.070
93,168.898
94,129.234
95,77.570
96,56.211
97,65.180
98,60.938
99,56.180
100,54.141
101,54.867
102,55.148
103,55.383
104,56.086
105,56.523
106,56.961
107,55.992
108,55.102
109,54.445
110,55.672
111,55.250
112,55.578
113,56.125
114,56.664
115,55.969
116,56.078
117,54.914
118,56.008
119,55.891
120,56.523
121,56.195
122,56.344
123,56.367
124,56.914
125,56.312
126,55.672
127,55.570
128,56.617
129,56.891
130,55.617
131,55.125
132,54.617
133,54.672
134,55.523
135,55.945
136,57.047
137,60.164
138,63.391
139,63.578
140,61.180
141,57.984
142,57.023
143,56.375
144,56.047
145,56.117
146,56.188
147,54.977
148,56.461
149,56.531
150,56.703
151,57.977
152,57.297
153,57.148
154,57.242
155,57.484
156,57.422
157,58.203
158,58.430
159,58.766
160,59.320
161,58.969
162,58.805
163,59.203
164,60.250
165,61.344
166,61.242
167,61.289
168,61.914
169,62.602
170,63.125
171,63.047
172,64.477
173,64.578
174,64.555
175,64.727
176,64.516
177,66.258
178,69.664
179,77.742
180,88.695
181,101.656
182,112.508
183,146.305
184,195.234
185,209.398
186,200.547
187,204.516
188,158.109
189,124.578
190,105.789
191,92.266
192,73.984
193,69.047
194,68.531
195,69.141
196,71.289
197,74.422
198,76.680
199,76.594
200,74.086
201,71.250
202,67.758
203,65.484
204,64.531
205,63.906
206,64.812
207,65.883
208,67.141
209,70.922
210,75.594
211,81.156
212,83.266
213,81.969
214,77.500
215,70.305
216,64.609
217,58.453
218,53.914
219,51.703
220,50.805
221,50.680
222,50.117
223,50.078
224,49.516
225,48.711
226,47.594
227,47.266
228,47.734
229,46.320
230,45.750
231,46.219
232,45.617
233,45.234
234,45.289
235,45.094
236,45.508
237,45.766
238,46.000
239,45.500
240,47.484
241,47.977
242,48.203
243,49.469
244,49.023
245,48.914
246,49.250
247,48.609
248,47.391
249,48.547
250,48.383
251,48.734
252,48.297
253,47.453
254,47.008
255,47.211
256,48.156
257,47.828
258,47.039
259,47.438
260,46.992
261,46.289
262,46.141
263,46.742
264,46.617
265,46.422
266,46.930
267,46.453
268,46.625
269,46.258
270,46.016
271,46.766
272,45.875
273,45.953
274,45.961
275,46.398
276,45.586
277,45.711
278,45.195
279,44.477
280,45.102
281,45.539
282,44.922
283,44.414
284,44.117
285,44.984
286,44.609
287,44.758
288,44.648
289,44.805
290,45.047
291,44.984
292,43.906
293,43.844
294,43.109
295,43.039
296,41.156
297,37.148
298,32.719
299,31.516
300,31.930
301,32.656
302,33.125
303,32.992
304,33.250
305,33.500
306,34.062
307,33.320
308,33.492
309,33.312
310,33.273
311,33.320
312,33.180
313,33.414
314,33.742
315,33.977
316,33.703
317,33.398
318,33.758
319,33.641
320,33.344
321,33.727
322,33.734
323,33.164
324,32.906
325,32.906
326,32.781
327,33.273
328,33.086
329,32.852
330,32.539
331,33.133
332,33.875
333,33.250
334,33.141
335,33.391
336,33.727
337,33.070
338,32.812
339,32.906
340,32.945
341,32.414
342,32.336
343,33.086
344,32.422
345,31.422
346,32.727
347,32.711
348,32.992
349,32.883
350,32.906
351,32.594
352,32.414
353,32.422
354,32.609
355,33.141
356,32.930
357,32.445
358,32.086
359,32.297
360,32.133
361,31.688
362,32.312
363,32.977
364,33.047
365,34.086
366,34.672
367,34.594
368,32.172
369,28.875
370,27.328
371,26.391
372,24.914
373,24.797
374,24.570
375,25.961
376,26.602
377,27.273
378,28.484
379,28.938
380,29.641
381,30.609
382,31.516
383,32.094
384,31.867
385,30.914
386,30.523
387,30.789
388,31.359
389,30.938
390,30.766
391,30.797
392,31.992
393,31.969
394,31.844
395,32.172
396,32.602
397,32.633
398,32.719
399,33.336
400,33.258
401,33.383
402,33.602
403,34.125
404,34.008
405,34.211
406,34.195
407,35.336
408,35.070
409,35.555
410,35.523
411,36.000
412,36.109
413,35.820
414,36.336
415,36.156
416,37.117
417,37.422
418,38.078
419,38.852
420,38.445
421,38.773
422,39.008
423,39.922
424,40.195
425,40.414
426,41.570
427,41.734
428,43.297
429,42.219
430,43.484
431,43.656
432,45.195
433,44.242
434,44.961
435,46.516
436,46.453
437,46.477
438,47.852
439,47.875
440,48.469
441,48.898
442,49.570
443,51.312
444,52.148
445,52.039
446,52.836
447,53.891
448,54.445
449,54.680
450,55.922
451,56.375
452,57.547
453,57.969
454,59.086
455,60.141
456,60.672
457,61.555
458,62.023
459,62.484
460,63.297
461,65.102
462,66.086
463,66.656
464,68.352
465,68.391
466,68.805
467,70.188
468,71.195
469,72.578
470,73.180
471,73.289
472,73.062
473,74.312
474,76.078
475,75.906
476,76.070
477,76.109
478,76.633
479,76.516
480,74.734
481,72.344
482,67.125
483,59.141
484,53.039
485,49.070
486,47.719
487,48.039
488,46.406
489,47.914
490,48.531
491,49.062
492,50.023
493,51.344
494,52.531
495,53.250
496,54.492
497,56.359
498,56.289
499,58.055
500,59.609
501,61.242
502,62.672
503,63.008
504,64.656
505,66.648
506,69.133
507,70.484
508,72.930
509,74.180
510,75.656
511,77.547
512,79.914
513,82.070
514,83.664
515,85.672
516,88.469
517,90.766
518,93.234
519,95.695
520,98.758
521,101.945
522,105.328
523,107.617
524,108.320
525,110.391
526,117.945
527,133.539
528,145.203
529,152.609
530,186.289
531,229.250
532,253.156
533,254.008
534,254.273
535,241.227
536,210.219
537,175.594
538,157.953
539,140.195
540,125.992
541,115.875
542,112.953
543,111.898
544,111.047
545,110.867
546,111.094
547,111.398
548,109.781
549,105.594
550,99.766
551,94.703
552,91.930
553,89.727
554,87.328
555,85.273
556,83.367
557,81.289
558,79.055
559,77.141
560,75.203
561,73.578
562,72.336
563,69.703
564,67.820
565,66.664
566,65.789
567,63.836
568,63.609
569,61.820
