Sinusoidal, 0.1Hz, 2V;;Saturación;;Sinusoidal, 0.3Hz, 2V;;Saturación;;Sierra, 0.1Hz, 2V;;Saturación;;Sierra, 0.3Hz, 2V;;Saturación;
I_A1 / A;&F / Vs;I_A1 / A;&F / Vs;I_A1 / A;&F / Vs;I_A1 / A;&F / Vs;I_A1 / A;&F / Vs;I_A1 / A;&F / Vs;I_A1 / A;&F / Vs;I_A1 / A;&F / Vs
0.002;0;0.519;0.52;0.004;0;0.462;0.39;0.002;0;0.491;0.42;0.13;0;0.349;0.34
0.007;0;;;0.02;0;;;0.006;0;;;0.139;0;;
0.028;0;Integral;0.376 VsA;0.066;0;Integral;0.335 VsA;0.02;0;Integral;0.358 VsA;0.14;0.03;Integral;0.217 VsA
0.051;0;;;0.115;0.01;;;0.04;0;;;0.198;0.08;;
0.072;0.01;;;0.157;0.02;;;0.057;0.01;;;0.228;0.12;;
0.092;0.01;;;0.19;0.04;;;0.074;0.01;;;0.246;0.16;;
0.113;0.02;;;0.215;0.05;;;0.091;0.01;;;0.258;0.19;;
0.132;0.02;;;0.238;0.08;;;0.108;0.02;;;0.264;0.21;;
0.151;0.03;;;0.263;0.1;;;0.125;0.02;;;0.266;0.23;;
0.169;0.03;;;0.288;0.13;;;0.141;0.03;;;0.264;0.25;;
0.184;0.04;;;0.316;0.16;;;0.156;0.03;;;0.257;0.26;;
0.196;0.05;;;0.344;0.19;;;0.169;0.04;;;0.247;0.27;;
0.206;0.06;;;0.37;0.22;;;0.18;0.05;;;0.234;0.27;;
0.216;0.07;;;0.397;0.25;;;0.19;0.05;;;0.216;0.27;;
0.226;0.09;;;0.42;0.28;;;0.2;0.07;;;0.196;0.27;;
0.235;0.1;;;0.443;0.3;;;0.209;0.08;;;0.172;0.27;;
0.245;0.12;;;0.463;0.33;;;0.219;0.09;;;0.144;0.27;;
0.257;0.13;;;0.479;0.36;;;0.231;0.11;;;0.117;0.26;;
0.268;0.15;;;0.491;0.38;;;0.241;0.12;;;0.088;0.26;;
0.281;0.17;;;0.499;0.4;;;0.254;0.14;;;0.059;0.25;;
0.293;0.19;;;0.502;0.41;;;0.267;0.16;;;0.032;0.24;;
0.307;0.21;;;0.501;0.43;;;0.28;0.18;;;0.003;0.23;;
0.321;0.23;;;0.494;0.44;;;0.295;0.2;;;-0.025;0.22;;
0.335;0.25;;;0.481;0.44;;;0.311;0.22;;;-0.051;0.21;;
0.348;0.27;;;0.463;0.45;;;0.328;0.24;;;-0.077;0.19;;
0.364;0.29;;;0.438;0.45;;;0.346;0.26;;;-0.101;0.17;;
0.38;0.31;;;0.407;0.45;;;0.364;0.28;;;-0.123;0.16;;
0.394;0.33;;;0.371;0.45;;;0.384;0.3;;;-0.144;0.13;;
0.407;0.35;;;0.332;0.44;;;0.404;0.32;;;-0.165;0.11;;
0.421;0.36;;;0.288;0.44;;;0.425;0.34;;;-0.187;0.09;;
0.434;0.38;;;0.241;0.43;;;0.447;0.36;;;-0.211;0.06;;
0.446;0.4;;;0.195;0.42;;;0.469;0.38;;;-0.238;0.03;;
0.458;0.41;;;0.146;0.41;;;0.492;0.4;;;-0.269;0;;
0.469;0.43;;;0.1;0.39;;;0.511;0.42;;;-0.3;-0.03;;
0.478;0.44;;;0.053;0.37;;;0.52;0.44;;;-0.333;-0.06;;
0.486;0.45;;;0.009;0.35;;;0.523;0.45;;;-0.366;-0.09;;
0.494;0.47;;;-0.034;0.33;;;0.523;0.46;;;-0.387;-0.12;;
0.501;0.48;;;-0.073;0.31;;;0.52;0.47;;;-0.396;-0.14;;
0.506;0.49;;;-0.108;0.28;;;0.515;0.48;;;-0.397;-0.16;;
0.511;0.5;;;-0.137;0.25;;;0.508;0.48;;;-0.392;-0.17;;
0.516;0.5;;;-0.166;0.22;;;0.5;0.49;;;-0.382;-0.18;;
0.519;0.51;;;-0.195;0.18;;;0.489;0.49;;;-0.369;-0.19;;
0.519;0.52;;;-0.224;0.14;;;0.477;0.49;;;-0.352;-0.2;;
0.519;0.52;;;-0.253;0.1;;;0.465;0.49;;;-0.332;-0.2;;
0.519;0.53;;;-0.282;0.06;;;0.45;0.49;;;-0.309;-0.2;;
0.517;0.53;;;-0.31;0.02;;;0.433;0.49;;;-0.284;-0.2;;
0.513;0.53;;;-0.338;-0.02;;;0.416;0.49;;;-0.258;-0.19;;
0.507;0.53;;;-0.362;-0.05;;;0.398;0.48;;;-0.229;-0.19;;
0.5;0.53;;;-0.386;-0.09;;;0.381;0.48;;;-0.201;-0.18;;
0.491;0.53;;;-0.407;-0.12;;;0.363;0.48;;;-0.171;-0.18;;
0.48;0.53;;;-0.424;-0.15;;;0.344;0.48;;;-0.14;-0.17;;
0.469;0.53;;;-0.439;-0.18;;;0.326;0.47;;;-0.11;-0.16;;
0.454;0.53;;;-0.448;-0.21;;;0.308;0.47;;;-0.081;-0.15;;
0.439;0.53;;;-0.454;-0.23;;;0.289;0.46;;;-0.051;-0.14;;
0.421;0.53;;;-0.455;-0.25;;;0.272;0.46;;;-0.021;-0.13;;
0.404;0.53;;;-0.45;-0.26;;;0.254;0.46;;;0.007;-0.12;;
0.386;0.52;;;-0.441;-0.27;;;0.235;0.45;;;0.035;-0.1;;
0.367;0.52;;;-0.424;-0.28;;;0.216;0.45;;;0.063;-0.09;;
0.346;0.52;;;-0.403;-0.29;;;0.198;0.44;;;0.087;-0.07;;
0.327;0.52;;;-0.375;-0.29;;;0.178;0.43;;;0.111;-0.05;;
0.306;0.51;;;-0.343;-0.29;;;0.162;0.43;;;0.132;-0.03;;
0.285;0.51;;;-0.305;-0.28;;;0.144;0.42;;;0.153;0;;
0.265;0.5;;;-0.263;-0.28;;;0.126;0.41;;;0.173;0.02;;
0.242;0.5;;;-0.219;-0.27;;;0.108;0.41;;;0.194;0.05;;
0.221;0.49;;;-0.173;-0.26;;;0.09;0.4;;;0.216;0.08;;
0.198;0.48;;;-0.126;-0.25;;;0.073;0.39;;;0.24;0.12;;
0.176;0.48;;;-0.08;-0.23;;;0.056;0.38;;;0.267;0.15;;
0.153;0.47;;;-0.034;-0.22;;;0.04;0.37;;;0.295;0.19;;
0.131;0.46;;;0.009;-0.2;;;0.022;0.37;;;0.325;0.22;;
0.108;0.45;;;0.051;-0.18;;;0.007;0.36;;;0.342;0.26;;
0.087;0.45;;;0.089;-0.15;;;-0.01;0.35;;;0.349;0.28;;
0.065;0.44;;;0.121;-0.12;;;-0.026;0.33;;;0.35;0.31;;
0.044;0.43;;;0.15;-0.09;;;-0.043;0.32;;;0.348;0.32;;
0.022;0.42;;;0.179;-0.06;;;-0.058;0.31;;;0.342;0.34;;
0.002;0.4;;;0.207;-0.02;;;-0.073;0.3;;;0.332;0.35;;
-0.018;0.39;;;0.236;0.02;;;-0.087;0.28;;;0.319;0.35;;
-0.038;0.38;;;0.265;0.06;;;-0.101;0.27;;;0.301;0.36;;
-0.057;0.36;;;0.294;0.09;;;-0.114;0.25;;;0.282;0.36;;
-0.075;0.35;;;0.323;0.13;;;-0.128;0.24;;;0.26;0.36;;
-0.092;0.33;;;0.349;0.17;;;-0.14;0.22;;;0.235;0.36;;
-0.108;0.32;;;0.375;0.21;;;-0.152;0.2;;;0.208;0.35;;
-0.123;0.3;;;0.398;0.24;;;-0.165;0.18;;;0.179;0.35;;
-0.137;0.28;;;0.419;0.27;;;-0.179;0.16;;;0.15;0.34;;
-0.15;0.26;;;0.436;0.3;;;-0.193;0.14;;;0.12;0.34;;
-0.165;0.24;;;0.45;0.33;;;-0.206;0.12;;;0.09;0.33;;
