Corriente;Flujo;Integral
0.002;0;0.358
0.006;0;
0.02;0;
0.04;0;
0.057;0.01;
0.074;0.01;
0.091;0.01;
0.108;0.02;
0.125;0.02;
0.141;0.03;
0.156;0.03;
0.169;0.04;
0.18;0.05;
0.19;0.05;
0.2;0.07;
0.209;0.08;
0.219;0.09;
0.231;0.11;
0.241;0.12;
0.254;0.14;
0.267;0.16;
0.28;0.18;
0.295;0.2;
0.311;0.22;
0.328;0.24;
0.346;0.26;
0.364;0.28;
0.384;0.3;
0.404;0.32;
0.425;0.34;
0.447;0.36;
0.469;0.38;
0.492;0.4;
0.511;0.42;
0.52;0.44;
0.523;0.45;
0.523;0.46;
0.52;0.47;
0.515;0.48;
0.508;0.48;
0.5;0.49;
0.489;0.49;
0.477;0.49;
0.465;0.49;
0.45;0.49;
0.433;0.49;
0.416;0.49;
0.398;0.48;
0.381;0.48;
0.363;0.48;
0.344;0.48;
0.326;0.47;
0.308;0.47;
0.289;0.46;
0.272;0.46;
0.254;0.46;
0.235;0.45;
0.216;0.45;
0.198;0.44;
0.178;0.43;
0.162;0.43;
0.144;0.42;
0.126;0.41;
0.108;0.41;
0.09;0.4;
0.073;0.39;
0.056;0.38;
0.04;0.37;
0.022;0.37;
0.007;0.36;
-0.01;0.35;
-0.026;0.33;
-0.043;0.32;
-0.058;0.31;
-0.073;0.3;
-0.087;0.28;
-0.101;0.27;
-0.114;0.25;
-0.128;0.24;
-0.14;0.22;
-0.152;0.2;
-0.165;0.18;
-0.179;0.16;
-0.193;0.14;
-0.206;0.12;
-0.221;0.1;
-0.236;0.07;
-0.252;0.05;
-0.268;0.03;
-0.283;0;
-0.301;-0.03;
-0.32;-0.05;
-0.339;-0.08;
-0.358;-0.1;
-0.378;-0.13;
-0.399;-0.16;
-0.421;-0.18;
-0.444;-0.21;
-0.466;-0.23;
-0.483;-0.26;
-0.492;-0.28;
-0.496;-0.29;
-0.497;-0.31;
-0.497;-0.32;
-0.493;-0.33;
-0.487;-0.34;
-0.481;-0.34;
-0.473;-0.35;
-0.464;-0.35;
-0.453;-0.35;
-0.442;-0.36;
-0.427;-0.36;
-0.413;-0.36;
-0.399;-0.35;
-0.382;-0.35;
-0.365;-0.35;
-0.347;-0.35;
-0.33;-0.34;
-0.311;-0.34;
-0.293;-0.34;
-0.276;-0.33;
-0.258;-0.33;
-0.239;-0.32;
-0.222;-0.32;
-0.203;-0.31;
-0.185;-0.31;
-0.168;-0.3;
-0.15;-0.3;
-0.132;-0.29;
-0.115;-0.28;
-0.098;-0.28;
-0.079;-0.27;
-0.062;-0.26;
-0.045;-0.25;
-0.029;-0.24;
-0.011;-0.23;
0.004;-0.22;
0.021;-0.21;
0.037;-0.2;
0.053;-0.19;
0.068;-0.18;
0.083;-0.17;
0.097;-0.15;
0.111;-0.14;
0.123;-0.12;
0.136;-0.1;
0.149;-0.09;
0.162;-0.07;
0.175;-0.05;
0.189;-0.03;
0.203;-0.01;
0.216;0.02;
0.231;0.04;
0.245;0.06;
0.263;0.09;
0.279;0.11;
0.296;0.14;
0.314;0.16;
0.333;0.19;
0.351;0.22;
0.372;0.24;
0.393;0.27;
0.415;0.29;
0.439;0.32;
0.462;0.34;
0.478;0.37;
0.486;0.39;
0.49;0.4;
0.491;0.42;
0.49;0.43;
0.487;0.44;
0.482;0.45;
0.476;0.45;
0.468;0.46;
0.458;0.46;
0.447;0.46;
0.434;0.46;
0.42;0.46;
0.406;0.46;
0.389;0.46;
0.371;0.46;
0.354;0.45;
0.336;0.45;
0.318;0.45;
0.3;0.44;
0.282;0.44;
0.264;0.44;
0.246;0.43;
0.228;0.43;
0.209;0.42;
0.191;0.42;
0.173;0.41;
0.155;0.41;
0.137;0.4;
0.119;0.39;
0.102;0.39;
0.084;0.38;
0.068;0.37;
0.051;0.36;
0.033;0.35;
0.017;0.34;
0;0.34;
-0.016;0.32;
-0.033;0.31;
-0.048;0.3;
-0.064;0.29;
-0.078;0.28;
-0.092;0.26;
-0.106;0.25;
-0.119;0.23;
-0.132;0.22;
-0.144;0.2;
-0.158;0.18;
-0.171;0.16;
-0.183;0.14;
-0.198;0.12;
-0.212;0.1;
-0.226;0.08;
-0.241;0.05;
-0.258;0.03;
-0.274;0;
-0.29;-0.02;
-0.308;-0.05;
-0.327;-0.07;
-0.346;-0.1;
-0.366;-0.12;
-0.387;-0.15;
-0.408;-0.17;
-0.43;-0.2;
-0.452;-0.22;
-0.475;-0.25;
-0.49;-0.27;
-0.497;-0.29;
-0.5;-0.31;
-0.501;-0.32;
-0.499;-0.33;
-0.495;-0.34;
-0.49;-0.35;
-0.482;-0.35;
-0.474;-0.36;
-0.464;-0.36;
-0.453;-0.36;
-0.441;-0.36;
-0.427;-0.36;
-0.412;-0.36;
-0.396;-0.36;
-0.379;-0.36;
-0.361;-0.35;
-0.343;-0.35;
-0.326;-0.35;
-0.307;-0.35;
-0.29;-0.34;
-0.272;-0.34;
-0.253;-0.33;
-0.235;-0.33;
-0.217;-0.32;
-0.2;-0.32;
-0.181;-0.31;
-0.164;-0.31;
-0.145;-0.3;
-0.128;-0.29;
-0.111;-0.29;
-0.092;-0.28;
-0.075;-0.27;
-0.059;-0.26;
-0.041;-0.25;
-0.024;-0.25;
-0.007;-0.24;
0.009;-0.23;
0.025;-0.22;
0.041;-0.2;
0.056;-0.19;
0.071;-0.18;
0.086;-0.17;
0.101;-0.15;
0.114;-0.14;
0.127;-0.12;
0.14;-0.1;
0.152;-0.09;
0.166;-0.07;
0.179;-0.05;
0.192;-0.03;
0.206;0;
0.22;0.02;
0.234;0.04;
0.25;0.07;
0.266;0.09;
0.283;0.12;
0.3;0.14;
0.319;0.17;
0.338;0.19;
0.357;0.22;
0.378;0.24;
0.399;0.27;
0.42;0.3;
0.444;0.32;
0.467;0.35;
0.48;0.37;
0.486;0.39;
0.49;0.4;
0.491;0.42;
0.489;0.43;
0.485;0.44;
0.48;0.44;
0.472;0.45;
0.464;0.45;
0.455;0.45;
0.444;0.46;
0.43;0.46;
0.416;0.46;
0.401;0.45;
0.385;0.45;
0.367;0.45;
0.349;0.45;
0.332;0.44;
0.313;0.44;
0.295;0.44;
0.278;0.43;
0.259;0.43;
0.241;0.43;
0.223;0.42;
0.204;0.42;
0.187;0.41;
0.168;0.41;
0.15;0.4;
0.132;0.39;
0.115;0.39;
0.098;0.38;
0.08;0.37;
0.063;0.36;
0.045;0.36;
0.029;0.35;
0.012;0.34;
-0.004;0.33;
-0.021;0.32;
-0.037;0.31;
-0.053;0.29;
-0.068;0.28;
-0.082;0.27;
-0.096;0.25;
-0.109;0.24;
-0.122;0.22;
-0.135;0.21;
-0.148;0.19;
-0.161;0.17;
-0.174;0.15;
-0.187;0.13;
-0.201;0.11;
-0.215;0.09;
-0.23;0.06;
-0.245;0.04;
-0.261;0.02;
-0.278;-0.01;
-0.295;-0.03;
-0.314;-0.06;
-0.332;-0.08;
-0.351;-0.11;
-0.37;-0.14;
-0.392;-0.16;
-0.413;-0.19;
-0.436;-0.21;
-0.459;-0.24;
-0.481;-0.26;
-0.492;-0.28;
-0.498;-0.3;
-0.5;-0.32;
-0.5;-0.33;
-0.498;-0.34;
-0.494;-0.35;
-0.488;-0.35;
-0.481;-0.36;
-0.472;-0.36;
-0.462;-0.37;
-0.451;-0.37;
-0.437;-0.37;
-0.423;-0.37;
-0.408;-0.36;
-0.391;-0.36;
-0.375;-0.36;
-0.356;-0.36;
-0.34;-0.35;
-0.322;-0.35;
-0.303;-0.35;
-0.285;-0.34;
-0.267;-0.34;
-0.248;-0.34;
-0.232;-0.33;
-0.212;-0.33;
-0.195;-0.32;
-0.176;-0.31;
-0.159;-0.31;
-0.141;-0.3;
-0.123;-0.3;
-0.105;-0.29;
-0.088;-0.28;
-0.071;-0.27;
-0.053;-0.27;
-0.036;-0.26;
-0.02;-0.25;
-0.004;-0.24;
0.013;-0.23;
0.029;-0.22;
0.044;-0.21;
0.06;-0.19;
0.075;-0.18;
0.09;-0.17;
0.104;-0.15;
0.117;-0.14;
0.131;-0.12;
0.143;-0.1;
0.155;-0.08;
0.169;-0.07;
0.181;-0.04;
0.196;-0.02;
0.21;0;
0.224;0.02;
0.239;0.05;
0.255;0.07;
0.271;0.09;
0.287;0.12;
0.305;0.14;
0.324;0.17;
0.342;0.2;
0.362;0.22;
0.383;0.25;
0.405;0.28;
0.426;0.3;
0.45;0.33;
0.471;0.35;
0.482;0.37;
0.488;0.39;
0.491;0.41;
0.49;0.42;
0.488;0.43;
0.484;0.44;
0.477;0.44;
0.47;0.45;
0.461;0.45;
0.451;0.45;
0.44;0.46;
0.427;0.46;
0.412;0.45;
0.397;0.45;
0.38;0.45;
0.362;0.45;
0.344;0.45;
0.326;0.44;
0.308;0.44;
0.291;0.44;
0.273;0.43;
0.254;0.43;
0.236;0.42;
0.217;0.42;
0.2;0.41;
0.181;0.41;
0.164;0.4;
0.145;0.4;
0.128;0.39;
0.11;0.38;
0.092;0.38;
0.074;0.37;
0.058;0.36;
0.041;0.35;
0.025;0.34;
0.007;0.34;
-0.009;0.33;
-0.025;0.32;
-0.041;0.3;
-0.057;0.29;
-0.072;0.28;
-0.086;0.27;
-0.1;0.25;
-0.113;0.24;
-0.127;0.22;
-0.139;0.2;
-0.151;0.19;
-0.165;0.17;
-0.177;0.15;
-0.191;0.13;
-0.205;0.11;
-0.22;0.08;
-0.234;0.06;
-0.25;0.04;
-0.266;0.01;
-0.283;-0.01;
-0.3;-0.04;
-0.318;-0.06;
-0.337;-0.09;
-0.356;-0.11;
-0.377;-0.14;
-0.398;-0.17;
