Corriente;Flujo;Integral;;;
0.13;0;0.217;;;
0.139;0;;;;
0.14;0.03;;;;
0.198;0.08;;;;
0.228;0.12;;;;
0.246;0.16;;;;
0.258;0.19;;;;
0.264;0.21;;;;
0.266;0.23;;;;
0.264;0.25;;;;
0.257;0.26;;;;
0.247;0.27;;;;
0.234;0.27;;;;
0.216;0.27;;;;
0.196;0.27;;;;
0.172;0.27;;;;
0.144;0.27;;;;
0.117;0.26;;;;
0.088;0.26;;;;
0.059;0.25;;;;
0.032;0.24;;;;
0.003;0.23;;;;
-0.025;0.22;;;;
-0.051;0.21;;;;
-0.077;0.19;;;;
-0.101;0.17;;;;
-0.123;0.16;;;;
-0.144;0.13;;;;
-0.165;0.11;;;;
-0.187;0.09;;;;
-0.211;0.06;;;;
-0.238;0.03;;;;
-0.269;0;;;;
-0.3;-0.03;;;;
-0.333;-0.06;;;;
-0.366;-0.09;;;;
-0.387;-0.12;;;;
-0.396;-0.14;;;;
-0.397;-0.16;;;;
-0.392;-0.17;;;;
-0.382;-0.18;;;;
-0.369;-0.19;;;;
-0.352;-0.2;;;;
-0.332;-0.2;;;;
-0.309;-0.2;;;;
-0.284;-0.2;;;;
-0.258;-0.19;;;;
-0.229;-0.19;;;;
-0.201;-0.18;;;;
-0.171;-0.18;;;;
-0.14;-0.17;;;;
-0.11;-0.16;;;;
-0.081;-0.15;;;;
-0.051;-0.14;;;;
-0.021;-0.13;;;;
0.007;-0.12;;;;
0.035;-0.1;;;;
0.063;-0.09;;;;
0.087;-0.07;;;;
0.111;-0.05;;;;
0.132;-0.03;;;;
0.153;0;;;;
0.173;0.02;;;;
0.194;0.05;;;;
0.216;0.08;;;;
0.24;0.12;;;;
0.267;0.15;;;;
0.295;0.19;;;;
0.325;0.22;;;;
0.342;0.26;;;;
0.349;0.28;;;;
0.35;0.31;;;;
0.348;0.32;;;;
0.342;0.34;;;;
0.332;0.35;;;;
0.319;0.35;;;;
0.301;0.36;;;;
0.282;0.36;;;;
0.26;0.36;;;;
0.235;0.36;;;;
0.208;0.35;;;;
0.179;0.35;;;;
0.15;0.34;;;;
0.12;0.34;;;;
0.09;0.33;;;;
0.061;0.32;;;;
0.033;0.31;;;;
0.004;0.3;;;;
-0.024;0.28;;;;
-0.051;0.27;;;;
-0.076;0.25;;;;
-0.101;0.23;;;;
-0.122;0.21;;;;
-0.142;0.19;;;;
-0.163;0.17;;;;
-0.183;0.14;;;;
-0.205;0.11;;;;
-0.229;0.08;;;;
-0.255;0.05;;;;
-0.283;0.01;;;;
-0.314;-0.02;;;;
-0.346;-0.06;;;;
-0.361;-0.09;;;;
-0.368;-0.11;;;;
-0.37;-0.13;;;;
-0.365;-0.15;;;;
-0.358;-0.16;;;;
-0.347;-0.16;;;;
-0.333;-0.17;;;;
-0.316;-0.17;;;;
-0.294;-0.17;;;;
-0.27;-0.17;;;;
-0.243;-0.17;;;;
-0.215;-0.16;;;;
-0.185;-0.16;;;;
-0.156;-0.15;;;;
-0.126;-0.15;;;;
-0.096;-0.14;;;;
-0.067;-0.13;;;;
-0.038;-0.12;;;;
-0.009;-0.1;;;;
0.019;-0.09;;;;
0.046;-0.08;;;;
0.072;-0.06;;;;
0.097;-0.04;;;;
0.119;-0.02;;;;
0.141;0;;;;
0.16;0.03;;;;
0.18;0.05;;;;
0.202;0.08;;;;
0.225;0.11;;;;
0.25;0.15;;;;
0.277;0.18;;;;
0.306;0.21;;;;
0.334;0.25;;;;
0.347;0.28;;;;
0.352;0.3;;;;
0.352;0.32;;;;
0.349;0.34;;;;
0.342;0.35;;;;
0.331;0.36;;;;
0.317;0.36;;;;
0.298;0.37;;;;
0.278;0.37;;;;
0.254;0.37;;;;
0.227;0.36;;;;
0.199;0.36;;;;
0.17;0.35;;;;
0.14;0.35;;;;
0.111;0.34;;;;
0.081;0.33;;;;
0.052;0.32;;;;
0.022;0.31;;;;
-0.005;0.3;;;;
-0.032;0.28;;;;
-0.059;0.27;;;;
-0.084;0.25;;;;
-0.107;0.23;;;;
-0.128;0.21;;;;
-0.148;0.19;;;;
-0.168;0.16;;;;
-0.189;0.14;;;;
-0.211;0.11;;;;
-0.235;0.08;;;;
-0.262;0.04;;;;
-0.29;0.01;;;;
-0.322;-0.03;;;;
-0.347;-0.06;;;;
-0.359;-0.09;;;;
-0.365;-0.11;;;;
-0.364;-0.13;;;;
-0.36;-0.14;;;;
-0.351;-0.15;;;;
-0.34;-0.16;;;;
-0.324;-0.16;;;;
-0.305;-0.17;;;;
-0.283;-0.17;;;;
-0.258;-0.16;;;;
-0.231;-0.16;;;;
-0.203;-0.16;;;;
-0.173;-0.15;;;;
-0.143;-0.14;;;;
-0.114;-0.14;;;;
-0.085;-0.13;;;;
-0.057;-0.12;;;;
-0.028;-0.11;;;;
0.001;-0.1;;;;
0.029;-0.08;;;;
0.054;-0.07;;;;
0.08;-0.05;;;;
0.103;-0.03;;;;
0.126;-0.01;;;;
0.145;0.01;;;;
0.165;0.04;;;;
0.185;0.06;;;;
0.206;0.09;;;;
0.229;0.12;;;;
0.254;0.15;;;;
0.281;0.19;;;;
0.31;0.22;;;;
0.333;0.26;;;;
0.342;0.28;;;;
0.344;0.31;;;;
0.343;0.32;;;;
0.339;0.34;;;;
0.33;0.35;;;;
0.318;0.35;;;;
0.302;0.36;;;;
0.283;0.36;;;;
0.262;0.36;;;;
0.237;0.36;;;;
0.21;0.35;;;;
0.183;0.35;;;;
0.155;0.34;;;;
0.127;0.34;;;;
0.099;0.33;;;;
0.07;0.32;;;;
0.042;0.31;;;;
0.014;0.3;;;;
-0.013;0.29;;;;
-0.041;0.27;;;;
-0.065;0.26;;;;
-0.089;0.24;;;;
-0.112;0.22;;;;
-0.132;0.2;;;;
-0.151;0.18;;;;
-0.171;0.15;;;;
-0.192;0.13;;;;
-0.215;0.1;;;;
-0.238;0.07;;;;
-0.265;0.03;;;;
-0.292;0;;;;
-0.324;-0.03;;;;
-0.345;-0.07;;;;
-0.354;-0.09;;;;
-0.356;-0.11;;;;
-0.356;-0.13;;;;
-0.351;-0.14;;;;
-0.342;-0.15;;;;
-0.328;-0.16;;;;
-0.312;-0.16;;;;
-0.292;-0.16;;;;
-0.27;-0.16;;;;
-0.245;-0.16;;;;
-0.218;-0.15;;;;
-0.19;-0.15;;;;
-0.161;-0.14;;;;
-0.132;-0.14;;;;
-0.103;-0.13;;;;
-0.074;-0.12;;;;
-0.046;-0.11;;;;
-0.018;-0.1;;;;
0.009;-0.09;;;;
0.035;-0.07;;;;
0.061;-0.06;;;;
0.085;-0.04;;;;
0.106;-0.03;;;;
0.113;-0.01;;;;
0.131;0.01;;;;
0.148;0.03;;;;
0.164;0.05;;;;
0.185;0.07;;;;
0.206;0.1;;;;
0.229;0.13;;;;
0.253;0.16;;;;
0.282;0.19;;;;
0.299;0.22;;;;
0.308;0.25;;;;
0.313;0.27;;;;
0.313;0.29;;;;
0.307;0.3;;;;
0.298;0.31;;;;
0.287;0.32;;;;
0.271;0.32;;;;
0.252;0.32;;;;
0.231;0.32;;;;
0.206;0.32;;;;
0.182;0.32;;;;
0.153;0.31;;;;
0.127;0.31;;;;
0.101;0.3;;;;
0.076;0.29;;;;
0.059;0.29;;;;
0.048;0.28;;;;
0.019;0.27;;;;
-0.009;0.26;;;;
-0.034;0.25;;;;
-0.059;0.24;;;;
-0.084;0.22;;;;
-0.104;0.2;;;;
-0.126;0.18;;;;
-0.146;0.16;;;;
-0.168;0.14;;;;
-0.188;0.11;;;;
-0.21;0.08;;;;
-0.236;0.05;;;;
-0.264;0.02;;;;
-0.295;-0.01;;;;
-0.326;-0.05;;;;
-0.342;-0.08;;;;
-0.348;-0.1;;;;
-0.35;-0.12;;;;
-0.349;-0.13;;;;
-0.342;-0.14;;;;
-0.332;-0.15;;;;
-0.316;-0.15;;;;
-0.298;-0.16;;;;
-0.276;-0.16;;;;
-0.252;-0.15;;;;
-0.227;-0.15;;;;
-0.2;-0.15;;;;
