Corriente;Flujo;Integral
0.002;0;0.242
0.008;0;
0.005;0;
0.013;0.01;
0.02;0.02;
0.029;0.03;
0.036;0.05;
0.043;0.06;
0.051;0.08;
0.059;0.1;
0.068;0.13;
0.076;0.15;
0.084;0.18;
0.093;0.21;
0.102;0.24;
0.114;0.27;
0.126;0.3;
0.139;0.33;
0.154;0.37;
0.172;0.4;
0.191;0.43;
0.21;0.47;
0.233;0.5;
0.257;0.53;
0.282;0.56;
0.31;0.59;
0.339;0.61;
0.368;0.63;
0.398;0.65;
0.426;0.67;
0.453;0.69;
0.477;0.7;
0.501;0.71;
0.521;0.72;
0.539;0.73;
0.554;0.74;
0.566;0.74;
0.576;0.75;
0.584;0.75;
0.589;0.75;
0.594;0.75;
0.596;0.75;
0.596;0.75;
0.593;0.75;
0.588;0.75;
0.582;0.75;
0.575;0.75;
0.567;0.75;
0.557;0.75;
0.547;0.75;
0.536;0.75;
0.524;0.75;
0.512;0.75;
0.498;0.74;
0.484;0.74;
0.47;0.74;
0.456;0.74;
0.439;0.74;
0.423;0.73;
0.407;0.73;
0.39;0.73;
0.372;0.72;
0.355;0.72;
0.338;0.71;
0.32;0.7;
0.302;0.7;
0.284;0.69;
0.266;0.68;
0.248;0.67;
0.231;0.66;
0.213;0.65;
0.195;0.64;
0.178;0.63;
0.162;0.61;
0.144;0.6;
0.13;0.58;
0.114;0.56;
0.099;0.54;
0.084;0.52;
0.07;0.5;
0.057;0.48;
0.044;0.45;
0.032;0.43;
0.021;0.4;
0.011;0.37;
0.002;0.34;
-0.007;0.3;
-0.015;0.27;
-0.023;0.23;
-0.032;0.19;
-0.038;0.15;
-0.047;0.11;
-0.055;0.06;
-0.064;0.02;
-0.073;-0.03;
-0.083;-0.08;
-0.094;-0.12;
-0.105;-0.17;
-0.117;-0.22;
-0.131;-0.27;
-0.146;-0.32;
-0.163;-0.37;
-0.181;-0.42;
-0.202;-0.46;
-0.225;-0.51;
-0.25;-0.55;
-0.279;-0.59;
-0.31;-0.62;
-0.344;-0.66;
-0.379;-0.68;
-0.413;-0.71;
-0.447;-0.73;
-0.477;-0.75;
-0.503;-0.76;
-0.526;-0.77;
-0.544;-0.78;
-0.557;-0.78;
-0.568;-0.79;
-0.574;-0.79;
-0.577;-0.79;
-0.579;-0.79;
-0.575;-0.79;
-0.568;-0.79;
-0.558;-0.79;
-0.548;-0.79;
-0.538;-0.79;
-0.526;-0.79;
-0.514;-0.78;
-0.501;-0.78;
-0.487;-0.78;
-0.472;-0.78;
-0.457;-0.78;
-0.442;-0.77;
-0.425;-0.77;
-0.409;-0.77;
-0.393;-0.76;
-0.376;-0.76;
-0.357;-0.76;
-0.341;-0.75;
-0.322;-0.74;
-0.304;-0.74;
-0.286;-0.73;
-0.269;-0.72;
-0.251;-0.71;
-0.233;-0.7;
-0.216;-0.69;
-0.199;-0.68;
-0.181;-0.67;
-0.165;-0.66;
-0.147;-0.64;
-0.132;-0.63;
-0.117;-0.61;
-0.102;-0.59;
-0.087;-0.57;
-0.073;-0.55;
-0.059;-0.53;
-0.046;-0.5;
-0.035;-0.47;
-0.024;-0.45;
-0.013;-0.42;
-0.004;-0.38;
0.005;-0.35;
