Corriente;Flujo;Integral
0.004;0;0.15
0.018;0;
0.022;0.01;
0.048;0.02;
0.062;0.04;
0.07;0.07;
0.076;0.11;
0.085;0.14;
0.093;0.19;
0.104;0.24;
0.117;0.29;
0.133;0.34;
0.149;0.39;
0.172;0.44;
0.198;0.49;
0.229;0.54;
0.266;0.59;
0.306;0.63;
0.345;0.67;
0.386;0.7;
0.422;0.72;
0.452;0.74;
0.475;0.76;
0.489;0.76;
0.493;0.76;
0.48;0.76;
0.454;0.76;
0.421;0.76;
0.385;0.75;
0.347;0.74;
0.31;0.73;
0.274;0.72;
0.238;0.7;
0.204;0.68;
0.171;0.66;
0.14;0.63;
0.111;0.6;
0.085;0.57;
0.06;0.53;
0.038;0.49;
0.019;0.44;
0.003;0.39;
-0.011;0.34;
-0.024;0.29;
-0.036;0.24;
-0.048;0.19;
-0.059;0.14;
-0.073;0.08;
-0.086;0.03;
-0.102;-0.02;
-0.117;-0.07;
-0.136;-0.12;
-0.155;-0.17;
-0.178;-0.22;
-0.203;-0.27;
-0.229;-0.32;
-0.256;-0.36;
-0.282;-0.39;
-0.305;-0.42;
-0.325;-0.44;
-0.338;-0.45;
-0.342;-0.45;
-0.335;-0.45;
-0.31;-0.45;
-0.278;-0.44;
-0.243;-0.43;
-0.21;-0.42;
-0.178;-0.4;
-0.147;-0.38;
-0.118;-0.36;
-0.092;-0.33;
-0.069;-0.3;
-0.046;-0.26;
-0.026;-0.22;
-0.009;-0.17;
0.005;-0.12;
0.018;-0.07;
0.03;-0.02;
0.042;0.03;
0.054;0.08;
0.065;0.13;
0.078;0.18;
0.092;0.24;
0.107;0.29;
0.124;0.34;
0.143;0.39;
0.164;0.44;
0.189;0.49;
0.215;0.54;
0.245;0.58;
0.276;0.62;
0.303;0.65;
0.327;0.67;
0.344;0.69;
0.355;0.69;
0.357;0.7;
0.339;0.69;
0.309;0.69;
0.275;0.68;
0.24;0.67;
0.205;0.66;
0.173;0.64;
0.143;0.62;
0.115;0.59;
0.089;0.56;
0.065;0.53;
0.043;0.49;
0.024;0.45;
0.007;0.4;
-0.007;0.35;
-0.02;0.3;
-0.032;0.25;
-0.043;0.2;
-0.056;0.15;
-0.068;0.1;
-0.081;0.05;
-0.096;-0.01;
-0.111;-0.06;
-0.129;-0.11;
-0.148;-0.16;
-0.171;-0.21;
-0.196;-0.26;
-0.223;-0.31;
-0.252;-0.35;
-0.281;-0.39;
-0.308;-0.42;
-0.332;-0.44;
-0.348;-0.45;
-0.357;-0.46;
-0.357;-0.46;
-0.338;-0.46;
-0.308;-0.45;
-0.274;-0.44;
-0.238;-0.43;
-0.205;-0.42;
-0.172;-0.4;
-0.143;-0.38;
-0.114;-0.35;
-0.088;-0.32;
-0.065;-0.29;
-0.043;-0.25;
-0.023;-0.21;
-0.006;-0.16;
0.007;-0.11;
0.02;-0.06;
0.032;-0.01;
0.044;0.04;
0.056;0.09;
0.068;0.15;
0.081;0.2;
0.096;0.25;
0.111;0.3;
0.129;0.35;
0.147;0.4;
0.17;0.45;
0.195;0.5;
0.221;0.55;
0.25;0.59;
0.28;0.63;
0.307;0.66;
0.33;0.68;
0.346;0.69;
0.354;0.7;
0.352;0.7;
0.331;0.69;
0.299;0.69;
0.265;0.68;
0.231;0.67;
0.197;0.65;
0.165;0.64;
0.136;0.61;
0.107;0.59;
0.082;0.56;
0.059;0.52;
0.037;0.48;
0.018;0.44;
0.003;0.39;
-0.011;0.34;
-0.022;0.29;
-0.035;0.24;
-0.047;0.19;
-0.059;0.14;
-0.071;0.09;
-0.085;0.03;
-0.099;-0.02;
-0.116;-0.07;
-0.133;-0.12;
-0.153;-0.17;
-0.177;-0.22;
-0.203;-0.27;
-0.231;-0.32;
-0.26;-0.36;
-0.291;-0.4;
-0.317;-0.42;
-0.339;-0.44;
-0.352;-0.45;
-0.359;-0.46;
-0.355;-0.46;
-0.332;-0.45;
-0.299;-0.45;
-0.265;-0.44;
-0.23;-0.43;
-0.196;-0.41;
-0.165;-0.39;
-0.135;-0.37;
-0.107;-0.34;
-0.082;-0.31;
-0.059;-0.28;
-0.037;-0.24;
-0.018;-0.19;
-0.003;-0.14;
0.011;-0.09;
0.023;-0.04;
0.035;0.01;
0.047;0.06;
0.059;0.11;
0.071;0.16;
0.085;0.21;
0.099;0.26;
0.116;0.32;
0.133;0.37;
0.152;0.42;
0.175;0.47;
0.201;0.52;
0.229;0.57;
0.259;0.61;
0.287;0.64;
0.314;0.67;
