Frecuencia (kHz)	Fase (°)	Voltaje pico-pico 1 (V)	Voltaje pico-pico 2 (V)	Frecuecia (rad/s)		
5.5	38.8	4.72	3.48	34557.51919		
5.6	37.2	4.72	3.52	35185.83772		
5.7	36.1	4.72	3.6	35814.15625		
5.8	33.3	4.72	3.64	36442.47478		
5.9	32.4	4.64	3.72	37070.79331		
6	30.3	4.6	3.76	37699.11184		
6.1	28.1	4.6	3.88	38327.43037		
6.2	26.7	4.6	3.92	38955.7489		
6.3	25.1	4.6	3.92	39584.06744		
6.4	23.5	4.56	4	40212.38597		
6.5	22.8	4.56	4.04	40840.7045		
6.6	20	4.52	4.04	41469.02303		
6.7	17.3	4.52	4.08	42097.34156		
6.8	15.6	4.52	4.16	42725.66009		
6.9	14.8	4.48	4.12	43353.97862		
7	11.1	4.52	4.16	43982.29715		
7.1	10.7	4.48	4.24	44610.61568		
7.2	5.18	4.48	4.2	45238.93421		
7.3	4.74	4.44	4.24	1884.955592		
7.4	2.66	4.48	4.24	46495.57127		
7.5	0	4.48	4.24	47123.8898		
7.6	1.2	4.48	4.24	47752.20833		
7.7	3.33	4.48	4.16	48380.52687		
7.8	6.75	4.48	4.16	49008.8454		
7.9	7.97	4.48	4.16	49637.16393		
8	10.4	4.48	4.16	50265.48246		
8.1	9.95	4.48	4.16	50893.80099		
8.2	11.7	4.52	4.08	51522.11952		
8.3	13.8	4.52	4.04	52150.43805		
8.4	14.5	4.48	4.08	52778.75658		
8.5	17.1	4.52	4	53407.07511		
8.6	17.3	4.54	4	54035.39364		
8.7	20	4.56	4	54663.71217		
8.8	20	4.56	3.92	55292.0307		
8.9	21.7	4.56	3.92	55920.34923		
9	24.5	4.56	3.84	56548.66776		
9.1	24.5	4.6	3.84	57176.9863		
9.2	28.4	4.54	3.76	57805.30483		
9.3	30.2	4.6	3.76	58433.62336		
9.4	29.7	4.54	3.72	59061.94189		
9.5	30.6	4.6	3.68	59690.26042		
